anchor,tilt,cells,r,mae_pp,abs_bias_pp
blind,0,22,NA,17.55,14.18
blind,0.2,22,0.082,17.54,14.18
blind,0.35,22,0.082,17.63,14.18
blind,0.5,22,0.08,17.8,14.2
blind,0.75,22,0.077,18.21,14.29
blind,1,22,0.074,18.69,14.31
true,0,22,NA,8.94,1.02
true,0.2,22,0.08,9.02,1.04
true,0.35,22,0.082,9.26,1.05
true,0.5,22,0.08,9.61,1.1
true,0.75,22,0.078,10.49,1.33
true,1,22,0.08,11.53,1.73
