bin,n,mean_pred,mean_obs,n_events,bin_idx,country,outcome
"(0.568,0.627]",13,0.6262922817527955,0.5384615384615384,7,10,Ghana,child_iron
"[0.0236,0.0571]",260,0.04042755165159903,0.057692307692307696,15,1,Ghana,women_iron
"(0.0571,0.0902]",330,0.0756041528465217,0.07878787878787878,26,2,Ghana,women_iron
"(0.0902,0.123]",216,0.10582647803348863,0.0787037037037037,17,3,Ghana,women_iron
"(0.123,0.156]",96,0.13748780276672617,0.11458333333333333,11,4,Ghana,women_iron
"(0.156,0.189]",33,0.16836494049728437,0.15151515151515152,5,5,Ghana,women_iron
"(0.189,0.223]",11,0.20458615552782994,0.36363636363636365,4,6,Ghana,women_iron
"(0.223,0.256]",18,0.25063738515478606,0.16666666666666666,3,7,Ghana,women_iron
"(0.256,0.289]",9,0.27804776390453023,0.2222222222222222,2,8,Ghana,women_iron
"(0.289,0.322]",0,NA,NA,NA,9,Ghana,women_iron
"(0.322,0.355]",8,0.355024464511346,0,0,10,Ghana,women_iron
"[0.078,0.156]",6,0.09906639632244581,0.16666666666666666,1,1,Ghana,women_folate
"(0.156,0.233]",12,0.18329729198231526,0,0,2,Ghana,women_folate
"(0.233,0.311]",4,0.2852010396808349,0,0,3,Ghana,women_folate
"(0.311,0.388]",28,0.35928729095598794,0.35714285714285715,10,4,Ghana,women_folate
"(0.388,0.465]",70,0.4424578739913621,0.5714285714285714,40,5,Ghana,women_folate
"(0.465,0.543]",150,0.5065035116020175,0.5866666666666667,88,6,Ghana,women_folate
"(0.543,0.62]",69,0.578478338430977,0.5652173913043478,39,7,Ghana,women_folate
"(0.62,0.697]",55,0.6608359228828913,0.5636363636363636,31,8,Ghana,women_folate
"(0.697,0.775]",47,0.7249369067492075,0.5957446808510638,28,9,Ghana,women_folate
"(0.775,0.853]",34,0.8081244072667352,0.6764705882352942,23,10,Ghana,women_folate
"[0.0186,0.0486]",170,0.03756745970631897,0.058823529411764705,10,1,Ghana,women_b12
"(0.0486,0.0782]",173,0.061860992708016795,0.05202312138728324,9,2,Ghana,women_b12
"(0.0782,0.108]",32,0.09201033161567647,0,0,3,Ghana,women_b12
"(0.108,0.138]",33,0.1252085376737042,0.030303030303030304,1,4,Ghana,women_b12
"(0.138,0.167]",10,0.14867085846399303,0.1,1,5,Ghana,women_b12
"(0.167,0.197]",15,0.18177199224749854,0.26666666666666666,4,6,Ghana,women_b12
"(0.197,0.227]",16,0.20679908625765892,0.25,4,7,Ghana,women_b12
"(0.227,0.256]",0,NA,NA,NA,8,Ghana,women_b12
"(0.256,0.286]",8,0.26639655408168034,0.625,5,9,Ghana,women_b12
"(0.286,0.316]",16,0.30958459367475094,0.375,6,10,Ghana,women_b12
"[0.0412,0.0645]",63,0.053646642945108465,0.19047619047619047,12,1,Sierra Leone,child_vitA
"(0.0645,0.0875]",47,0.07823937043951817,0.06382978723404255,3,2,Sierra Leone,child_vitA
"(0.0875,0.111]",60,0.09669229468382394,0.11666666666666667,7,3,Sierra Leone,child_vitA
"(0.111,0.134]",51,0.1213454430197036,0.09803921568627451,5,4,Sierra Leone,child_vitA
"(0.134,0.157]",78,0.14749637705264076,0.1282051282051282,10,5,Sierra Leone,child_vitA
