Admin1,n_areas,target,delta,before,after,used,country,outcome,arm
Banjul,2,0.12456942066001178,1.415751902196486,0.03343431277420045,0.12456942065996643,region,Gambia,child_vitA,hard
North Bank,6,0.1271087226685142,0.04235990260407274,0.1225244530265957,0.12710872266849885,region,Gambia,child_vitA,hard
Western,6,0.1277014818308384,0.6711255060883672,0.06967900695458866,0.12770148183100655,region,Gambia,child_vitA,hard
Upper River,4,0.25302039927527253,-0.9015005562002151,0.4306236654972531,0.2530203992752583,region,Gambia,child_vitA,hard
Maccarthy Island,8,0.2840397014775145,0.7168728591196948,0.1626518962703979,0.2840397014774584,region,Gambia,child_vitA,hard
Lower River,4,0.18735921948063972,-0.2213097786268672,0.22308619201994812,0.18735921948140072,region,Gambia,child_vitA,hard
(national),30,0.17253485247621728,NA,0.06705804822966988,0.17253485247621728,national,Gambia,child_vitA,national
Banjul,2,0.011993287358146046,0.6012387749051982,0.0066099344719440685,0.011993287357976029,region,Gambia,women_vitA,hard
North Bank,6,0.017699639402389847,0.19179633561940446,0.014658011266771735,0.017699639402389826,region,Gambia,women_vitA,hard
Western,6,0.005199727885100525,-0.02536201088033536,0.005332565400172668,0.005199727885100525,region,Gambia,women_vitA,hard
Upper River,4,0.03970823460241837,-0.05337343788417671,0.04179207063583283,0.03970823460241642,region,Gambia,women_vitA,hard
Maccarthy Island,8,0.045437159370326385,0.5790403052506214,0.025994808460322358,0.045437159370326385,region,Gambia,women_vitA,hard
Lower River,4,0.037954372715004694,0.8346970608918403,0.016840337085319356,0.037954372714782185,region,Gambia,women_vitA,hard
(national),30,0.01699354367361608,NA,0.008422235760718023,0.01699354367361608,national,Gambia,women_vitA,national
Banjul,2,0.47361040065376614,0.008639713055240673,0.47146011257952347,0.4736104006537656,region,Gambia,child_iron,hard
North Bank,6,0.6576286384131488,0.02207097243544474,0.6527069463394831,0.6576286384132398,region,Gambia,child_iron,hard
Western,6,0.4987499001606754,0.0047204830661473724,0.4975733983730744,0.4987499001605807,region,Gambia,child_iron,hard
Upper River,4,0.6341428401729836,-0.7778345571636268,0.7884704714047813,0.6341428401731749,region,Gambia,child_iron,hard
Maccarthy Island,8,0.7132700482307672,0.01946068356690961,0.7092865518598623,0.7132700482307673,region,Gambia,child_iron,hard
Lower River,4,0.6959625566860089,0.44909300156663884,0.5939243668442353,0.695962556686013,region,Gambia,child_iron,hard
(national),30,0.37525736593968906,NA,0.505693486319707,0.37525736593968906,national,Gambia,child_iron,national
Banjul,2,0.3047449506393777,0.13592584698671822,0.2767335006049048,0.30474495063937757,region,Gambia,women_iron,hard
North Bank,6,0.4362192938607584,-0.2840335619269823,0.5054577677537058,0.4362192938607585,region,Gambia,women_iron,hard
Western,6,0.3734295186820236,0.16544469837611775,0.3357801533069879,0.37342951868202356,region,Gambia,women_iron,hard
Upper River,4,0.540970593582874,-0.32111592450248083,0.6189512897550945,0.5409705935828736,region,Gambia,women_iron,hard
Maccarthy Island,8,0.5581915673937713,-0.21256040055546335,0.6096533620363996,0.558191567393772,region,Gambia,women_iron,hard
Lower River,4,0.5621421976032694,0.1712694181128874,0.5198768636034667,0.5621421976032697,region,Gambia,women_iron,hard
(national),30,0.2818297892316726,NA,0.32887736445893606,0.2818297892316726,national,Gambia,women_iron,national
Greater Accra,8,0.11111111111111112,0.37587282034759095,0.07912327384451402,0.11111111111073678,region,Ghana,child_vitA,hard
Eastern,5,0.18181818181818182,1.6595909845936903,0.041595471058350084,0.18181818181818182,region,Ghana,child_vitA,hard
Ashanti,12,0.08333333333333333,0.48453996623883644,0.053101210526721176,0.0833333333333333,region,Ghana,child_vitA,hard
Volta,4,0.15,0.869363269330681,0.06888962722409943,0.15,region,Ghana,child_vitA,hard
Central,6,0.1388888888888889,1.190784412875531,0.04685930584370697,0.13888888888888776,region,Ghana,child_vitA,hard
Ahafo,2,0.11290322580645162,1.0616495915445074,0.04467882966338334,0.11290322580680093,region,Ghana,child_vitA,hard
Upper East,5,0.20987654320987656,0.6467972530727015,0.12247873384970799,0.20987654320987703,region,Ghana,child_vitA,hard
Savannah,4,0.20634920634920637,1.5511439987999418,0.05341588265812722,0.20634920634920634,region,Ghana,child_vitA,hard
North East,3,0.2222222222222222,-0.013606814811623324,0.22431553174250274,0.22222222222222227,region,Ghana,child_vitA,hard
Bono,3,0.06060606060606061,-0.47939231476216726,0.09295691357066277,0.06060606060606036,region,Ghana,child_vitA,hard
Western,5,0.09375,1.887600285312342,0.01651277352282368,0.09375,region,Ghana,child_vitA,hard
Northern,8,0.26573426573426573,1.496678026493382,0.08203888695354591,0.2657342657342591,region,Ghana,child_vitA,hard
Upper West,5,0.1285714285714286,-0.30782280438621357,0.1667289753479355,0.12857142857142856,region,Ghana,child_vitA,hard
Bono East,3,0.15217391304347827,1.2779328168367008,0.048257744971402824,0.1521739130418358,region,Ghana,child_vitA,hard
Oti,1,0.1317866851916981,0.4677888111880806,0.08682430890152285,0.1317866851916981,national,Ghana,child_vitA,hard
Western North,1,0.1317866851916981,1.708231767560507,0.026766195605491042,0.1317866851916534,national,Ghana,child_vitA,hard
(national),75,0.1317866851916981,NA,0.06687839305526436,0.1317866851916981,national,Ghana,child_vitA,national
Greater Accra,8,0.015748031496062992,0.7723548895714368,0.007336672286366768,0.015748031496063,region,Ghana,women_vitA,hard
