Admin1,n_areas,target,delta,before,after,used,country,outcome,arm
Eastern,5,0.022213995256800692,1.3584293389643587,0.005807404865157854,0.02221399525688049,region,Ghana,women_vitA,hard
Ashanti,12,0.004878048780487805,-0.4186609229274993,0.007395491348894949,0.0048780487804874735,region,Ghana,women_vitA,hard
Volta,4,0,NA,0.007461230634670869,0.007461230634670869,region,Ghana,women_vitA,hard
Central,6,0.01694915254237288,0.9898048805831875,0.006367070209880529,0.01694915254237287,region,Ghana,women_vitA,hard
Ahafo,2,0,NA,0.007677555099314368,0.007677555099314368,region,Ghana,women_vitA,hard
Upper East,5,0.05172413793103448,1.7771870815070951,0.009143226406799048,0.05172413793035789,region,Ghana,women_vitA,hard
Savannah,4,0.02380952380952381,0.9898809955184665,0.008982647490613633,0.023809523809523808,region,Ghana,women_vitA,hard
North East,3,0.02941176470588235,1.1023338638681894,0.00996414471052494,0.029411764705882346,region,Ghana,women_vitA,hard
Bono,3,0,NA,0.007809541686300325,0.007809541686300325,region,Ghana,women_vitA,hard
Western,5,0,NA,0.007467077648026669,0.007467077648026669,region,Ghana,women_vitA,hard
Northern,8,0.0297029702970297,1.2007092703359876,0.0091300207263384,0.02970297029702971,region,Ghana,women_vitA,hard
Upper West,5,0.019230769230769232,0.27217489065451717,0.014716887604246037,0.019230769230440006,region,Ghana,women_vitA,hard
Bono East,3,0,NA,0.007756868932893286,0.007756868932893286,region,Ghana,women_vitA,hard
Oti,1,0.0115287147640389,0.24925459800231328,0.009008179057425585,0.011528714764038635,national,Ghana,women_vitA,hard
Western North,1,0.0115287147640389,0.4390645426521641,0.00746243363292535,0.011528714763900709,national,Ghana,women_vitA,hard
(national),75,0.0115287147640389,NA,0.007410151658203525,0.0115287147640389,national,Ghana,women_vitA,national
Greater Accra,8,0.13131313131313133,-0.23773008739423315,0.16078654143569335,0.13131313131313133,region,Ghana,child_iron,hard
Eastern,5,0.24721836976567804,1.999240432057948,0.044712990370541675,0.24721836976219602,region,Ghana,child_iron,hard
Ashanti,12,0.16176470588235292,0.9337647870138431,0.07057359070779001,0.16176470588235276,region,Ghana,child_iron,hard
Volta,4,0.125,0.3874774918255764,0.08839831658623185,0.12499999999999997,region,Ghana,child_iron,hard
Central,6,0.125,0.9748135225947553,0.051210168776388586,0.12499999999968624,region,Ghana,child_iron,hard
Ahafo,2,0.12903225806451613,0.6676105437502405,0.0706707528095042,0.12903225806451613,region,Ghana,child_iron,hard
Upper East,5,0.5061728395061729,0.8093726646104006,0.31362690608035,0.5061728395061729,region,Ghana,child_iron,hard
Savannah,4,0.25396825396825395,-0.5787810270135938,0.37483061741157075,0.25396825396790645,region,Ghana,child_iron,hard
North East,3,0.2,-0.9733122549769586,0.3981074897066279,0.2000000000000089,region,Ghana,child_iron,hard
Bono,3,0.18181818181818185,0.8238200081611623,0.09058795908640516,0.18181818181818188,region,Ghana,child_iron,hard
Western,5,0.046875,0.05901323529836585,0.044308055818405356,0.04687499999999492,region,Ghana,child_iron,hard
Northern,8,0.5174825174825174,1.325617107504424,0.22235515623314933,0.5174825174825184,region,Ghana,child_iron,hard
Upper West,5,0.2857142857142857,-0.10517111480884248,0.30741303751015625,0.2857142857142858,region,Ghana,child_iron,hard
Bono East,3,0.28260869565217395,1.3428958546588303,0.09562552563567811,0.2826086956536724,region,Ghana,child_iron,hard
Oti,1,0.20196325284094105,-0.05522768651888366,0.21101115308547003,0.20196325284094105,national,Ghana,child_iron,hard
Western North,1,0.20196325284094105,1.3858152667722314,0.0595308518427272,0.20196325284094113,national,Ghana,child_iron,hard
(national),75,0.20196325284094105,NA,0.12087826842309338,0.20196325284094105,national,Ghana,child_iron,national
Greater Accra,8,0.14634146341463417,0.17435866594822413,0.1260681986728532,0.1463414634146342,region,Ghana,women_iron,hard
Eastern,5,0.152903513923145,1.3169414165113673,0.048073106708271585,0.15290351392233664,region,Ghana,women_iron,hard
Ashanti,12,0.1182266009852217,1.712458610341388,0.024133536942066013,0.11822660098654479,region,Ghana,women_iron,hard
Volta,4,0.19565217391304351,1.382817182692256,0.05813682241582872,0.1956521739130443,region,Ghana,women_iron,hard
Central,6,0.13559322033898305,1.4033990237134453,0.03740948414458279,0.13559322033914536,region,Ghana,women_iron,hard
Ahafo,2,0.047619047619047616,-0.053112959679474665,0.05006644528194839,0.04761904761901757,region,Ghana,women_iron,hard
Upper East,5,0.27586206896551724,1.5934953705009376,0.08016854688209359,0.27586206896551724,region,Ghana,women_iron,hard
Savannah,4,0.04761904761904762,0.012571290977284478,0.04705366256788827,0.04761904761902948,region,Ghana,women_iron,hard
North East,3,0.20588235294117643,0.2916064644364007,0.16391011625671323,0.20588235294119048,region,Ghana,women_iron,hard
Bono,3,0.03125,-1.2275502034187251,0.0976421267833182,0.031249999999980776,region,Ghana,women_iron,hard
Western,5,0.022727272727272724,-1.7164948347430387,0.11445832160704393,0.022727272727271763,region,Ghana,women_iron,hard
Northern,8,0.23,0.8937366499853326,0.11034257592977119,0.23000000000000392,region,Ghana,women_iron,hard
Upper West,5,0.0784313725490196,-0.4417017403933892,0.11684959514463994,0.0784313725482472,region,Ghana,women_iron,hard
Bono East,3,0.1,1.4649665786641746,0.025036807205353017,0.10000000000003184,region,Ghana,women_iron,hard
Oti,1,0.07574165056497939,0.7227641198101024,0.03825674894341091,0.07574165056497935,national,Ghana,women_iron,hard
Western North,1,0.07574165056497939,0.795032528189528,0.03568471188468371,0.07574165056497932,national,Ghana,women_iron,hard
(national),75,0.07574165056497939,NA,0.08171786078361291,0.07574165056497939,national,Ghana,women_iron,national
Greater Accra,8,0.5161290322580645,1.329860200326599,0.22626551818182725,0.5161290322580647,region,Ghana,women_folate,hard
Eastern,5,0.5706230958580456,0.4330269256450712,0.47469324014355957,0.5706230958580456,region,Ghana,women_folate,hard
Ashanti,12,0.5157894736842106,0.7093580928534929,0.3447893332091809,0.5157894736843976,region,Ghana,women_folate,hard
Volta,4,0.5458601808320227,0.6261761364289474,0.4121515686533145,0.5458601808316004,national,Ghana,women_folate,hard
Central,6,0.5517241379310345,3.446956363585196,0.06573127087351856,0.5517241379351796,region,Ghana,women_folate,hard
Ahafo,2,0.5458601808320227,-0.1780122793978475,0.5894854749807267,0.5458601808320033,national,Ghana,women_folate,hard
Upper East,5,0.5666666666666667,-0.3707637816918972,0.6536490833198508,0.5666666666664594,region,Ghana,women_folate,hard
Savannah,4,0.5458601808320227,-1.1966948474402832,0.7989559902829563,0.5458601808282976,national,Ghana,women_folate,hard
North East,3,0.5458601808320227,-1.0447936030105867,0.772233949721376,0.5458601808278881,national,Ghana,women_folate,hard
Bono,3,0.5458601808320227,-0.4037297981174722,0.6408166629304207,0.545860180830923,national,Ghana,women_folate,hard
Western,5,0.5458601808320227,0.9755054059504957,0.31589801371587906,0.5458601808320227,national,Ghana,women_folate,hard
Northern,8,0.6458333333333334,0.031176097903668397,0.6388599880784667,0.6458333333333209,region,Ghana,women_folate,hard
Upper West,5,0.5458601808320227,-0.7417933095190655,0.7127398305169612,0.5458601808320228,national,Ghana,women_folate,hard
Bono East,3,0.5458601808320227,-0.7517735767020247,0.7167884327653757,0.5458601808320226,national,Ghana,women_folate,hard
Oti,1,0.5458601808320227,-1.3212270639197126,0.8183464986171124,0.5458601808300458,national,Ghana,women_folate,hard
Western North,1,0.5458601808320227,0.7998399452771466,0.35071855823584824,0.5458601808320234,national,Ghana,women_folate,hard
(national),75,0.5458601808320227,NA,0.29169762770365554,0.5458601808320227,national,Ghana,women_folate,national
Greater Accra,8,0.048387096774193554,0.9846802438764408,0.018653753646570088,0.04838709677419343,region,Ghana,women_b12,hard
Eastern,5,0.04770854490466158,0.3820320855002552,0.035425499914013725,0.04770854490466157,region,Ghana,women_b12,hard
Ashanti,12,0.05263157894736842,0.71629837897989,0.02648187248091886,0.05263157894736842,region,Ghana,women_b12,hard
Volta,4,0.07008314907753983,1.191586195959813,0.022389436184780207,0.07008314907753842,national,Ghana,women_b12,hard
Central,6,0,NA,0.013869720724291159,0.013869720724291159,region,Ghana,women_b12,hard
Ahafo,2,0.07008314907753983,1.3316710251671167,0.019518767254392576,0.07008314907753985,national,Ghana,women_b12,hard
Upper East,5,0,NA,0.12907099221556884,0.12907099221556884,region,Ghana,women_b12,hard
Savannah,4,0.07008314907753983,0.16887913143403624,0.05986386346537435,0.07008314907753964,national,Ghana,women_b12,hard
North East,3,0.07008314907753983,0.7207733805818629,0.0353972707440223,0.07008314907753975,national,Ghana,women_b12,hard
Bono,3,0.07008314907753983,0.9086519281292289,0.02953937049671539,0.07008314907755969,national,Ghana,women_b12,hard
Western,5,0.07008314907753983,2.8198047196753078,0.00448195376806789,0.07008314907754043,national,Ghana,women_b12,hard
Northern,8,0.25,2.463898167859514,0.02759768977289426,0.2500000000042529,region,Ghana,women_b12,hard
Upper West,5,0.07008314907753983,0.4381049571548279,0.04684650885967965,0.07008314907753985,national,Ghana,women_b12,hard
Bono East,3,0.07008314907753983,1.2162000860638529,0.021849435157725066,0.07008314907753975,national,Ghana,women_b12,hard
Oti,1,0.07008314907753983,0.18875438291481392,0.058736201778933274,0.07008314907753954,national,Ghana,women_b12,hard
Western North,1,0.07008314907753983,1.7078574553416423,0.013476094114623378,0.07008314907654649,national,Ghana,women_b12,hard
(national),75,0.07008314907753983,NA,0.02226624151227619,0.07008314907753983,national,Ghana,women_b12,national
Southern,4,0.11300551579528288,0.08709817375671816,0.10456523740497561,0.11300551579528284,region,SierraLeone,child_vitA,hard
Northern,5,0.13160448915154002,0.7740914203656186,0.06563292580021031,0.13160448915322634,region,SierraLeone,child_vitA,hard
Eastern,3,0.10575315184306466,-0.16680432662769462,0.12258275945736975,0.10575315184306468,region,SierraLeone,child_vitA,hard
Western,2,0.12602963765633937,-11.056309737962502,0.9683608387291175,0.12602963765633934,region,SierraLeone,child_vitA,hard
(national),14,0.12012830443252939,NA,0.8958447374794211,0.12012830443252939,national,SierraLeone,child_vitA,national
Southern,4,0.012718685496463681,-0.06931291504338304,0.013619032108872301,0.012718685496463673,region,SierraLeone,women_vitA,hard
Northern,5,0.017953867360902497,0.9776085116795237,0.006833097918468435,0.0179538673609025,region,SierraLeone,women_vitA,hard
Eastern,3,0.00992290568086945,-0.39091604554785586,0.014599646381466151,0.00992290568086945,region,SierraLeone,women_vitA,hard
Western,2,0.013905413577542233,0.35790390053885024,0.009763288298532888,0.013905413577565367,region,SierraLeone,women_vitA,hard
(national),14,0.014246561138413145,NA,0.009886998845169621,0.014246561138413145,national,SierraLeone,women_vitA,national
Southern,4,0.026653120042903437,-0.477777724464818,0.042281783416756306,0.026653120042853282,region,SierraLeone,child_iron,hard
Northern,5,0.0527947422502203,-0.15352127075507227,0.06096054421083891,0.05279474225021149,region,SierraLeone,child_iron,hard
Eastern,3,0.07898861296592981,0.8569046673181437,0.03515979332361869,0.0789886129659297,region,SierraLeone,child_iron,hard
Western,2,0.053721090122228206,1.158413541338717,0.01753566043804836,0.053721090121753426,region,SierraLeone,child_iron,hard
(national),14,0.05148373995781412,NA,0.020021114035169336,0.05148373995781412,national,SierraLeone,child_iron,national
Southern,4,0.16267891520978134,0.09298171300063227,0.15044618063793355,0.16267891520978134,region,SierraLeone,women_iron,hard
Northern,5,0.1761099612853899,-0.1019209697424336,0.19136094642044735,0.1761099612853779,region,SierraLeone,women_iron,hard
Eastern,3,0.20235958404025237,-0.06949345873977704,0.21379911275859845,0.20235958404025234,region,SierraLeone,women_iron,hard
Western,2,0.18479327838343163,0.6630351275378933,0.10461228216916757,0.18479327838332024,region,SierraLeone,women_iron,hard
(national),14,0.09606178111162943,NA,0.11130462386920498,0.09606178111162943,national,SierraLeone,women_iron,national
Southern,4,0.89718783516547,0.8615747324177342,0.7867963108460125,0.8971878351654698,region,SierraLeone,women_folate,hard
Northern,5,0.7540345290621389,-0.9948040770670618,0.891548876726849,0.7540345290621399,region,SierraLeone,women_folate,hard
Eastern,3,0.7920468550001551,0.040556348629304316,0.7853185051756936,0.7920468550001561,region,SierraLeone,women_folate,hard
Western,2,0.746857972923504,-1.4288944528137648,0.9248143470532287,0.7468579729211222,region,SierraLeone,women_folate,hard
(national),14,0.7915613905514678,NA,0.9167254943652102,0.7915613905514678,national,SierraLeone,women_folate,national
Southern,4,0.004464518222011998,-0.61829281928752855,0.00825346747122554,0.004464518222011998,region,SierraLeone,women_b12,hard
Northern,5,0.002775217317260264,-0.7539881155642206,0.005879359468145591,0.00277521731726025,region,SierraLeone,women_b12,hard
Eastern,3,0.009712250310341631,0.3282540247570029,0.007013645502625842,0.009712250310341635,region,SierraLeone,women_b12,hard
Western,2,0.005813456505828616,-2.5536207872354413,0.06966032518087152,0.005813456505828934,region,SierraLeone,women_b12,hard
(national),14,0.0052317547237929855,NA,0.06445594298168192,0.0052317547237929855,national,SierraLeone,women_b12,national
Blantyre,2,0.10168993412708867,1.7073617333089794,0.020141189943297746,0.1016899341288785,national,Malawi,child_vitA,hard
Chitipa,5,0.038491281828341946,0.17629462497332635,0.03247535812982486,0.03849128182827994,region,Malawi,child_vitA,hard
Karonga,4,0.10515532355197164,1.1158806955800395,0.03716916177588271,0.1051553235497409,region,Malawi,child_vitA,hard
Lilongwe,4,0.07347748636382244,0.6053860056489946,0.04153852380100242,0.07347748636382233,region,Malawi,child_vitA,hard
Mwanza,2,0.10168993412708867,1.358893776720046,0.028274410816985413,0.1016899341270815,national,Malawi,child_vitA,hard
Mzimba,6,0.04868489818986985,0.796097989384357,0.022594992999869553,0.04868489818986978,region,Malawi,child_vitA,hard
Nkhotakota,4,0.07745098009094313,0.9971242432240994,0.030102736216690795,0.07745098009187795,region,Malawi,child_vitA,hard
Nsanje,3,0.13605544325693977,1.3663860793176543,0.03862528100166888,0.13605544325695648,region,Malawi,child_vitA,hard
Rumphi,5,0.031762977262251524,-0.019970190288501586,0.03238256956564366,0.03176297726225152,region,Malawi,child_vitA,hard
Ntchisi,3,0.05283200086519955,0.4906872709308516,0.033029631873098535,0.05283200086519906,region,Malawi,child_vitA,hard
Mangochi,3,0.1807814200775911,1.5275458585405577,0.045750102948529124,0.18078142008051196,region,Malawi,child_vitA,hard
Mchinji,4,0.14918710944087338,1.6028603387664886,0.03410749121606173,0.14918710944079036,region,Malawi,child_vitA,hard
Ntcheu,4,0.13158812972907863,1.3990332292710872,0.0361066167238842,0.1315881297290784,region,Malawi,child_vitA,hard
Mulanje,2,0.060519467934889534,0.4227607228385159,0.040740981921133186,0.06051946793488944,region,Malawi,child_vitA,hard
Salima,4,0.20784916666139105,1.4618923309878098,0.05894758764163479,0.20784916665983139,region,Malawi,child_vitA,hard
Kasungu,4,0.04561297043754572,0.15668757833198657,0.03927378046082291,0.04561297043754554,region,Malawi,child_vitA,hard
Dowa,4,0.023954654311418765,-0.7955324939350125,0.05155337199180761,0.023954654311422505,region,Malawi,child_vitA,hard
Nkhata Bay,5,0.09741235384486886,2.691916948811973,0.0073142463935522,0.09741235384486886,region,Malawi,child_vitA,hard
Thyolo,3,0.10168993412708867,1.5188608831562675,0.02420129524496389,0.10168993412709414,national,Malawi,child_vitA,hard
Zomba,2,0.15847804755878794,1.7513186473659406,0.032225043831769246,0.15847804755878792,region,Malawi,child_vitA,hard
Chiradzulu,3,0.08203290968466351,0.608644697790672,0.04638764963329598,0.08203290968466347,region,Malawi,child_vitA,hard
Balaka,2,0.10168993412708867,0.5785680211390537,0.059686193780410075,0.10168993412708767,national,Malawi,child_vitA,hard
Dedza,3,0.13225918041205287,1.4785975044877837,0.033591796972429214,0.13225918041205126,region,Malawi,child_vitA,hard
Chikwawa,2,0,NA,0.04920268948348853,0.04920268948348853,region,Malawi,child_vitA,hard
Machinga,1,0.10168993412708867,0.6655991355994718,0.05498262396684895,0.10168993412705651,national,Malawi,child_vitA,hard
Phalombe,1,0.04297035810940474,-0.3518912405089522,0.06000579369847553,0.042970358109404874,region,Malawi,child_vitA,hard
Neno,2,0.10168993412708867,0.7235234699497975,0.05229820971514611,0.10168993412703703,national,Malawi,child_vitA,hard
(national),87,0.10168993412708867,NA,0.03404138657675605,0.10168993412708867,national,Malawi,child_vitA,national
Blantyre,2,0.021729082944041272,0.4884782341638363,0.013446189715794683,0.0217290829440378,national,Malawi,women_vitA,hard
Chitipa,5,0,NA,0.008845781248753046,0.008845781248753046,region,Malawi,women_vitA,hard
Karonga,4,0,NA,0.005518604371207339,0.005518604371207339,region,Malawi,women_vitA,hard
Lilongwe,4,0.05027880150671786,2.2073398393489,0.005819765833730264,0.050278801506722634,region,Malawi,women_vitA,hard
Mwanza,2,0.021729082944041272,0.9821446658253821,0.008251406990145965,0.021729082944041276,national,Malawi,women_vitA,hard
Mzimba,6,0,NA,0.008292598276343347,0.008292598276343347,region,Malawi,women_vitA,hard
Nkhotakota,4,0,NA,0.005995291828415038,0.005995291828415038,region,Malawi,women_vitA,hard
Nsanje,3,0.021729082944041272,0.9518037808231323,0.008501831146383752,0.021729082944041276,national,Malawi,women_vitA,hard
Rumphi,5,0,NA,0.0088493661310717,0.0088493661310717,region,Malawi,women_vitA,hard
Ntchisi,3,0.021729082944041272,1.0313130293217945,0.00785818810601448,0.02172908294404127,national,Malawi,women_vitA,hard
Mangochi,3,0.021729082944041272,1.2262534163295205,0.006477267709421732,0.021729082944098817,national,Malawi,women_vitA,hard
Mchinji,4,0.027156760405198484,1.133289595425393,0.008907793312161748,0.027156760405198484,region,Malawi,women_vitA,hard
Ntcheu,4,0,NA,0.008318797996354606,0.008318797996354606,region,Malawi,women_vitA,hard
Mulanje,2,0,NA,0.007969115227389844,0.007969115227389844,region,Malawi,women_vitA,hard
Salima,4,0,NA,0.00734873754850927,0.00734873754850927,region,Malawi,women_vitA,hard
Kasungu,4,0.03199585340539979,1.3267413184453758,0.008694547911880037,0.031995853405399795,region,Malawi,women_vitA,hard
Dowa,4,0,NA,0.010637478798757236,0.010637478798757236,region,Malawi,women_vitA,hard
Nkhata Bay,5,0,NA,0.005356621857743222,0.005356621857743222,region,Malawi,women_vitA,hard
Thyolo,3,0.03799029599562848,1.598957215706823,0.007918279634607934,0.03799029599563909,region,Malawi,women_vitA,hard
Zomba,2,0.037804150454048946,1.6580217547158052,0.007429734451446016,0.037804150454063885,region,Malawi,women_vitA,hard
Chiradzulu,3,0,NA,0.008789416198146518,0.008789416198146518,region,Malawi,women_vitA,hard
Balaka,2,0.021729082944041272,1.0289496823260056,0.007875592337969538,0.021729082944041266,national,Malawi,women_vitA,hard
Dedza,3,0.053257666980422204,2.0060456666133817,0.007510439276938081,0.05325766698042419,region,Malawi,women_vitA,hard
Chikwawa,2,0.03872793143352256,1.5692661079963415,0.008318914992118589,0.03872793143352968,region,Malawi,women_vitA,hard
Machinga,1,0.021729082944041272,1.200288964193571,0.006643675964876896,0.021729082944041272,national,Malawi,women_vitA,hard
Phalombe,1,0,NA,0.007020645793007133,0.007020645793007133,region,Malawi,women_vitA,hard
Neno,2,0.021729082944041272,0.9362594279407854,0.008634241134529099,0.021729082944041272,national,Malawi,women_vitA,hard
(national),87,0.021729082944041272,NA,0.008323446371351469,0.021729082944041272,national,Malawi,women_vitA,national
Blantyre,2,0.10285851464042006,-1.6047738983078796,0.3614327132662597,0.1028585146404202,national,Malawi,child_iron,hard
Chitipa,5,0.17205525707764416,0.2295688293872732,0.1418316356940436,0.17205525707764316,region,Malawi,child_iron,hard
Karonga,4,0.18070950939187397,-1.338067336516468,0.43894696844221787,0.18070950939073285,region,Malawi,child_iron,hard
Lilongwe,4,0.272383395251907,0.062451328311307924,0.26084264918334404,0.2723833952517549,region,Malawi,child_iron,hard
Mwanza,2,0.10285851464042006,-0.24639830038944152,0.12684575733618986,0.10285851464042005,national,Malawi,child_iron,hard
Mzimba,6,0.23414859249377962,-0.17036533328816644,0.2654898508239166,0.23414859249377962,region,Malawi,child_iron,hard
Nkhotakota,4,0.22804826272099332,-1.4208994011592722,0.5254188414396712,0.2280482627209931,region,Malawi,child_iron,hard
Nsanje,3,0.2619679705529307,-0.09846548132055073,0.2803675296839152,0.26196797055292975,region,Malawi,child_iron,hard
Rumphi,5,0.40657225664841534,0.020901941909472768,0.40177687846600557,0.40657225664841523,region,Malawi,child_iron,hard
Ntchisi,3,0.12603519878872063,0.3271416995833862,0.09473846515581032,0.1260351987887206,region,Malawi,child_iron,hard
Mangochi,3,0.23150396434380935,0.6510908986151821,0.13784311573171643,0.231503964343809,region,Malawi,child_iron,hard
Mchinji,4,0.15551486209076376,0.7212884278219092,0.08294782710103145,0.15551486209076365,region,Malawi,child_iron,hard
Ntcheu,4,0.18147088267257927,0.3263506935423348,0.139575343297642,0.1814708826725502,region,Malawi,child_iron,hard
Mulanje,2,0.2402204531031626,1.1104328943769695,0.09458001991323255,0.2402204531031686,region,Malawi,child_iron,hard
Salima,4,0.11135711320845966,-0.22040322398585485,0.13499720439581112,0.11135711320833296,region,Malawi,child_iron,hard
Kasungu,4,0.19281359568683537,0.21847085455301637,0.16110723434798715,0.19281359568683623,region,Malawi,child_iron,hard
Dowa,4,0.11137987279398119,0.24890136074925134,0.08907897132677525,0.11137987279398118,region,Malawi,child_iron,hard
Nkhata Bay,5,0.10836287538909975,0.5119045686133229,0.0687826766984864,0.10836287538909975,region,Malawi,child_iron,hard
Thyolo,3,0.10285851464042006,-0.3597156865001958,0.14097267836167318,0.10285851464042037,national,Malawi,child_iron,hard
Zomba,2,0.15746990955144258,0.5082282566975123,0.10122627860345036,0.15746990955144255,region,Malawi,child_iron,hard
Chiradzulu,3,0.17231477329115458,0.4954239009598864,0.11262096252004797,0.17231477329115458,region,Malawi,child_iron,hard
Balaka,2,0.10285851464042006,-0.41237508612690327,0.1469581543874894,0.10285851464019626,national,Malawi,child_iron,hard
Dedza,3,0.02812680130746878,-0.8841653878492738,0.06537663211526176,0.028126801307468915,region,Malawi,child_iron,hard
Chikwawa,2,0.3591941718774366,0.6299348622840086,0.23148219438294276,0.35919417187743563,region,Malawi,child_iron,hard
Machinga,1,0.10285851464042006,-0.8345216316695089,0.20893820482243255,0.10285851464042005,national,Malawi,child_iron,hard
Phalombe,1,0.4005120335282965,1.2602747088838437,0.15927842115247035,0.4005120335282964,region,Malawi,child_iron,hard
Neno,2,0.10285851464042006,-1.3922826189462412,0.29722458933389073,0.10285851464042008,national,Malawi,child_iron,hard
(national),87,0.10285851464042006,NA,0.25575182433502264,0.10285851464042006,national,Malawi,child_iron,national
