country,outcome,arm,protocol,unit,n_units,n_pred,r,mae_pp,status,reason
Gambia,child_iron,proxy,region_loro,district,30,1195,0.1074,14.25,measured,NA
Gambia,child_iron,proxy,region_loro,cluster,63,1195,0.158,15.11,measured,NA
Gambia,child_iron,proxy,cluster_kfold,district,30,1195,0.2045,12.63,measured,NA
Gambia,child_iron,proxy,cluster_kfold,cluster,63,1195,0.2328,14.06,measured,NA
Gambia,child_iron,questionnaire,region_loro,district,30,1528,0.2689,13.52,measured,NA
Gambia,child_iron,questionnaire,region_loro,cluster,63,1528,0.1658,15.76,measured,NA
Gambia,child_iron,questionnaire,cluster_kfold,district,30,1528,0.5361,11.11,measured,NA
Gambia,child_iron,questionnaire,cluster_kfold,cluster,63,1528,0.365,13.07,measured,NA
Gambia,child_iron,questionnaire_hb,region_loro,district,30,1532,0.865,6.45,measured,NA
Gambia,child_iron,questionnaire_hb,region_loro,cluster,63,1532,0.8814,6.58,measured,NA
Gambia,child_iron,questionnaire_hb,cluster_kfold,district,30,1532,0.8982,5.33,measured,NA
Gambia,child_iron,questionnaire_hb,cluster_kfold,cluster,63,1532,0.8806,6.33,measured,NA
Gambia,child_vitA,proxy,region_loro,district,30,1195,0.1363,24.88,measured,NA
Gambia,child_vitA,proxy,region_loro,cluster,63,1195,0.3133,78.87,measured,NA
Gambia,child_vitA,proxy,cluster_kfold,district,30,1195,0.5502,8.56,measured,NA
Gambia,child_vitA,proxy,cluster_kfold,cluster,63,1195,0.4702,10.67,measured,NA
Gambia,child_vitA,questionnaire,region_loro,district,30,1528,0.3041,11.96,measured,NA
Gambia,child_vitA,questionnaire,region_loro,cluster,63,1528,0.3825,18.2,measured,NA
Gambia,child_vitA,questionnaire,cluster_kfold,district,30,1528,0.5701,8.38,measured,NA
Gambia,child_vitA,questionnaire,cluster_kfold,cluster,63,1528,0.4931,10.39,measured,NA
Gambia,child_vitA,questionnaire_hb,region_loro,district,30,1532,0.3041,11.96,measured,NA
Gambia,child_vitA,questionnaire_hb,region_loro,cluster,63,1532,0.3825,18.2,measured,NA
Gambia,child_vitA,questionnaire_hb,cluster_kfold,district,30,1532,0.5701,8.38,measured,NA
Gambia,child_vitA,questionnaire_hb,cluster_kfold,cluster,63,1532,0.4931,10.39,measured,NA
Gambia,women_iron,proxy,region_loro,district,30,1195,0.4542,11.37,measured,NA
Gambia,women_iron,proxy,region_loro,cluster,68,1195,0.48,11.66,measured,NA
Gambia,women_iron,proxy,cluster_kfold,district,30,1195,0.6376,8.65,measured,NA
Gambia,women_iron,proxy,cluster_kfold,cluster,68,1195,0.4395,11.63,measured,NA
Gambia,women_iron,questionnaire,region_loro,district,30,1563,0.4657,11.04,measured,NA
Gambia,women_iron,questionnaire,region_loro,cluster,68,1563,0.5052,11.37,measured,NA
Gambia,women_iron,questionnaire,cluster_kfold,district,30,1563,0.7167,8.2,measured,NA
Gambia,women_iron,questionnaire,cluster_kfold,cluster,68,1563,0.5627,10.5,measured,NA
Gambia,women_iron,questionnaire_hb,region_loro,district,30,1570,0.8483,6.39,measured,NA
Gambia,women_iron,questionnaire_hb,region_loro,cluster,68,1570,0.8381,6.61,measured,NA
Gambia,women_iron,questionnaire_hb,cluster_kfold,district,30,1570,0.8537,6.23,measured,NA
Gambia,women_iron,questionnaire_hb,cluster_kfold,cluster,68,1570,0.8355,6.85,measured,NA
Gambia,women_vitA,proxy,region_loro,district,30,1195,0.3988,3.47,measured,NA
Gambia,women_vitA,proxy,region_loro,cluster,68,1195,0.2359,3.56,measured,NA
Gambia,women_vitA,proxy,cluster_kfold,district,30,1195,0.4609,3.22,measured,NA
Gambia,women_vitA,proxy,cluster_kfold,cluster,68,1195,0.4928,2.76,measured,NA
Gambia,women_vitA,questionnaire,region_loro,district,30,1563,0.4374,3.28,measured,NA
Gambia,women_vitA,questionnaire,region_loro,cluster,68,1563,0.3387,3.43,measured,NA
Gambia,women_vitA,questionnaire,cluster_kfold,district,30,1563,0.4814,3.38,measured,NA
Gambia,women_vitA,questionnaire,cluster_kfold,cluster,68,1563,0.4701,2.9,measured,NA
Gambia,women_vitA,questionnaire_hb,region_loro,district,30,1570,0.4565,3.2,measured,NA
Gambia,women_vitA,questionnaire_hb,region_loro,cluster,68,1570,0.3738,3.33,measured,NA
Gambia,women_vitA,questionnaire_hb,cluster_kfold,district,30,1570,0.5697,3.29,measured,NA
Gambia,women_vitA,questionnaire_hb,cluster_kfold,cluster,68,1570,0.5347,2.81,measured,NA
Ghana,child_iron,proxy,region_loro,district,71,1872,0.3984,13.02,measured,NA
Ghana,child_iron,proxy,region_loro,cluster,83,1872,0.3933,13.31,measured,NA
Ghana,child_iron,proxy,cluster_kfold,district,71,1872,0.61,11.31,measured,NA
Ghana,child_iron,proxy,cluster_kfold,cluster,83,1872,0.5819,11.91,measured,NA
Ghana,child_iron,questionnaire,region_loro,district,71,2085,0.4104,12.91,measured,NA
Ghana,child_iron,questionnaire,region_loro,cluster,83,2085,0.4027,13.18,measured,NA
Ghana,child_iron,questionnaire,cluster_kfold,district,71,2085,0.6096,10.95,measured,NA
Ghana,child_iron,questionnaire,cluster_kfold,cluster,83,2085,0.5777,11.55,measured,NA
Ghana,child_iron,questionnaire_hb,region_loro,district,71,2097,0.4254,12.83,measured,NA
Ghana,child_iron,questionnaire_hb,region_loro,cluster,83,2097,0.414,13.13,measured,NA
Ghana,child_iron,questionnaire_hb,cluster_kfold,district,71,2097,0.6127,11.2,measured,NA
Ghana,child_iron,questionnaire_hb,cluster_kfold,cluster,83,2097,0.5878,11.67,measured,NA
Ghana,child_vitA,proxy,region_loro,district,71,1872,0.2885,8.97,measured,NA
Ghana,child_vitA,proxy,region_loro,cluster,83,1872,0.2484,9.58,measured,NA
Ghana,child_vitA,proxy,cluster_kfold,district,71,1872,0.2305,9.57,measured,NA
Ghana,child_vitA,proxy,cluster_kfold,cluster,83,1872,0.1516,10.44,measured,NA
Ghana,child_vitA,questionnaire,region_loro,district,71,2085,0.2439,9.23,measured,NA
Ghana,child_vitA,questionnaire,region_loro,cluster,83,2085,0.2396,9.69,measured,NA
Ghana,child_vitA,questionnaire,cluster_kfold,district,71,2085,0.2964,9.13,measured,NA
Ghana,child_vitA,questionnaire,cluster_kfold,cluster,83,2085,0.1667,10.39,measured,NA
Ghana,child_vitA,questionnaire_hb,region_loro,district,71,2097,0.2595,9.21,measured,NA
Ghana,child_vitA,questionnaire_hb,region_loro,cluster,83,2097,0.2564,9.63,measured,NA
Ghana,child_vitA,questionnaire_hb,cluster_kfold,district,71,2097,0.2964,9.13,measured,NA
Ghana,child_vitA,questionnaire_hb,cluster_kfold,cluster,83,2097,0.1667,10.39,measured,NA
Ghana,women_iron,proxy,region_loro,district,72,1872,-0.1037,6.96,measured,NA
Ghana,women_iron,proxy,region_loro,cluster,86,1872,-0.1399,7.69,measured,NA
Ghana,women_iron,proxy,cluster_kfold,district,72,1872,0.1779,6.39,measured,NA
Ghana,women_iron,proxy,cluster_kfold,cluster,86,1872,0.11,7.3,measured,NA
Ghana,women_iron,questionnaire,region_loro,district,72,2049,-0.0116,6.89,measured,NA
Ghana,women_iron,questionnaire,region_loro,cluster,86,2049,-0.035,7.5,measured,NA
Ghana,women_iron,questionnaire,cluster_kfold,district,72,2049,0.2131,6.29,measured,NA
Ghana,women_iron,questionnaire,cluster_kfold,cluster,86,2049,0.1511,7.12,measured,NA
Ghana,women_iron,questionnaire_hb,region_loro,district,72,2056,0.593,5.14,measured,NA
Ghana,women_iron,questionnaire_hb,region_loro,cluster,86,2056,0.6043,5.66,measured,NA
Ghana,women_iron,questionnaire_hb,cluster_kfold,district,72,2056,0.6164,5.32,measured,NA
Ghana,women_iron,questionnaire_hb,cluster_kfold,cluster,86,2056,0.5824,6,measured,NA
Ghana,women_vitA,proxy,region_loro,district,72,1872,0.0279,2.69,measured,NA
Ghana,women_vitA,proxy,region_loro,cluster,86,1872,0.043,2.76,measured,NA
Ghana,women_vitA,proxy,cluster_kfold,district,72,1872,-0.0494,2.7,measured,NA
Ghana,women_vitA,proxy,cluster_kfold,cluster,86,1872,-0.0332,2.79,measured,NA
Ghana,women_vitA,questionnaire,region_loro,district,72,2049,0.0524,2.96,measured,NA
Ghana,women_vitA,questionnaire,region_loro,cluster,86,2049,0.0994,2.97,measured,NA
Ghana,women_vitA,questionnaire,cluster_kfold,district,72,2049,0.1725,2.63,measured,NA
Ghana,women_vitA,questionnaire,cluster_kfold,cluster,86,2049,0.1829,2.73,measured,NA
Ghana,women_vitA,questionnaire_hb,region_loro,district,72,2056,0.1051,2.9,measured,NA
Ghana,women_vitA,questionnaire_hb,region_loro,cluster,86,2056,0.1368,2.92,measured,NA
Ghana,women_vitA,questionnaire_hb,cluster_kfold,district,72,2056,0.1365,2.73,measured,NA
Ghana,women_vitA,questionnaire_hb,cluster_kfold,cluster,86,2056,0.1608,2.79,measured,NA
Sierra Leone,child_iron,proxy,region_loro,district,14,1165,0.2856,4.28,measured,NA
Sierra Leone,child_iron,proxy,region_loro,cluster,52,1165,0.1434,7.1,measured,NA
Sierra Leone,child_iron,proxy,cluster_kfold,district,14,1165,0.7854,3.22,measured,NA
Sierra Leone,child_iron,proxy,cluster_kfold,cluster,52,1165,-0.0081,7.4,measured,NA
Sierra Leone,child_iron,questionnaire,region_loro,district,14,1548,0.1633,12.32,measured,NA
Sierra Leone,child_iron,questionnaire,region_loro,cluster,52,1548,0.1013,14,measured,NA
Sierra Leone,child_iron,questionnaire,cluster_kfold,district,14,1548,0.6042,3.73,measured,NA
Sierra Leone,child_iron,questionnaire,cluster_kfold,cluster,52,1548,0.0995,8.56,measured,NA
Sierra Leone,child_iron,questionnaire_hb,region_loro,district,14,1550,0.1633,12.32,measured,NA
Sierra Leone,child_iron,questionnaire_hb,region_loro,cluster,52,1550,0.1013,14,measured,NA
Sierra Leone,child_iron,questionnaire_hb,cluster_kfold,district,14,1550,0.561,3.98,measured,NA
Sierra Leone,child_iron,questionnaire_hb,cluster_kfold,cluster,52,1550,0.0797,8.75,measured,NA
Sierra Leone,child_vitA,proxy,region_loro,district,14,1165,0.1033,6.49,measured,NA
Sierra Leone,child_vitA,proxy,region_loro,cluster,52,1165,-0.0422,11.29,measured,NA
Sierra Leone,child_vitA,proxy,cluster_kfold,district,14,1165,0.7104,3.25,measured,NA
Sierra Leone,child_vitA,proxy,cluster_kfold,cluster,52,1165,0.0135,9.54,measured,NA
Sierra Leone,child_vitA,questionnaire,region_loro,district,14,1548,0.0963,9.03,measured,NA
Sierra Leone,child_vitA,questionnaire,region_loro,cluster,52,1548,0.0273,14.61,measured,NA
Sierra Leone,child_vitA,questionnaire,cluster_kfold,district,14,1548,0.7527,2.87,measured,NA
Sierra Leone,child_vitA,questionnaire,cluster_kfold,cluster,52,1548,0.0044,10.09,measured,NA
Sierra Leone,child_vitA,questionnaire_hb,region_loro,district,14,1550,0.0994,8.54,measured,NA
Sierra Leone,child_vitA,questionnaire_hb,region_loro,cluster,52,1550,0.0442,14.05,measured,NA
Sierra Leone,child_vitA,questionnaire_hb,cluster_kfold,district,14,1550,0.7767,2.82,measured,NA
Sierra Leone,child_vitA,questionnaire_hb,cluster_kfold,cluster,52,1550,0.1177,9.73,measured,NA
Sierra Leone,women_iron,proxy,region_loro,district,14,1165,0.1661,7.5,measured,NA
Sierra Leone,women_iron,proxy,region_loro,cluster,58,1165,0.0841,11.53,measured,NA
Sierra Leone,women_iron,proxy,cluster_kfold,district,14,1165,0.8937,2.43,measured,NA
Sierra Leone,women_iron,proxy,cluster_kfold,cluster,58,1165,-0.0019,8.92,measured,NA
Sierra Leone,women_iron,questionnaire,region_loro,district,14,1349,0.0887,13.43,measured,NA
Sierra Leone,women_iron,questionnaire,region_loro,cluster,58,1349,0.0728,19.33,measured,NA
Sierra Leone,women_iron,questionnaire,cluster_kfold,district,14,1349,0.8759,2.66,measured,NA
Sierra Leone,women_iron,questionnaire,cluster_kfold,cluster,58,1349,0.054,9.13,measured,NA
Sierra Leone,women_iron,questionnaire_hb,region_loro,district,14,1351,0.016,52.06,measured,NA
Sierra Leone,women_iron,questionnaire_hb,region_loro,cluster,58,1351,0.0108,92.87,measured,NA
Sierra Leone,women_iron,questionnaire_hb,cluster_kfold,district,14,1351,0.8111,2.94,measured,NA
Sierra Leone,women_iron,questionnaire_hb,cluster_kfold,cluster,58,1351,0.1063,8.85,measured,NA
Sierra Leone,women_vitA,proxy,region_loro,district,14,1165,-0.4257,1.77,measured,NA
Sierra Leone,women_vitA,proxy,region_loro,cluster,58,1165,-0.1882,2.84,measured,NA
Sierra Leone,women_vitA,proxy,cluster_kfold,district,14,1165,0.7333,1.06,measured,NA
Sierra Leone,women_vitA,proxy,cluster_kfold,cluster,58,1165,-0.1327,2.93,measured,NA
Sierra Leone,women_vitA,questionnaire,region_loro,district,14,1349,-0.2531,1.84,measured,NA
Sierra Leone,women_vitA,questionnaire,region_loro,cluster,58,1349,-0.1745,2.98,measured,NA
Sierra Leone,women_vitA,questionnaire,cluster_kfold,district,14,1349,0.8007,0.9,measured,NA
Sierra Leone,women_vitA,questionnaire,cluster_kfold,cluster,58,1349,0.0167,3,measured,NA
Sierra Leone,women_vitA,questionnaire_hb,region_loro,district,14,1351,-0.2113,1.79,measured,NA
Sierra Leone,women_vitA,questionnaire_hb,region_loro,cluster,58,1351,-0.1278,2.69,measured,NA
Sierra Leone,women_vitA,questionnaire_hb,cluster_kfold,district,14,1351,0.6731,1.08,measured,NA
Sierra Leone,women_vitA,questionnaire_hb,cluster_kfold,cluster,58,1351,-0.0328,2.99,measured,NA
Malawi,child_iron,questionnaire,region_loro,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_iron,questionnaire,region_loro,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_iron,questionnaire,cluster_kfold,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_iron,questionnaire,cluster_kfold,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_iron,questionnaire_hb,region_loro,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_iron,questionnaire_hb,region_loro,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_iron,questionnaire_hb,cluster_kfold,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_iron,questionnaire_hb,cluster_kfold,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_iron,proxy,region_loro,district,83,1147,0.3657,7.45,measured,NA
Malawi,child_iron,proxy,region_loro,cluster,97,1147,0.3259,7.65,measured,NA
Malawi,child_iron,proxy,cluster_kfold,district,83,1147,0.3803,7.33,measured,NA
Malawi,child_iron,proxy,cluster_kfold,cluster,97,1147,0.3378,7.57,measured,NA
Malawi,child_vitA,questionnaire,region_loro,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_vitA,questionnaire,region_loro,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
