outcome,variant,scale,target,geo,cells,spearman,pearson,mae_pp,abs_bias
child_iron,baseline,logit,level,FALSE,4,0.218,0.256,25.74,22.68
child_iron,raw_scale,raw,level,FALSE,4,0.289,0.313,25.88,23.09
child_iron,zscore_target,logit,zscore,FALSE,4,0.352,0.368,13.25,9.3
child_iron,geo_coords,logit,level,TRUE,4,0.212,0.264,25.82,22.78
child_iron,all_three,raw,zscore,TRUE,4,0.346,0.341,11.81,7.36
child_vitA,baseline,logit,level,FALSE,4,0.184,0.166,9.14,4.12
child_vitA,raw_scale,raw,level,FALSE,4,0.222,0.239,8.14,2.5
child_vitA,zscore_target,logit,zscore,FALSE,4,0.217,0.212,9.44,4.37
child_vitA,geo_coords,logit,level,TRUE,4,0.184,0.166,9.14,4.12
child_vitA,all_three,raw,zscore,TRUE,4,0.25,0.234,8.39,3.28
women_iron,baseline,logit,level,FALSE,4,0.104,0.124,18.07,12.9
women_iron,raw_scale,raw,level,FALSE,4,-0.002,0.04,21.98,18.75
women_iron,zscore_target,logit,zscore,FALSE,4,0.192,0.238,14.25,8.8
women_iron,geo_coords,logit,level,TRUE,4,0.108,0.126,18.41,13.51
women_iron,all_three,raw,zscore,TRUE,4,0.066,0.089,13.63,6.29
women_vitA,baseline,logit,level,FALSE,4,0.08,0.034,2.4,1.11
women_vitA,raw_scale,raw,level,FALSE,4,-0.002,-0.024,2.31,1.05
women_vitA,zscore_target,logit,zscore,FALSE,4,0.035,0.011,3.14,1.26
women_vitA,geo_coords,logit,level,TRUE,4,0.08,0.034,2.4,1.11
women_vitA,all_three,raw,zscore,TRUE,4,-0.063,0.004,2.82,0.95
