variable,level,prefix,source,source_kind,conceptual_domain,conceptual_subdomain,description,countries_present,n_countries,in_all_countries,reaches_area_model,reaches_individual_model,note
gee_landcovertype_2017_2017_01_01_lc_type5,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia;Ghana,2,FALSE,FALSE,TRUE,NA
gee_landcovertype_2017_2017_01_01_lw,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia;Ghana,2,FALSE,FALSE,TRUE,NA
gee_landcovertype_2017_2017_01_01_qc,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia;Ghana,2,FALSE,FALSE,TRUE,NA
gee_landcovertype_2017_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia;Ghana,2,FALSE,FALSE,TRUE,NA
gee_landcovertype_2017_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia;Ghana,2,FALSE,FALSE,TRUE,NA
gee_landcovertype_2017_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia;Ghana,2,FALSE,FALSE,TRUE,NA
gee_landcovertype_2017_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia;Ghana,2,FALSE,FALSE,TRUE,NA
gee_landcovertype_2017_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia;Ghana,2,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_prop1,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_prop1_assessment,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_prop2,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_prop2_assessment,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_prop3,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_prop3_assessment,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_type1,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_type2,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_type3,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_type4,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lc_type5,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_lw,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_2018_01_01_qc,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_landcovertype_2018_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Remote sensing (other),Other GEE satellite variables,Gambia,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_01_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_02_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_03_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_04_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_05_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_06_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_07_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_08_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_09_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_10_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_11_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_2010_12_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2010_monthly_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Tanzania,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_annual_mean_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_annual_mean_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_annual_mean_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_annual_mean_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_annual_mean_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_annual_mean_filledproportion,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_annual_mean_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_01_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_02_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_03_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_04_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_05_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_06_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_07_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_08_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_09_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_10_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_11_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_2012_12_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2012_monthly_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_annual_mean_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_annual_mean_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_annual_mean_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_annual_mean_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_annual_mean_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_annual_mean_filledproportion,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_annual_mean_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_01_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_02_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_03_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_04_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_05_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_06_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_07_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_08_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_09_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_10_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_11_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_2013_12_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2013_monthly_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,SierraLeone,1,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_annual_mean_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_annual_mean_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_annual_mean_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_annual_mean_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_annual_mean_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_annual_mean_filledproportion,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_annual_mean_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_01_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_02_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_03_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_04_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_05_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_06_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_07_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_08_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_09_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_10_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_11_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_2014_12_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2014_monthly_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_annual_mean_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_annual_mean_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_annual_mean_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_annual_mean_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_annual_mean_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_annual_mean_filledproportion,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_annual_mean_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_2015_01_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_2015_02_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_2015_03_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_2015_04_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_2015_05_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_annual_max,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_annual_min,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_annual_range,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_lst_night_2015_monthly_annual_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Climate,Temperature,Land surface temperature at night,Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
gee_ndvi_10km_annual_mean,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi,4,FALSE,FALSE,TRUE,NA
gee_ndvi_10km_peak_month,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi,4,FALSE,FALSE,TRUE,NA
gee_ndvi_10km_seasonal_cv,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi,4,FALSE,FALSE,TRUE,NA
gee_ndvi_10km_seasonal_range,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi,4,FALSE,FALSE,TRUE,NA
gee_ndvi_10km_seasonal_sd,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi,4,FALSE,FALSE,TRUE,NA
gee_ndvi_2010,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi;Tanzania,5,TRUE,FALSE,TRUE,NA
gee_ndvi_2011,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi;Tanzania,5,TRUE,FALSE,TRUE,NA
gee_ndvi_2012,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi;Tanzania,5,TRUE,FALSE,TRUE,NA
gee_ndvi_2013,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi;Tanzania,5,TRUE,FALSE,TRUE,NA
gee_ndvi_2014,individual,gee_,Google Earth Engine zonal means,earth observation,Environment,Vegetation,NDVI vegetation index,Gambia;Ghana;SierraLeone;Malawi;Tanzania,5,TRUE,FALSE,TRUE,NA
