variable,level,prefix,source,source_kind,conceptual_domain,conceptual_subdomain,description,countries_present,n_countries,in_all_countries,reaches_area_model,reaches_individual_model,note
chirps_annual_total,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,Annual total rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_dry_months,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,Number of dry months (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_apr,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,April rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_aug,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,August rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_dec,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,December rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_feb,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,February rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_jan,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,January rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_jul,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,July rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_jun,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,June rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_mar,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,March rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_may,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,May rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_nov,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,November rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_oct,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,October rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
chirps_precip_sep,individual,chirps_,CHIRPS precipitation,earth observation,Climate,Precipitation,September rainfall (CHIRPS),Gambia;Ghana;Malawi,3,FALSE,FALSE,TRUE,NA
crp,individual,NA,unclassified / survey-native,unclassified,NA,NA,NA,Malawi,1,FALSE,FALSE,FALSE,NA
crp_c1,individual,NA,unclassified / survey-native,unclassified,NA,NA,NA,Malawi,1,FALSE,FALSE,FALSE,NA
dataid,individual,NA,unclassified / survey-native,unclassified,NA,NA,NA,Gambia;Ghana;SierraLeone;Malawi;Tanzania,5,TRUE,FALSE,FALSE,NA
date_dob,individual,NA,unclassified / survey-native,unclassified,NA,NA,NA,Malawi,1,FALSE,FALSE,FALSE,NA
date_interview,individual,NA,unclassified / survey-native,unclassified,NA,NA,NA,Malawi,1,FALSE,FALSE,FALSE,NA
dhs2010_AN_ANEM_W_ANY,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Adult Nutrition,Anemia (women),Anemia prevalence in women,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_AN_ANEM_W_ANY_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Adult Nutrition,Anemia (women),Anemia prevalence in women,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_AN_NUTS_W_THN,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Adult Nutrition,Nutritional status (women),BMI and nutritional status of women,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_AN_NUTS_W_THN_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Adult Nutrition,Nutritional status (women),BMI and nutritional status of women,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_DIAT_C_ORT,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Child health (other),Other child health indicators,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_DIAT_C_ORT_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Child health (other),Other child health indicators,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_BAS,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_BAS_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_DP1,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_DP1_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_DP3,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_DP3_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_MSL,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_MSL_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_NON,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CH_VACC_C_NON_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CM_ECMR_C_NNR,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Mortality,Childhood mortality,Infant and child mortality rates,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CM_ECMR_C_NNR_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Mortality,Childhood mortality,Infant and child mortality rates,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CN_ANMC_C_ANY,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Nutrition,Anemia (children),Anemia prevalence in children,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CN_ANMC_C_ANY_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Nutrition,Anemia (children),Anemia prevalence in children,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CN_NUTS_C_HA2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Nutrition,Child nutritional status,Stunting wasting and underweight,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CN_NUTS_C_HA2_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Nutrition,Child nutritional status,Stunting wasting and underweight,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CN_NUTS_C_WH2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Nutrition,Child nutritional status,Stunting wasting and underweight,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_CN_NUTS_C_WH2_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Child Nutrition,Child nutritional status,Stunting wasting and underweight,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_FP_CUSA_W_MOD,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Family Planning,Contraception,Knowledge and use of contraception,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_FP_CUSA_W_MOD_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Family Planning,Contraception,Knowledge and use of contraception,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_ML_NETP_H_IT2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Malaria,Malaria (other),Other malaria indicators,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_ML_NETP_H_IT2_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Malaria,Malaria (other),Other malaria indicators,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_RH_ANCN_W_N4P,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Reproductive Health,Antenatal care,Antenatal care visits and components,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_RH_ANCN_W_N4P_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Reproductive Health,Antenatal care,Antenatal care visits and components,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_RH_DELA_C_SKP,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Reproductive Health,Reproductive health (other),Other reproductive health indicators,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_RH_DELA_C_SKP_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Reproductive Health,Reproductive health (other),Other reproductive health indicators,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_WS_TLET_H_IMP,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Water and Sanitation,Sanitation facility,Type of sanitation facility,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_WS_TLET_H_IMP_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Water and Sanitation,Sanitation facility,Type of sanitation facility,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_WS_TLET_P_BAS,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Water and Sanitation,Sanitation facility,Type of sanitation facility,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2010_WS_TLET_P_BAS_adm2,individual,dhs2010_,DHS 2010 admin-2 aggregate,survey aggregate,Water and Sanitation,Sanitation facility,Type of sanitation facility,Tanzania,1,FALSE,FALSE,TRUE,NA
dhs2013_AN_ANEM_W_ANY,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Adult Nutrition,Anemia (women),Anemia prevalence in women,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_AN_ANEM_W_ANY_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Adult Nutrition,Anemia (women),Anemia prevalence in women,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_AN_NUTS_W_THN,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Adult Nutrition,Nutritional status (women),BMI and nutritional status of women,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_AN_NUTS_W_THN_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Adult Nutrition,Nutritional status (women),BMI and nutritional status of women,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_anemia_any_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_anemia_moderate_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_ari_2wk_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_bcg_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_bottle_fed_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_diarrhea_2wk_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_diet_diversity_score_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_dpt1_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_dpt3_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_early_initiation_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_fever_2wk_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_fully_vaccinated_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_infant_death_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_iron_rich_food_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_low_birthweight_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_mean_birthweight_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_mean_haz_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_mean_hemoglobin_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_mean_waz_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_mean_whz_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_measles1_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_min_diet_diversity_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_neonatal_death_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_no_vaccination_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_ort_diarrhea_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_overweight_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_polio3_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_severely_stunted_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_severely_wasted_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_slept_itn_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_small_at_birth_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_stunted_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_under5_death_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_underweight_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_vita_rich_food_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_vita_supplement_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_wasted_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_c_zinc_diarrhea_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,NA,NA,NA,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_DIAT_C_ORT,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Child health (other),Other child health indicators,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_DIAT_C_ORT_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Child health (other),Other child health indicators,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_BAS,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_BAS_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_DP1,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_DP1_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_DP3,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_DP3_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_MSL,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_MSL_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_NON,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CH_VACC_C_NON_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Health,Vaccinations,Childhood vaccination coverage,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CM_ECMR_C_NNR,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Mortality,Childhood mortality,Infant and child mortality rates,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CM_ECMR_C_NNR_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Mortality,Childhood mortality,Infant and child mortality rates,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CN_ANMC_C_ANY,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Nutrition,Anemia (children),Anemia prevalence in children,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CN_ANMC_C_ANY_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Nutrition,Anemia (children),Anemia prevalence in children,SierraLeone,1,FALSE,FALSE,TRUE,NA
