country,target,family,r_overall,r_between,r_within,var_share_between,n_units,n_regions
Gambia,AN_ANEM_W_ANY,DHS indicator,0.4136712659916178,0.7588447141584318,0.2788383933313529,0.2616,33,6
Gambia,AN_NUTS_W_THN,DHS indicator,0.014472037031796807,0.3868306028227044,-0.056236809019716706,0.1267,33,6
Gambia,CH_DIAT_C_ORT,DHS indicator,-0.40645377744806443,-0.6614415603269718,-0.15144569706335495,0.4021,33,6
Gambia,CH_VACC_C_BAS,DHS indicator,-0.4500127162446239,-0.4430482881593385,-0.23935412459367944,0.5589,29,6
Gambia,CH_VACC_C_DP3,DHS indicator,-0.1489678068539182,-0.417836202930493,0.3946383565650785,0.5008,21,6
Gambia,CH_VACC_C_MSL,DHS indicator,0.23892785781076667,0.582422092619859,0.1610273429357397,0.305,20,6
Gambia,CM_ECMR_C_NNR,DHS indicator,0.1235854718374804,0.11815468857246313,0.06598389985164411,0.2076,32,6
Gambia,CN_ANMC_C_ANY,DHS indicator,0.6199744934063987,0.7884216794462612,0.4316033482969816,0.5216,33,6
Gambia,CN_BRFS_C_EXB,DHS indicator,0.003559994478844494,0.11932425188485046,-0.07203384225563267,0.3366,33,6
Gambia,CN_NUTS_C_HA2,DHS indicator,0.1302644323927027,0.31400895982818056,-0.007966079363171914,0.3476,33,6
Gambia,CN_NUTS_C_WH2,DHS indicator,-0.047239613973820024,0.13820938999858484,0.025197062454864517,0.1252,30,6
Gambia,FP_CUSA_W_MOD,DHS indicator,0.1200182986440848,0.2994783434098926,-0.04679845462453132,0.3223,32,6
Gambia,FP_NADA_W_UNT,DHS indicator,0.08056431840473555,0.3921764448689513,-0.04048383512612414,0.3585,33,6
Gambia,ML_NETP_H_IT2,DHS indicator,0.27958669827188837,0.5380885872956142,0.08180510736191665,0.544,33,6
Gambia,RH_ANCN_W_N4P,DHS indicator,0.051070637757858396,0.1002664871769332,0.022504026195912262,0.358,33,6
Gambia,RH_DELA_C_SKP,DHS indicator,0.18201843963254913,0.5325210939228173,-0.1505428819172988,0.4898,33,6
Gambia,WS_TLET_H_IMP,DHS indicator,0.5813269277251208,0.9427805763574584,0.009272862732991173,0.5616,33,6
Gambia,WS_TLET_P_BAS,DHS indicator,0.16693221591579124,0.5017787914248267,0.10300002483226277,0.5498,33,6
