"column","rule_id","country","survey_year","year_used","has_data","year_offset"
"aef_A18","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A19","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A19","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A19","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A19","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A20","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A20","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A20","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A20","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A21","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A21","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A21","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A21","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A22","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A22","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A22","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A22","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A23","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A23","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A23","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A23","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A24","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A24","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A24","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A24","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A25","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A25","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A25","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A25","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A26","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A26","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A26","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A26","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A27","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A27","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A27","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A27","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A28","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A28","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A28","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A28","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A29","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A29","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A29","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A29","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
