country,outcome,predictor_set,n_predictors,rank,column,r,abs_r,n_pairs,min_n,eligible,threshold,flagged,n_flagged_in_cell,max_abs_r_in_cell,n_under_measured_cols
Gambia,child_vitA,proxy,1378,11,gee_a2_LandCoverLayers,-0.2016,0.2016,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,12,gee_terraclimate_2018_vap,-0.2013,0.2013,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,13,mics_ir1,-0.201,0.201,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,14,gee_a2_TerraClimate_vap,-0.2009,0.2009,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,15,gee_a2_TerraClimate_vs,-0.2005,0.2005,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,16,gee_terraclimate_2018_vs,-0.2002,0.2002,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,17,mics_ws14_se,-0.2001,0.2001,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,18,gee_terraclimate_2017_vs,-0.1996,0.1996,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,19,gee_lst_night_2015_monthly_annual_max,0.1995,0.1995,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,20,gee_landcoverlayers_2018_2018_discrete_classification,-0.1994,0.1994,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,21,gee_landcoverlayers_2017_2017_discrete_classification,-0.1993,0.1993,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,22,gee_terraclimate_2017_vap,-0.1992,0.1992,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,23,gee_a2_LST_Night_Mean_yoy,0.199,0.199,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,24,ihme_adm1_global_anemia_2000_2019_sev_anemia_prev_15_49_years_females_severe_anemia_percent,0.1989,0.1989,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,child_vitA,proxy,1378,25,gee_soilcalcium_stdev_20_50,-0.1987,0.1987,1020,100,TRUE,0.55,FALSE,0,0.211,0
Gambia,women_vitA,questionnaire,1727,1,gee_ndvi_50km_seasonal_cv,0.1734,0.1734,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,2,gee_lst_night_2014_monthly_2014_07_mean,0.1617,0.1617,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,3,dhs2019_c_anemia_moderate_adm2.x,0.1611,0.1611,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,4,dhs2019_c_anemia_moderate_adm2.y,0.1611,0.1611,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,5,dhs2019_c_anemia_any_adm2.x,0.1518,0.1518,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,6,dhs2019_c_anemia_any_adm2.y,0.1518,0.1518,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,7,dhs2019_CN_ANMC_C_ANY_adm2.x,0.1502,0.1502,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,8,dhs2019_CN_ANMC_C_ANY_adm2.y,0.1502,0.1502,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,9,gw_WS8,0.149,0.149,205,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,10,gee_ndvi_50km_seasonal_sd,0.1457,0.1457,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,11,gee_ndvi_50km_seasonal_range,0.1435,0.1435,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,12,gw_ib4,-0.1429,0.1429,109,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,13,dhs2019_w_anemia_moderate_adm2.x,0.1417,0.1417,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,14,dhs2019_w_anemia_moderate_adm2.y,0.1417,0.1417,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,15,gw_electric_1,-0.1369,0.1369,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,16,gee_a2_FLDAS_Qs_tavg_yoy,-0.1356,0.1356,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,17,gee_grassland_50km,0.1329,0.1329,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,18,gee_trmm_2019,-0.1319,0.1319,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,19,gw_hWealthscoreNATL,-0.1316,0.1316,1406,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,20,dhs2019_w_no_education_adm2.x,0.1304,0.1304,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,21,dhs2019_w_primary_edu_adm2.x,-0.1304,0.1304,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,22,dhs2019_w_no_education_adm2.y,0.1304,0.1304,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,23,dhs2019_w_primary_edu_adm2.y,-0.1304,0.1304,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,24,gee_a2_FLDAS_LWdown_f_tavg_yoy,0.1299,0.1299,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,questionnaire,1727,25,gee_a2_FLDAS_Tair_f_tavg_yoy,0.1295,0.1295,1413,100,TRUE,0.55,FALSE,0,0.1734,4
Gambia,women_vitA,proxy,1378,1,gee_ndvi_50km_seasonal_cv,0.1734,0.1734,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,2,gee_lst_night_2014_monthly_2014_07_mean,0.1617,0.1617,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,3,dhs2019_c_anemia_moderate_adm2.x,0.1611,0.1611,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,4,dhs2019_c_anemia_moderate_adm2.y,0.1611,0.1611,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,5,dhs2019_c_anemia_any_adm2.x,0.1518,0.1518,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,6,dhs2019_c_anemia_any_adm2.y,0.1518,0.1518,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,7,dhs2019_CN_ANMC_C_ANY_adm2.x,0.1502,0.1502,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,8,dhs2019_CN_ANMC_C_ANY_adm2.y,0.1502,0.1502,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,9,dhs2019_c_mean_hemoglobin_adm2.x,-0.1462,0.1462,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,10,dhs2019_c_mean_hemoglobin_adm2.y,-0.1462,0.1462,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,11,gee_ndvi_50km_seasonal_sd,0.1457,0.1457,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,12,gee_ndvi_50km_seasonal_range,0.1435,0.1435,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,13,dhs2019_w_anemia_moderate_adm2.x,0.1417,0.1417,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,14,dhs2019_w_anemia_moderate_adm2.y,0.1417,0.1417,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,15,gee_a2_FLDAS_Qs_tavg_yoy,-0.1356,0.1356,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,16,gee_grassland_50km,0.1329,0.1329,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,17,gee_trmm_2019,-0.1319,0.1319,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,18,dhs2019_w_no_education_adm2.x,0.1304,0.1304,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,19,dhs2019_w_primary_edu_adm2.x,-0.1304,0.1304,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,20,dhs2019_w_no_education_adm2.y,0.1304,0.1304,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,21,dhs2019_w_primary_edu_adm2.y,-0.1304,0.1304,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,22,gee_a2_FLDAS_LWdown_f_tavg_yoy,0.1299,0.1299,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,23,gee_a2_FLDAS_Tair_f_tavg_yoy,0.1295,0.1295,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,24,dhs2019_hh_urban_adm2.x,-0.1293,0.1293,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,women_vitA,proxy,1378,25,dhs2019_hh_urban_adm2.y,-0.1293,0.1293,1413,100,TRUE,0.55,FALSE,0,0.1734,0
Gambia,child_iron,questionnaire,1705,1,gw_cBirthDate,0.2344,0.2344,995,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,2,gw_caged,-0.234,0.234,995,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,3,gw_cAgeDay_MICS,-0.234,0.234,995,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,4,gw_cAgeMonth_MICS,-0.234,0.234,995,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,5,gw_cage,-0.2331,0.2331,995,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,6,gw_ch4y,0.226,0.226,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,7,gw_an2a,-0.2128,0.2128,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,8,gw_cWeight,-0.2124,0.2124,1013,100,TRUE,0.55,FALSE,0,0.2344,5
