region_share,fraction_clusters,settings,pct_survey,mae_a2,mae_a2_lo,mae_a2_hi,bias_a2,mae_a1
0.19,0.15,453,4.7,13.097,2.998,22.882,-2.766,8.693
0.19,0.25,495,5.9,12.982,2.998,23.188,-2.298,8.566
0.19,0.4,514,7.8,12.908,2.839,23.451,-2.579,8.201
0.19,0.6,555,11.7,13.13,3.074,24.087,-1.809,7.899
0.19,0.8,559,14.3,13.104,3.068,23.969,-1.391,7.78
0.19,1,560,18.4,13.018,3.142,23.648,-1.748,7.197
0.3,0.15,320,8,14.006,3.302,23.617,-2.022,8.848
0.3,0.25,320,9.3,13.72,2.998,23.492,-2.203,8.587
0.3,0.4,320,12.5,13.64,3.435,23.242,-2.525,8.027
0.3,0.6,320,17.4,13.478,3.158,22.963,-2.04,7.155
0.3,0.8,320,22.3,13.374,3.596,22.895,-1.84,6.654
0.3,1,320,29.4,13.195,3.617,22.282,-2.153,5.675
0.31,0.15,201,6.6,11.47,2.469,19.056,-2.165,7.713
0.31,0.25,232,9.3,12.175,2.481,25.436,-2.005,8.073
0.31,0.4,234,12.5,12.167,2.958,25.059,-1.224,7.633
0.31,0.6,240,19.4,12.371,2.642,25.316,-1.071,7.354
0.31,0.8,240,24.3,12.212,2.603,25.133,-0.547,6.938
0.31,1,240,31.3,12.125,2.515,24.713,-1.105,6.303
0.33,0.15,148,5.1,16.924,3.507,31.655,-12.409,9.05
0.33,0.25,160,8.4,15.579,3.54,29.256,-11.027,7.853
0.33,0.4,160,13.2,15.648,3.569,29.14,-11.576,7.203
0.33,0.6,160,20.6,16.114,3.644,28.892,-12.124,6.428
0.33,0.8,160,26.7,15.415,3.64,28.648,-11.327,5.827
0.33,1,160,33,15.286,3.573,27.518,-11.095,5.192
0.38,0.15,223,7.6,12.337,2.076,25.715,-1.841,8.406
0.38,0.25,239,11.1,12.384,2.574,25.788,-2.141,8.065
0.38,0.4,240,15.2,12.37,2.684,25.911,-0.844,7.642
0.38,0.6,240,23,12.28,2.806,25.664,-1.127,6.877
0.38,0.8,240,29.2,12.037,2.688,24.582,-1.049,6.497
0.38,1,240,37.1,12.071,2.806,24.531,-0.825,5.783
0.41,0.15,320,10.9,13.745,3.146,23.506,-1.487,8.391
0.41,0.25,320,12.7,13.649,3.339,23.452,-2.273,8.185
0.41,0.4,320,17.1,13.523,3.314,23.352,-2.541,7.396
0.41,0.6,320,24.4,13.544,3.436,23.393,-2.396,6.703
0.41,0.8,320,30.9,13.374,3.503,23.047,-2.651,5.906
0.41,1,320,40.9,13.189,3.642,22.331,-2.328,4.68
0.5,0.15,619,8.6,11.398,1.616,25.743,-4.061,6.921
0.5,0.25,640,13.4,10.873,1.685,24.932,-4.145,5.861
0.5,0.4,640,20.2,10.411,1.701,24.063,-3.497,5.106
0.5,0.6,640,30.3,10.236,1.668,23.822,-3.666,4.309
0.5,0.8,640,39.6,10.171,1.617,23.61,-3.65,3.984
0.5,1,640,49.5,10.099,1.522,23.499,-3.76,3.139
0.52,0.15,320,14,13.912,3.454,24.036,-2.178,8.27
0.52,0.25,320,16.3,13.766,3.231,23.43,-2.162,7.999
0.52,0.4,320,21.6,13.592,3.466,23.14,-2.595,7.152
0.52,0.6,320,30.7,13.539,3.47,23.034,-2.427,6.246
0.52,0.8,320,39.7,13.303,3.722,22.63,-2.507,5.316
0.52,1,320,52.1,13.23,3.579,22.563,-2.177,3.781
0.59,0.15,320,15.8,13.96,3.201,24.042,-2.51,8.227
0.59,0.25,320,18.7,13.835,3.266,23.563,-2.085,7.813
0.59,0.4,320,24.7,13.705,3.491,23.729,-2.637,7.059
0.59,0.6,320,35.3,13.587,3.349,23.577,-2.231,5.825
0.59,0.8,320,45.3,13.438,3.704,23.036,-2.376,4.929
0.59,1,320,59.3,13.262,3.648,22.615,-2.432,3.225
0.62,0.15,240,12.2,12.723,2.894,26.368,-1.333,8.381
0.62,0.25,240,18.6,12.326,3.017,25.631,-0.839,7.397
0.62,0.4,240,25.2,12.176,2.823,25.316,-1.142,6.919
0.62,0.6,240,38.5,11.967,2.874,24.923,-0.777,5.655
0.62,0.8,240,48.9,11.764,2.802,23.971,-0.976,5.087
0.62,1,240,62.8,11.503,2.86,23.114,-0.827,3.691
0.67,0.15,160,9.5,16.514,3.7,28.999,-11.751,8.323
0.67,0.25,160,16.2,15.494,4.002,27.019,-10.687,6.4
0.67,0.4,160,25.8,14.765,3.842,26.402,-10.636,5.4
0.67,0.6,160,40.9,14.838,3.79,25.334,-10.943,4.213
0.67,0.8,160,53.3,14.973,3.817,26.52,-11.034,3.582
0.67,1,160,67.5,14.308,3.806,24.121,-10.543,2.44
0.69,0.15,240,13.7,12.854,2.944,26.281,-1.54,8.286
0.69,0.25,240,20.2,12.307,3.226,25.219,-1.544,7.379
0.69,0.4,240,27.6,12.211,2.993,25.973,-0.641,6.812
0.69,0.6,240,42.9,11.889,2.999,24.022,-0.919,5.204
0.69,0.8,240,53.8,11.841,2.877,23.857,-0.584,4.809
0.69,1,240,68.4,11.53,2.726,23.283,-0.792,3.286
0.7,0.15,320,19,14.097,3.217,24.007,-2.357,8.297
0.7,0.25,320,22.1,13.814,3.076,23.646,-2.272,7.635
0.7,0.4,320,29.4,13.783,3.41,23.965,-2.865,6.761
0.7,0.6,320,41.8,13.751,3.135,23.889,-2.568,5.46
0.7,0.8,320,53.9,13.483,3.627,23.326,-2.407,4.303
0.7,1,320,70.6,13.302,3.5,22.797,-2.535,2.35
0.75,0.15,240,11.4,6.585,0.788,12.282,-1.235,4.207
0.75,0.25,240,19.5,6.175,0.938,11.268,-1.405,3.166
0.75,0.4,240,30.8,5.678,0.9,10.19,-1.554,2.338
0.75,0.6,240,44.2,5.4,0.997,9.862,-1.201,1.817
0.75,0.8,240,58.8,5.218,0.905,9.517,-1.447,1.341
0.75,1,240,75.3,5.025,0.879,8.744,-1.379,0.426
0.81,0.15,560,19.4,13.628,3.257,25.765,-1.91,8.187
0.81,0.25,560,24.7,13.23,3.124,24.617,-1.884,7.445
0.81,0.4,560,33.3,13.102,3.002,24.374,-1.87,6.513
0.81,0.6,560,49.2,12.988,3.163,24.145,-1.616,5.007
0.81,0.8,560,62.5,12.727,3.161,23.583,-1.784,3.927
0.81,1,560,81.3,12.513,3.17,23.005,-1.745,1.884
0.83,0.15,160,11.9,15.705,3.974,26.85,-11.013,8.117
0.83,0.25,160,20.4,15.146,3.849,26.312,-10.819,5.939
0.83,0.4,160,32.1,14.924,4.063,25.959,-10.827,4.85
0.83,0.6,160,50.9,14.52,3.889,24.433,-10.695,3.394
0.83,0.8,160,67.4,14.333,3.908,24.323,-10.491,2.464
0.83,1,160,83.9,14.195,3.883,23.445,-10.389,1.227
0.88,0.15,240,17.7,12.824,3.192,25.936,-1.021,8.229
0.88,0.25,240,26,12.25,2.92,25.522,-1.357,7.085
0.88,0.4,240,35,12.095,3,25.837,-0.549,6.473
0.88,0.6,240,54.4,11.694,3.043,24.122,-0.68,4.575
0.88,0.8,240,67.8,11.516,2.878,23.725,-0.57,3.838
0.88,1,240,87.4,11.377,2.854,23.189,-0.53,2.055
0.89,0.15,320,23.7,14.162,3.402,24.074,-2.293,7.971
0.89,0.25,320,27.7,13.952,3.307,23.929,-2.609,7.43
0.89,0.4,320,37.2,13.982,3.063,24.605,-2.897,6.537
0.89,0.6,320,52.8,13.946,3.358,24.143,-2.623,4.797
0.89,0.8,320,68.1,13.602,3.475,23.47,-2.558,3.325
0.89,1,320,89,13.362,3.431,22.831,-2.604,0.827
1,0.15,960,20.1,12.285,2.511,24.84,-3.37,7.237
1,0.25,960,28.4,11.933,2.562,24.339,-3.231,5.973
1,0.4,960,40.7,11.548,2.546,24.089,-3.137,4.91
1,0.6,960,60.3,11.301,2.638,23.791,-3.023,3.394
1,0.8,960,78,11.053,2.813,23.404,-3.005,2.282
1,1,960,100,10.83,2.897,22.944,-3.006,0.297
