"variable","importance","importance_norm","country","outcome"
"dhs2014_c_mean_birthweight_adm2.x",0.373154951421671,0.142391414668958,"Ghana","child_iron"
"dhs2014_c_diarrhea_2wk_adm2.x",0.372273387606998,0.1420550205833,"Ghana","child_iron"
"dhs2014_c_slept_itn_adm2.x",0.36730920186179,0.140160747364503,"Ghana","child_iron"
"dhs2014_w_health_decision_adm2.x",0.366298477651206,0.139775067234474,"Ghana","child_iron"
"gee_soilnitrogen_2017_stdev_20_50",0.364592439206836,0.139124063605424,"Ghana","child_iron"
"gee_soilphosphorus_2017_annual_min",0.3516443216136,0.134183218590835,"Ghana","child_iron"
"dhs2014_hh_electricity_adm2.x",0.351321167427087,0.134059906863097,"Ghana","child_iron"
"lsms_hh_se.comtel",0.350143646362826,0.133610579071777,"Ghana","child_iron"
"mics_hc9j_se",0.344257244392613,0.131364399299391,"Ghana","child_iron"
"gee_temp_Oct_10km",0.34321582329373,0.130967005608189,"Ghana","child_iron"
"gee_lst_night_2015_annual_mean_mean",0.340761440735822,0.130030442919612,"Ghana","child_iron"
"dhs2014_w_literate_adm2.x",0.336479291594809,0.128396426617029,"Ghana","child_iron"
"gee_lst_night_2014_annual_mean_annual_min",0.336059533682217,0.128236252076226,"Ghana","child_iron"
"lsms_hh_se.mispersn",0.335752528347366,0.128119102554898,"Ghana","child_iron"
"gee_trmm_Sep_10km",0.332255368502969,0.126784628670336,"Ghana","child_iron"
"dhs2014_c_diarrhea_2wk_adm2.y",0.330596912575494,0.126151781954033,"Ghana","child_iron"
"mics_hhage_se",0.326623425007778,0.124635547173331,"Ghana","child_iron"
"dhs2014_w_mean_bmi_adm2.x",0.32234120299136,0.123001503062376,"Ghana","child_iron"
"map2_explorer_2017_malaria_attributable_prop_all_fever",0.31765777810438,0.12121436479016,"Ghana","child_iron"
"lsms_hh_se.hskerosene",0.314377352842615,0.119962594200063,"Ghana","child_iron"
"dhs2014_c_measles1_adm2.x",0.310236025267471,0.118382313703219,"Ghana","child_iron"
"map2_explorer_2020_global_am_effective_treatment",0.309198500280042,0.117986406721008,"Ghana","child_iron"
"dhs2014_c_diet_diversity_score_adm2.x",0.308979165568958,0.117902711248985,"Ghana","child_iron"
"dhs2014_w_delivery_csection_adm2.x",0.308874433008403,0.117862746571034,"Ghana","child_iron"
"map2_blood_disorders_201201_global_g6pdd_allele_frequency",0.307626692118101,0.117386623743684,"Ghana","child_iron"
"dhs2014_c_mean_haz_adm2.y",0.306926069600005,0.117119274667595,"Ghana","child_iron"
"wfp_rice_imported",0.306629580279881,0.117006137930254,"Ghana","child_iron"
"gee_fldas_2017_annual_mean_soilmoi40_100cm_tavg",0.306068518850553,0.116792043677092,"Ghana","child_iron"
"chirps_precip_may",0.297678956026829,0.113590688008695,"Ghana","child_iron"
"dhs2014_ML_NETP_H_IT2_adm2.x",0.296080771827408,0.112980840254591,"Ghana","child_iron"
"wfp_tomatoes_local",0.291314795153929,0.111162201219439,"Ghana","child_iron"
"map2_explorer_2019_global_pfpr",0.286699512765542,0.10940106530023,"Ghana","child_iron"
"dhs2014_w_birth_interval_short_adm2.y",0.285253369972732,0.108849234707344,"Ghana","child_iron"
"dhs2014_w_unmet_fp_adm2.y",0.280837407351753,0.107164156799813,"Ghana","child_iron"
"wfp_millet",0.276953006236849,0.105681916331649,"Ghana","child_iron"
"gee_lst_night_2014_annual_mean_annual_max",0.275718970412339,0.105211023191589,"Ghana","child_iron"
"dhs2014_c_underweight_adm2.x",0.272064761321781,0.103816621214827,"Ghana","child_iron"
"dhs2014_hh_itn_any_adm2.y",0.271964012243857,0.103778176585652,"Ghana","child_iron"
"gee_fldas_2017_annual_mean_qh_tavg",0.268335583535854,0.102393612090957,"Ghana","child_iron"
"dhs2014_CH_DIAT_C_ORT_adm2.y",0.265748366887553,0.101406361520643,"Ghana","child_iron"
"gee_soiliron_2017_annual_max",0.265640155663435,0.101365069426765,"Ghana","child_iron"
"ihme_15_59_years_199_both_hiv_prevalence_percent",0.260706792400281,0.0994825576941991,"Ghana","child_iron"
"wfp_peppers_dried",0.259431307090258,0.0989958479319628,"Ghana","child_iron"
"dhs2014_c_neonatal_death_adm2.y",0.259020310390946,0.0988390165641454,"Ghana","child_iron"
"lsms_hh_se.wta_s_hhsize",0.258835472170057,0.0987684845354076,"Ghana","child_iron"
"gee_soilsulfur_2017_stdev_20_50",0.250167274504912,0.0954608051827214,"Ghana","child_iron"
"lsms_hh_hskerosene",0.249505866915016,0.0952084200487728,"Ghana","child_iron"
"dhs2014_hh_improved_sanitation_adm2.y",0.247836234047795,0.0945713083474927,"Ghana","child_iron"
"mics_ir1_se",0.240953540543473,0.0919449557798007,"Ghana","child_iron"
"dhs2014_c_stunted_adm2.y",0.238498364653994,0.0910080903654946,"Ghana","child_iron"
"gee_ndvi_2020",0.23688440006402,0.0903922210052829,"Ghana","child_iron"
"gee_soilcec_2017_stdev_0_20",0.235984323195181,0.0900487625621441,"Ghana","child_iron"
"dhs2014_c_dpt3_adm2.y",0.228361204866104,0.0871398728397093,"Ghana","child_iron"
"gee_soilaluminium_2017_mean_0_20",0.227549328424487,0.0868300706124634,"Ghana","child_iron"
"dhs2014_AN_ANEM_W_ANY",0.226696184595008,0.0865045212493025,"Ghana","child_iron"
"gee_soilpotassium_2017_stdev_20_50",0.223421891615805,0.0852550906640374,"Ghana","child_iron"
"chirps_precip_jul",0.222063697832749,0.0847368203491801,"Ghana","child_iron"
"wfp_yam",0.220019938850448,0.0839569466489292,"Ghana","child_iron"
"gee_soiliron_2017_stdev_0_20",0.219946568077587,0.0839289492497168,"Ghana","child_iron"
"dhs2014_c_slept_itn_adm2.y",0.217791530542707,0.0831066130001583,"Ghana","child_iron"
"ihme_6_months_390_both_ebf_prevalence_percent",0.216207479843142,0.0825021584185986,"Ghana","child_iron"
"dhs2014_hh_improved_sanitation_adm2.x",0.215352676577967,0.0821759758348538,"Ghana","child_iron"
"dhs2014_hh_improved_water_adm2.y",0.213303373501861,0.0813939865754848,"Ghana","child_iron"
"soil_ph",0.211332813266851,0.0806420446315697,"Ghana","child_iron"
"dhs2014_c_anemia_moderate_adm2.y",0.211329337410314,0.0806407182867695,"Ghana","child_iron"
"gee_soilpotassium_2017_annual_mean",0.210849285236743,0.0804575361854756,"Ghana","child_iron"
"ihme_15_49_years_24_males_male_circumcision_prevalence_percent",0.210359652800989,0.0802706983720439,"Ghana","child_iron"
"gee_fldas_2017_annual_mean_qs_tavg",0.207525489965195,0.0791892161243789,"Ghana","child_iron"
"dhs2014_w_bmi_low_adm2.x",0.207451446403678,0.0791609619971553,"Ghana","child_iron"
"mics_hc3_se",0.207182676089092,0.0790584024969555,"Ghana","child_iron"
"mics_hc7e_se",0.207144370178447,0.0790437854249156,"Ghana","child_iron"
"dhs2014_c_fever_2wk_adm2.x",0.206516571521944,0.0788042250533161,"Ghana","child_iron"
"gee_wapor_2017_annual_range",0.205887719973534,0.0785642629109041,"Ghana","child_iron"
"ihme_all_ages_22_both_onchocerciasis_prevalence_rate",0.204241100497454,0.0779359328412448,"Ghana","child_iron"
"dhs2014_w_anc_visits_adm2.x",0.204056402968536,0.0778654544988608,"Ghana","child_iron"
"ihme_all_ages_22_both_lf_prevalence_rate",0.202545502414039,0.0772889131276176,"Ghana","child_iron"
"gee_fldas_2016_annual_mean_soilmoi10_40cm_tavg",0.201902840318866,0.0770436810476539,"Ghana","child_iron"
"dhs2014_w_anemia_moderate_adm2.x",0.20183724333366,0.0770186500317561,"Ghana","child_iron"
"dhs2014_AN_NUTS_W_THN_adm2.y",0.201277137240107,0.0768049203231674,"Ghana","child_iron"
"dhs2014_hh_crowding_adm2.x",0.199959753245012,0.076302222529639,"Ghana","child_iron"
"map2_explorer_2017_anophele_funestus_mean_decompressed",0.198023824313772,0.0755634954722396,"Ghana","child_iron"
"dhs2014_c_vita_supplement_adm2.y",0.196434688799222,0.0749571005868028,"Ghana","child_iron"
"gee_ndvi_2021",0.196322584454992,0.0749143229253928,"Ghana","child_iron"
"gee_soiltotalcarbon_2017_annual_min",0.196317471007939,0.0749123716958646,"Ghana","child_iron"
"dhs2014_w_vitA_postpartum_adm2.x",0.195899643109282,0.074752933625028,"Ghana","child_iron"
"dhs2014_c_polio3_adm2.x",0.195184872299783,0.0744801857321192,"Ghana","child_iron"
"map2_explorer_2015_friction_surface_v1_decompressed",0.195163259738958,0.0744719386403985,"Ghana","child_iron"
"dhs2014_c_dpt1_adm2.x",0.193526953336398,0.0738475439148168,"Ghana","child_iron"
"wfp_cassava",0.192737322195324,0.0735462302251128,"Ghana","child_iron"
"dhs2014_hh_water_30min_adm2.y",0.192306790720823,0.0733819446234339,"Ghana","child_iron"
"gee_trmm_2010",0.189578927866282,0.0723410251624937,"Ghana","child_iron"
"dhs2014_CN_NUTS_C_WH2_adm2.y",0.187948124526891,0.071718730339236,"Ghana","child_iron"
"dhs2014_RH_DELA_C_SKP_adm2.y",0.185966467220697,0.0709625538872204,"Ghana","child_iron"
"gee_soiliron_2017_mean_20_50",0.185649618292476,0.0708416481697596,"Ghana","child_iron"
"dhs2014_w_teen_pregnancy_adm2.x",0.185182082825809,0.0706632422923808,"Ghana","child_iron"
"lsms_hh_se.wage_hid",0.18303422636098,0.06984364625227,"Ghana","child_iron"
