region_share,fraction_clusters,settings,pct_survey,mae_a2,mae_a2_lo,mae_a2_hi,bias_a2,mae_a1
0.25,0.25,130,7.9,11.169,2.465,16.336,-2.129,7.346
0.25,0.5,150,13.3,12.583,3.146,25.611,-1.661,8.034
0.25,0.75,150,18,12.375,2.64,25.03,-1.392,7.537
0.25,1,150,24.4,12.3,2.564,24.95,-1.09,6.879
0.26,0.25,200,8.2,14.08,3.351,24.248,-2.214,9.233
0.26,0.5,200,15,13.573,3.237,23.179,-2.095,7.397
0.26,0.75,200,18.9,13.473,3.35,22.738,-2.127,6.894
0.26,1,200,25.6,13.224,3.618,22.72,-2.402,6.1
0.33,0.25,100,7.8,15.022,3.494,26.903,-10.73,7.154
0.33,0.5,100,16.3,15.505,3.758,28.005,-10.732,6.592
0.33,0.75,100,25.2,15.735,3.639,28.127,-12.319,5.747
0.33,1,100,34,15.197,3.573,27.87,-10.938,5.377
0.5,0.25,400,13.5,10.643,1.616,23.23,-3.578,5.794
0.5,0.5,400,25.7,10.228,1.639,23.63,-3.455,4.695
0.5,0.75,400,37.2,10.206,1.552,23.421,-3.588,3.979
0.5,1,400,50.2,10.068,1.522,22.966,-3.589,3.084
0.52,0.25,200,16.3,13.816,2.853,24.148,-2.524,7.933
0.52,0.5,200,29.8,13.664,3.383,23.094,-2.52,6.308
0.52,0.75,200,37.9,13.419,3.784,22.986,-2.423,5.359
0.52,1,200,52.1,13.212,3.634,22.467,-2.4,3.725
0.67,0.25,100,15.9,15.294,3.716,25.519,-11.028,6.663
0.67,0.5,100,33.2,15.151,3.873,25.792,-11.225,4.698
0.67,0.75,100,50.6,14.863,3.612,25.391,-10.991,3.735
0.67,1,100,66.6,14.676,3.874,24.582,-10.828,2.511
0.74,0.25,200,23,13.92,3.353,24.249,-2.584,7.752
0.74,0.5,200,42.7,13.868,3.372,24.131,-2.671,5.513
0.74,0.75,200,54,13.491,3.42,23.289,-2.495,4.239
0.74,1,200,74.1,13.268,3.473,22.763,-2.441,1.982
0.75,0.25,300,20.9,9.16,1.379,14.6,-1.384,5.202
0.75,0.5,300,38.8,8.779,1.496,14.523,-1.199,3.913
0.75,0.75,300,55,8.455,1.461,13.843,-1.117,3.014
0.75,1,300,75.7,8.237,1.628,13.668,-0.983,1.664
1,0.25,600,28.4,11.885,2.628,24.261,-3.217,5.998
1,0.5,600,53.4,11.477,2.635,24.171,-3.177,3.667
1,0.75,600,73.4,11.13,2.769,23.484,-3.065,2.514
1,1,600,100,10.83,2.897,22.944,-3.006,0.297
