recall,precision,country,outcome
0,NA,Gambia,child_vitA
0.00975609756097561,0.2222222222222222,Gambia,child_vitA
0.03414634146341464,0.2,Gambia,child_vitA
0.1073170731707317,0.27848101265822783,Gambia,child_vitA
0.2,0.3504273504273504,Gambia,child_vitA
0.2146341463414634,0.3464566929133858,Gambia,child_vitA
0.24390243902439024,0.33112582781456956,Gambia,child_vitA
0.3024390243902439,0.3425414364640884,Gambia,child_vitA
0.3121951219512195,0.3316062176165803,Gambia,child_vitA
0.32195121951219513,0.3157894736842105,Gambia,child_vitA
0.3463414634146341,0.3183856502242152,Gambia,child_vitA
0.37073170731707317,0.304,Gambia,child_vitA
0.4146341463414634,0.31954887218045114,Gambia,child_vitA
0.4292682926829268,0.3188405797101449,Gambia,child_vitA
0.43414634146341463,0.3111888111888112,Gambia,child_vitA
0.43902439024390244,0.3050847457627119,Gambia,child_vitA
0.47317073170731705,0.2869822485207101,Gambia,child_vitA
0.47804878048780486,0.28,Gambia,child_vitA
0.47804878048780486,0.27071823204419887,Gambia,child_vitA
0.48292682926829267,0.2661290322580645,Gambia,child_vitA
0.4878048780487805,0.26595744680851063,Gambia,child_vitA
0.4975609756097561,0.26153846153846155,Gambia,child_vitA
0.526829268292683,0.26732673267326734,Gambia,child_vitA
0.5463414634146342,0.26666666666666666,Gambia,child_vitA
0.551219512195122,0.2627906976744186,Gambia,child_vitA
0.5853658536585366,0.26200873362445415,Gambia,child_vitA
0.5853658536585366,0.2575107296137339,Gambia,child_vitA
0.6487804878048781,0.266,Gambia,child_vitA
0.6829268292682927,0.2702702702702703,Gambia,child_vitA
0.6878048780487804,0.2665406427221172,Gambia,child_vitA
0.6926829268292682,0.2669172932330827,Gambia,child_vitA
0.7024390243902439,0.266173752310536,Gambia,child_vitA
0.7414634146341463,0.2634315424610052,Gambia,child_vitA
0.7463414634146341,0.25671140939597314,Gambia,child_vitA
0.7707317073170732,0.255663430420712,Gambia,child_vitA
0.7707317073170732,0.2528,Gambia,child_vitA
0.7951219512195122,0.25115562403698,Gambia,child_vitA
0.8048780487804879,0.24812030075187969,Gambia,child_vitA
0.8097560975609757,0.24519940915805022,Gambia,child_vitA
0.8146341463414634,0.24594992636229748,Gambia,child_vitA
0.8146341463414634,0.2445095168374817,Gambia,child_vitA
0.8146341463414634,0.2434402332361516,Gambia,child_vitA
0.8146341463414634,0.24063400576368876,Gambia,child_vitA
0.8292682926829268,0.23578363384188628,Gambia,child_vitA
0.8585365853658536,0.23404255319148937,Gambia,child_vitA
0.8585365853658536,0.23036649214659685,Gambia,child_vitA
0.8682926829268293,0.22704081632653061,Gambia,child_vitA
0.8682926829268293,0.225031605562579,Gambia,child_vitA
0.8682926829268293,0.22166874221668742,Gambia,child_vitA
0.8682926829268293,0.21975308641975308,Gambia,child_vitA
0.8731707317073171,0.21776155717761558,Gambia,child_vitA
0.8780487804878049,0.21818181818181817,Gambia,child_vitA
0.8780487804878049,0.21686746987951808,Gambia,child_vitA
0.8829268292682927,0.2162485065710872,Gambia,child_vitA
0.8829268292682927,0.21496437054631828,Gambia,child_vitA
0.8878048780487805,0.21513002364066194,Gambia,child_vitA
0.8878048780487805,0.21187427240977882,Gambia,child_vitA
