country,outcome,arm,n_admin2,pearson_r,r_max,r_share,mae_pp,bias_pp
SierraLeone,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),14,0.589,0,NA,2.84,-0.32
SierraLeone,women_iron,"admin-2 fit (LORO), unbenchmarked",14,0.424,0.167,2.54,5.13,-0.55
SierraLeone,women_iron,admin-2 fit + national benchmark,14,0.426,0.167,2.55,5.94,-2.83
SierraLeone,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.591,0.167,3.54,8.34,-7.64
SierraLeone,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),14,0.616,0.167,3.69,4.07,0.81
SierraLeone,women_folate,"admin-2 fit (LORO), unbenchmarked",14,-0.479,0.773,-0.62,13.09,3.33
SierraLeone,women_folate,admin-2 fit + national benchmark,14,-0.451,0.773,-0.58,18.85,-17.64
SierraLeone,women_folate,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.616,0.773,0.8,5.96,-1.62
SierraLeone,women_folate,admin-2 fit + ADMIN-1 benchmark (hard),14,0.629,0.773,0.81,6.11,-1.63
SierraLeone,women_b12,"admin-2 fit (LORO), unbenchmarked",14,0.445,0,NA,0.66,0.36
SierraLeone,women_b12,admin-2 fit + national benchmark,14,0.445,0,NA,0.51,-0.1
SierraLeone,women_b12,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.356,0,NA,0.6,0.08
SierraLeone,women_b12,admin-2 fit + ADMIN-1 benchmark (hard),14,0.355,0,NA,0.57,0.07
Malawi,child_vitA,"admin-2 fit (LORO), unbenchmarked",90,0.123,0,NA,8.14,-5.03
Malawi,child_vitA,admin-2 fit + national benchmark,90,0.134,0,NA,8.53,1.88
Malawi,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),90,0.328,0,NA,7.85,0.7
Malawi,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),90,0.426,0,NA,7.42,0.56
Malawi,women_vitA,"admin-2 fit (LORO), unbenchmarked",90,0.041,0,NA,2.13,-0.78
Malawi,women_vitA,admin-2 fit + national benchmark,90,0.042,0,NA,3.1,0.51
Malawi,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),90,-0.011,0,NA,3.17,0.6
Malawi,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),90,0.485,0,NA,2.5,0.28
Malawi,child_iron,"admin-2 fit (LORO), unbenchmarked",90,0.334,0.096,3.48,11.52,-4.79
Malawi,child_iron,admin-2 fit + national benchmark,90,0.334,0.096,3.48,15.44,-14.29
Malawi,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),90,0.204,0.096,2.13,12.38,-9.02
Malawi,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),90,0.346,0.096,3.61,10.75,-5.02
Malawi,women_iron,"admin-2 fit (LORO), unbenchmarked",90,-0.089,0,NA,14.74,-9.32
Malawi,women_iron,admin-2 fit + national benchmark,90,-0.089,0,NA,14.98,-10.35
Malawi,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),90,-0.25,0,NA,14.72,-9.77
Malawi,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),90,0.126,0,NA,13.68,-4.19
Malawi,women_folate,"admin-2 fit (LORO), unbenchmarked",90,0.255,0.559,0.46,17.57,-11.34
Malawi,women_folate,admin-2 fit + national benchmark,90,0.26,0.559,0.47,16.43,-0.85
Malawi,women_folate,admin-2 fit + ADMIN-1 benchmark (shrunk),90,0.565,0.559,1.01,13.63,-2.1
Malawi,women_folate,admin-2 fit + ADMIN-1 benchmark (hard),90,0.593,0.559,1.06,13.4,-0.39
Malawi,women_b12,"admin-2 fit (LORO), unbenchmarked",90,0.263,0,NA,3.42,-1.74
Malawi,women_b12,admin-2 fit + national benchmark,90,0.263,0,NA,4,-0.48
Malawi,women_b12,admin-2 fit + ADMIN-1 benchmark (shrunk),90,0.354,0,NA,3.65,-0.94
Malawi,women_b12,admin-2 fit + ADMIN-1 benchmark (hard),90,0.401,0,NA,3.7,-0.13
Malawi,child_zinc,"admin-2 fit (LORO), unbenchmarked",90,-0.32,0.672,-0.48,24.71,1.65
Malawi,child_zinc,admin-2 fit + national benchmark,90,-0.321,0.672,-0.48,24.71,1.12
Malawi,child_zinc,admin-2 fit + ADMIN-1 benchmark (shrunk),90,0.118,0.672,0.18,20.91,0.27
Malawi,child_zinc,admin-2 fit + ADMIN-1 benchmark (hard),90,0.239,0.672,0.35,20.52,-0.8
Malawi,women_zinc,"admin-2 fit (LORO), unbenchmarked",90,-0.436,0.724,-0.6,25.24,11.59
Malawi,women_zinc,admin-2 fit + national benchmark,90,-0.445,0.724,-0.61,25.18,-0.5
