"column","domain","source","n_countries","countries","completeness","subnational","tier","domain_block","modelled_surface","alignment_rule","year_used","year_offset_max_abs","finite_all","n_countries_finite","within_country_var","min","median","max","duplicate_of","flag_national_constant","flag_partial_coverage","flag_low_completeness","flag_duplicate","flag_survey_derived","flag_modelled_surface","flag_survey_year_matched","flag_year_offset_3plus","flag_declared_subnational_mismatch","finite_Gambia","finite_Ghana","finite_Malawi","finite_SierraLeone","sd_Gambia","sd_Ghana","sd_Malawi","sd_SierraLeone"
"access_healthcare_min","Built environment","GEE",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Built environment",FALSE,"access_2019","2019",6,1,4,TRUE,0.240765511989594,13.8575439453125,138.283401489258,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,6.3454,16.897,18.5781,8.063
"aef_A00","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.0299087681914797,0.101999041877362,0.183803746590355,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0249,0.0404,0.0271,0.0146
"aef_A01","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.0799241707381405,0.10217494508915,0.185216180645431,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0277,0.0488,0.0222,0.0272
"aef_A02","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.245786537684,0.0616265560252676,0.287620525218979,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0182,0.0651,0.0348,0.0208
"aef_A03","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.13998664205332,-0.0212622491450396,0.0951884935851978,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0295,0.034,0.0432,0.0272
"aef_A04","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.27049730670455,0.00902220739301826,0.170679497920604,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0131,0.0765,0.0404,0.0733
"aef_A05","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.141886691645558,0.0168418337136511,0.204013379380659,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0139,0.0339,0.0345,0.0359
"aef_A06","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.145404557936988,0.0341249201282357,0.17966402761786,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0158,0.055,0.0356,0.05
"aef_A07","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.0978554925044974,0.152193765864968,0.364365169318488,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0286,0.0581,0.0605,0.0394
"aef_A08","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.342825352361823,-0.107153779086114,0.054637777077907,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0344,0.0526,0.0384,0.0285
"aef_A09","Satellite embedding","AlphaEarth (GEE)",4,"Gambia|Ghana|Malawi|SierraLeone",1,TRUE,"open","Satellite embedding",FALSE,"alphaearth_2017","2017",4,1,4,TRUE,-0.183027073598824,-0.0590282672412164,0.254500215324431,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.0505,0.0569,0.0498,0.0611
