"country","outcome","approach","n_admin2","mae_pp","rmse_pp","pearson_r","mean_bias_pp","r_max","r_max_hi","r_share","signal","national_design_pp","national_err_pp","pearson_r_raw","r_share_raw"
"Malawi","women_folate","Area wSL, precision-weighted (OOF)",87,16.92,20.34,0.414,7.12,0.559,0.742,0.74,TRUE,18.6,NA,0.414,0.74
"Malawi","women_folate","Area wSL, unweighted (OOF)",87,16.98,22.99,0.242,-10.7,0.559,0.742,0.43,TRUE,18.6,NA,0.242,0.43
"Malawi","women_folate","Area wSL, literature covariates (OOF)",87,17.22,21,0.396,8.24,0.559,0.742,0.71,TRUE,18.6,NA,0.396,0.71
"Malawi","women_folate","Area wSL, prescreen in-fold (OOF)",87,18.55,22.35,0.258,9.28,0.559,0.742,0.46,TRUE,18.6,NA,0.258,0.46
"Malawi","women_folate","Area wSL, prescreen on ALL data (OPTIMISTIC)",87,18.25,21.62,0.359,9.24,0.559,0.742,0.64,TRUE,18.6,NA,0.359,0.64
"Malawi","women_folate","National mean (null)",87,17.23,20.91,NA,-0.27,0.559,0.742,NA,TRUE,18.6,NA,NA,NA
"Malawi","women_folate","Spatial only (no covariates)",87,16.05,22.1,0.3,-8.47,0.559,0.742,0.54,TRUE,18.6,NA,0.3,0.54
"Malawi","women_b12","Individual SL",87,4.17,5.73,NA,0.27,0,0,NA,FALSE,2.28,0.75,0.309,NA
"Malawi","women_b12","Area SL (MSE)",87,4.49,6.35,NA,0.08,0,0,NA,FALSE,2.28,0.62,0.039,NA
"Malawi","women_b12","Area SL (NLL)",87,3.17,6.48,NA,-2.56,0,0,NA,FALSE,2.28,-1.87,0.121,NA
"Malawi","women_b12","Area wSL, precision-weighted (OOF)",87,5.87,6.62,NA,3.44,0,0,NA,FALSE,2.28,NA,0.341,NA
"Malawi","women_b12","Area wSL, unweighted (OOF)",87,3.53,6.16,NA,-1.83,0,0,NA,FALSE,2.28,NA,0.265,NA
"Malawi","women_b12","Area wSL, literature covariates (OOF)",87,7.2,7.89,NA,5.18,0,0,NA,FALSE,2.28,NA,0.246,NA
"Malawi","women_b12","Area wSL, prescreen in-fold (OOF)",87,6.74,7.66,NA,4.83,0,0,NA,FALSE,2.28,NA,0.283,NA
"Malawi","women_b12","Area wSL, prescreen on ALL data (OPTIMISTIC)",87,6.58,7.6,NA,5.07,0,0,NA,FALSE,2.28,NA,0.391,NA
"Malawi","women_b12","National mean (null)",87,4.5,5.99,NA,-0.22,0,0,NA,FALSE,2.28,NA,NA,NA
"Malawi","women_b12","Spatial only (no covariates)",87,3.51,6.03,NA,-1.67,0,0,NA,FALSE,2.28,NA,0.277,NA
"Malawi","child_zinc","Individual SL",87,20.1,24.11,-0.23,1.29,0.672,0.784,-0.34,TRUE,61.14,-2.09,-0.23,-0.34
"Malawi","child_zinc","Area SL (MSE)",87,20.55,24.73,0.006,-0.32,0.672,0.784,0.01,TRUE,61.14,-3.64,0.006,0.01
"Malawi","child_zinc","Area SL (NLL)",87,21,25.98,-0.023,1.61,0.672,0.784,-0.03,TRUE,61.14,-1.65,-0.023,-0.03
"Malawi","child_zinc","Area wSL, precision-weighted (OOF)",87,20.89,24.7,-0.166,0.75,0.672,0.784,-0.25,TRUE,61.14,NA,-0.166,-0.25
"Malawi","child_zinc","Area wSL, unweighted (OOF)",87,20.16,24.73,0.054,1.92,0.672,0.784,0.08,TRUE,61.14,NA,0.054,0.08
"Malawi","child_zinc","Area wSL, literature covariates (OOF)",87,21.13,24.96,-0.191,0.43,0.672,0.784,-0.28,TRUE,61.14,NA,-0.191,-0.28
"Malawi","child_zinc","Area wSL, prescreen in-fold (OOF)",87,20.2,24.23,0.084,0.42,0.672,0.784,0.12,TRUE,61.14,NA,0.084,0.12
"Malawi","child_zinc","Area wSL, prescreen on ALL data (OPTIMISTIC)",87,19.75,24,0.089,0.96,0.672,0.784,0.13,TRUE,61.14,NA,0.089,0.13
"Malawi","child_zinc","National mean (null)",87,19.82,23.84,NA,1.35,0.672,0.784,NA,TRUE,61.14,NA,NA,NA
"Malawi","child_zinc","Spatial only (no covariates)",87,20.54,25.03,-0.062,2.94,0.672,0.784,-0.09,TRUE,61.14,NA,-0.062,-0.09
"Malawi","women_zinc","Individual SL",87,23,26.26,-0.246,-2.13,0.724,0.797,-0.34,TRUE,64.11,-2.18,-0.246,-0.34
"Malawi","women_zinc","Area SL (MSE)",87,24.01,27.8,-0.239,-0.51,0.724,0.797,-0.33,TRUE,64.11,0.36,-0.239,-0.33
"Malawi","women_zinc","Area SL (NLL)",87,26.19,33.24,-0.139,16.94,0.724,0.797,-0.19,TRUE,64.11,17.47,-0.139,-0.19
"Malawi","women_zinc","Area wSL, precision-weighted (OOF)",87,23.91,27.45,-0.274,-8.04,0.724,0.797,-0.38,TRUE,64.11,NA,-0.274,-0.38
"Malawi","women_zinc","Area wSL, unweighted (OOF)",87,24.46,30.03,-0.482,12.78,0.724,0.797,-0.67,TRUE,64.11,NA,-0.482,-0.67
"Malawi","women_zinc","Area wSL, literature covariates (OOF)",87,23.61,27.3,-0.161,-7.97,0.724,0.797,-0.22,TRUE,64.11,NA,-0.161,-0.22
"Malawi","women_zinc","Area wSL, prescreen in-fold (OOF)",87,24.5,28.19,-0.335,-7.98,0.724,0.797,-0.46,TRUE,64.11,NA,-0.335,-0.46
"Malawi","women_zinc","Area wSL, prescreen on ALL data (OPTIMISTIC)",87,23.81,27.07,-0.014,-7.64,0.724,0.797,-0.02,TRUE,64.11,NA,-0.014,-0.02
"Malawi","women_zinc","National mean (null)",87,22.69,25.85,NA,-1.98,0.724,0.797,NA,TRUE,64.11,NA,NA,NA
"Malawi","women_zinc","Spatial only (no covariates)",87,23.91,28.05,-0.347,6.81,0.724,0.797,-0.48,TRUE,64.11,NA,-0.347,-0.48
