fpr,tpr,country,outcome
1,1,Gambia,child_vitA
0.9791411042944785,1,Gambia,child_vitA
0.9619631901840491,0.9707317073170731,Gambia,child_vitA
0.9496932515337423,0.9560975609756097,Gambia,child_vitA
0.939877300613497,0.9512195121951219,Gambia,child_vitA
0.9202453987730062,0.9219512195121952,Gambia,child_vitA
0.9141104294478528,0.9219512195121952,Gambia,child_vitA
0.9006134969325154,0.9219512195121952,Gambia,child_vitA
0.8907975460122699,0.9219512195121952,Gambia,child_vitA
0.8760736196319019,0.9024390243902439,Gambia,child_vitA
0.8674846625766871,0.8926829268292683,Gambia,child_vitA
0.8613496932515338,0.8926829268292683,Gambia,child_vitA
0.8552147239263803,0.8926829268292683,Gambia,child_vitA
0.8429447852760736,0.8829268292682927,Gambia,child_vitA
0.8392638036809816,0.8780487804878049,Gambia,child_vitA
0.8319018404907975,0.8731707317073171,Gambia,child_vitA
0.8257668711656442,0.8731707317073171,Gambia,child_vitA
0.8196319018404907,0.8731707317073171,Gambia,child_vitA
0.811042944785276,0.8731707317073171,Gambia,child_vitA
0.8012269938650307,0.8682926829268293,Gambia,child_vitA
0.7803680981595091,0.8439024390243902,Gambia,child_vitA
0.7644171779141105,0.8439024390243902,Gambia,child_vitA
0.7619631901840491,0.8390243902439024,Gambia,child_vitA
0.7312883435582822,0.8097560975609757,Gambia,child_vitA
0.7177914110429449,0.8048780487804879,Gambia,child_vitA
0.7067484662576687,0.8048780487804879,Gambia,child_vitA
0.6920245398773006,0.8048780487804879,Gambia,child_vitA
0.6785276073619633,0.8,Gambia,child_vitA
0.6613496932515337,0.7902439024390244,Gambia,child_vitA
0.6319018404907976,0.775609756097561,Gambia,child_vitA
0.6171779141104294,0.775609756097561,Gambia,child_vitA
0.6073619631901841,0.775609756097561,Gambia,child_vitA
0.6036809815950921,0.775609756097561,Gambia,child_vitA
0.592638036809816,0.7707317073170732,Gambia,child_vitA
0.5877300613496932,0.7707317073170732,Gambia,child_vitA
0.5791411042944785,0.7707317073170732,Gambia,child_vitA
0.5779141104294478,0.7658536585365854,Gambia,child_vitA
0.5754601226993865,0.7609756097560976,Gambia,child_vitA
0.5668711656441718,0.7609756097560976,Gambia,child_vitA
0.5570552147239264,0.7609756097560976,Gambia,child_vitA
0.53128834355828225,0.697560975609756,Gambia,child_vitA
0.5165644171779141,0.6878048780487804,Gambia,child_vitA
0.501840490797546,0.6682926829268293,Gambia,child_vitA
0.4785276073619632,0.6439024390243903,Gambia,child_vitA
0.4564417177914111,0.6341463414634146,Gambia,child_vitA
0.4466257668711656,0.6048780487804878,Gambia,child_vitA
0.4208588957055215,0.5707317073170731,Gambia,child_vitA
0.4171779141104295,0.5658536585365853,Gambia,child_vitA
0.40613496932515336,0.5609756097560976,Gambia,child_vitA
0.38404907975460123,0.5560975609756098,Gambia,child_vitA
0.33987730061349697,0.5219512195121951,Gambia,child_vitA
0.32515337423312884,0.5219512195121951,Gambia,child_vitA
0.3116564417177914,0.5170731707317073,Gambia,child_vitA
0.3006134969325154,0.5121951219512195,Gambia,child_vitA
0.2920245398773006,0.4975609756097561,Gambia,child_vitA
0.2576687116564417,0.4585365853658537,Gambia,child_vitA
0.245398773006135,0.45365853658536587,Gambia,child_vitA
0.23190184049079754,0.4195121951219512,Gambia,child_vitA
0.2220858895705522,0.4146341463414634,Gambia,child_vitA
0.2098159509202454,0.40487804878048783,Gambia,child_vitA
0.17423312883435582,0.33170731707317075,Gambia,child_vitA
0.16564417177914115,0.3170731707317073,Gambia,child_vitA
0.1435582822085889,0.28780487804878047,Gambia,child_vitA
0.1325153374233129,0.2634146341463415,Gambia,child_vitA
0.10552147239263798,0.23902439024390243,Gambia,child_vitA
0.08343558282208585,0.18048780487804877,Gambia,child_vitA
0.060122699386503053,0.08780487804878048,Gambia,child_vitA
0.05153374233128838,0.04390243902439024,Gambia,child_vitA
0.042944785276073594,0.03414634146341464,Gambia,child_vitA
0.01717791411042946,0.00975609756097561,Gambia,child_vitA
0,0,Gambia,child_vitA
1,1,Gambia,women_vitA
0.9883636363636363,1,Gambia,women_vitA
0.9767272727272728,0.9736842105263158,Gambia,women_vitA
0.9614545454545455,0.9736842105263158,Gambia,women_vitA
0.9425454545454546,0.9736842105263158,Gambia,women_vitA
0.928,0.9736842105263158,Gambia,women_vitA
0.9156363636363636,0.9736842105263158,Gambia,women_vitA
0.9032727272727272,0.9736842105263158,Gambia,women_vitA
0.8589090909090908,0.9210526315789473,Gambia,women_vitA
0.8487272727272728,0.9210526315789473,Gambia,women_vitA
0.84,0.9210526315789473,Gambia,women_vitA
0.8341818181818181,0.9210526315789473,Gambia,women_vitA
0.8225454545454546,0.9210526315789473,Gambia,women_vitA
0.7869090909090909,0.9210526315789473,Gambia,women_vitA
0.7847272727272727,0.9210526315789473,Gambia,women_vitA
0.7381818181818182,0.9210526315789473,Gambia,women_vitA
0.7243636363636363,0.9210526315789473,Gambia,women_vitA
0.7083636363636363,0.9210526315789473,Gambia,women_vitA
0.7003636363636363,0.9210526315789473,Gambia,women_vitA
0.6836363636363636,0.9210526315789473,Gambia,women_vitA
0.6734545454545455,0.9210526315789473,Gambia,women_vitA
0.6596363636363636,0.9210526315789473,Gambia,women_vitA
0.6378181818181818,0.8947368421052632,Gambia,women_vitA
0.6276363636363637,0.868421052631579,Gambia,women_vitA
0.6174545454545455,0.868421052631579,Gambia,women_vitA
0.6029090909090908,0.868421052631579,Gambia,women_vitA
0.5825454545454545,0.868421052631579,Gambia,women_vitA
0.5723636363636364,0.868421052631579,Gambia,women_vitA
0.5527272727272727,0.868421052631579,Gambia,women_vitA
