domain,column,status,reason
IHME,ihme_peoplelivingwithhiv_counts_1519years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_2024years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_2529years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_3034years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_3539years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_4044years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_4549years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_5054years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_5559years_males,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_1519years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_2024years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_2529years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_3034years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_3539years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_4044years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_4549years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_5054years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_5559years_females,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_1549years_both,kept,NA
IHME,ihme_peoplelivingwithhiv_counts_1559years_both,kept,NA
IHME,ihme_hivprevalence_percent_1519years_males,kept,NA
IHME,ihme_hivprevalence_percent_2024years_males,kept,NA
IHME,ihme_hivprevalence_percent_2529years_males,kept,NA
IHME,ihme_hivprevalence_percent_3034years_males,kept,NA
IHME,ihme_hivprevalence_percent_3539years_males,kept,NA
IHME,ihme_hivprevalence_percent_4044years_males,kept,NA
IHME,ihme_hivprevalence_percent_4549years_males,kept,NA
IHME,ihme_hivprevalence_percent_5054years_males,kept,NA
IHME,ihme_hivprevalence_percent_5559years_males,kept,NA
IHME,ihme_hivprevalence_percent_1519years_females,kept,NA
IHME,ihme_hivprevalence_percent_2024years_females,kept,NA
IHME,ihme_hivprevalence_percent_2529years_females,kept,NA
IHME,ihme_hivprevalence_percent_3034years_females,kept,NA
IHME,ihme_hivprevalence_percent_3539years_females,kept,NA
IHME,ihme_hivprevalence_percent_4044years_females,kept,NA
IHME,ihme_hivprevalence_percent_4549years_females,kept,NA
IHME,ihme_hivprevalence_percent_5054years_females,kept,NA
IHME,ihme_hivprevalence_percent_5559years_females,kept,NA
IHME,ihme_hivprevalence_percent_1549years_both,kept,NA
IHME,ihme_hivprevalence_percent_1559years_both,kept,NA
IHME,ihme_mcv1coverage_percent_1223months_both,kept,NA
IHME,ihme_deaths_rate_5to14years_both,kept,NA
IHME,ihme_deaths_rate_15plus_both,kept,NA
IHME,ihme_deaths_rate_0to4years_both,kept,NA
IHME,ihme_prevalence_rate_0to99years_both,kept,NA
IHME,ihme_prevalence_rate_2to10years_both,kept,NA
IHME,ihme_incidence_rate_0to99years_both,kept,NA
IHME,ihme_incidence_rate_5to14years_both,kept,NA
IHME,ihme_incidence_rate_15plus_both,kept,NA
IHME,ihme_incidence_rate_0to4years_both,kept,NA
