country,file,raw_name,pipeline_name,label,label_class,name_class,name_blocked,in_pipeline,agreement
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch0a,gw_ch0a,Household Label Number,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch0b,gw_ch0b,Child Label Number,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch1,gw_ch1,Cluster Number,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch2,gw_ch2,Household Number,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch3,gw_ch3,Child's Line Number,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch3m,gw_ch3m,Date of Interview - Month,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch3y,gw_ch3y,Date of Interview - Year,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch3t,gw_ch3t,Time of Interview,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch3h,gw_ch3h,Time of Interview - Hour,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch3mm,gw_ch3mm,Time of Interview - Minute,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch13,gw_ch13,Time of end of interview,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch13h,gw_ch13h,End of interview - Hour,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch13m,gw_ch13m,End of interview - Minute,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch14,gw_ch14,Result of Child's Biological Form,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch4m,gw_ch4m,Childs Birth Date - Month,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch4y,gw_ch4y,Childs Birth Date - Year,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch5,gw_ch5,Age in completed months,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch8,gw_ch8,Received vitamin A capsule during last six months,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch9,gw_ch9,When did name receive a vitamin A capsule - Date from card or recall,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch9a,gw_ch9a,Date name received vitamin A capsule,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch9ad,gw_ch9ad,Date name received vitamin A capsule - Day,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch9am,gw_ch9am,Date name received vitamin A capsule - Month,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch9ay,gw_ch9ay,Date name received vitamin A capsule - Year,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,ch10,gw_ch10,Consent given for anthropometry/phlebotomy,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an1,gw_an1,Anthropometrist's code number,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an2a,gw_an2a,A.Child's weight (kilograms),questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an2b,gw_an2b,B.Child's weight (kilograms),questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an3,gw_an3,Child undressed to the minimum,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an4u,gw_an4u,Child measured lying down or standing up,questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an4n1,gw_an4n1,A.Child's length or height (centimetres),questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an4n2,gw_an4n2,B.Child's length or height (centimetres),questionnaire,questionnaire,FALSE,TRUE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an5,gw_an5,Edema present in both feet,questionnaire,questionnaire,FALSE,FALSE,agree
Gambia,Gambia_Child data_Davis-Berkeley.dta,an6a,gw_an6a,A.Child's MUAC,questionnaire,questionnaire,FALSE,TRUE,agree
