Admin1,n_reps,boot_mean,ci_lo,ci_hi,outcome,model_type,obs_prevalence,pred_prevalence
Banjul,10,NA,NA,NA,child_iron,binary_prob,0.31547619047619047,0.3232770166606526
Lower River,10,NA,NA,NA,child_iron,binary_prob,0.44360902255639095,0.449734357995407
Maccarthy Island,10,NA,NA,NA,child_iron,binary_prob,0.5,0.4990255284347659
North Bank,10,NA,NA,NA,child_iron,binary_prob,0.40860215053763443,0.4166272619266679
Upper River,10,NA,NA,NA,child_iron,binary_prob,0.4451219512195122,0.44199739055131576
Western,10,NA,NA,NA,child_iron,binary_prob,0.3288590604026846,0.3447618340547357
