n,n_events,prevalence,roc_auc,pr_auc,brier,brier_skill,calib_int,calib_int_lo,calib_int_hi,calib_slope,calib_slope_lo,calib_slope_hi,ece,mce,model_type,country,outcome,calibrator,calib_n_train,platt_intercept,platt_slope
1020,205,0.201,0.6181,0.2598,0.1562,0.0272,-0,-0.5392,0.5392,1,0.6115,1.3885,0.0271,0.0687,binary_calibrated,Gambia,child_vitA,platt,1020,-0.7825940806529045,0.3996397736789337
1413,38,0.0269,0.7269,0.0575,0.0257,0.0179,0,-1.3519,1.3519,1,0.5986,1.4014,0.005,0.1484,binary_calibrated,Gambia,women_vitA,platt,1413,1.2009908036241586,1.3239840577866775
1013,425,0.4195,0.5238,0.3884,0.2431,0.0017,0,-0.501,0.501,1,-0.4975,2.4975,0.007,0.0249,binary_calibrated,Gambia,child_iron,platt,1013,-1.4412312550600532,-3.5126942445398552
1402,437,0.3117,0.5766,0.3741,0.2112,0.0157,-0,-0.3728,0.3728,1,0.545,1.455,0.0564,0.2777,binary_calibrated,Gambia,women_iron,platt,1402,-0.3845599932036354,0.4252514546356156
1165,174,0.1494,0.595,0.1292,0.1251,0.0154,0,-0.8077,0.8077,1,0.533,1.467,0.0032,0.0064,binary_calibrated,Ghana,child_vitA,platt,1165,-8.59931026544654,-3.9008597440743626
992,15,0.0151,0.5343,0.0178,0.0149,3e-4,0,-16.2432,16.2432,1,-2.8951,4.8951,0.0087,0.0354,binary_calibrated,Ghana,women_vitA,platt,992,-4.75984920229593,-0.12878636916365946
1165,278,0.2386,0.6836,0.3816,0.1675,0.0778,0,-0.2682,0.2682,1,0.7852,1.2148,0.04,0.2146,binary_calibrated,Ghana,child_iron,platt,1165,-0.18763955861886947,0.808448236219278
981,83,0.0846,0.6097,0.1239,0.0765,0.0117,0,-1.4108,1.4108,1,0.4009,1.5991,0.0096,0.2113,binary_calibrated,Ghana,women_iron,platt,981,-0.8941857814041877,0.6363657911644536
475,260,0.5474,0.5902,0.6077,0.2378,0.0403,0,-0.2038,0.2038,1,0.5384,1.4616,0.0546,0.3102,binary_calibrated,Ghana,women_folate,platt,475,0.06770850520006448,0.6725553357146893
473,40,0.0846,0.6943,0.239,0.0699,0.0974,-0,-0.852,0.852,1,0.6278,1.3722,0.0295,0.7027,binary_calibrated,Ghana,women_b12,platt,473,0.3280655433813381,1.1352434579651485
486,61,0.1255,0.4903,0.1345,0.1097,9e-4,-0,-6.5735,6.5735,1,-2.3875,4.3875,0.0305,0.117,binary_calibrated,Sierra Leone,child_vitA,platt,486,-2.223023928369319,-0.1462607832940861
774,14,0.0181,0.6594,0.0404,0.0176,0.0066,0,-3.937,3.937,1,-0.0153,2.0153,0.0087,0.0676,binary_calibrated,Sierra Leone,women_vitA,platt,774,-14.644805296639213,-2.6050922908702727
486,28,0.0576,0.5666,0.0787,0.053900000000000003,0.0068,-0,-3.3953,3.3953,1,-0.2275,2.2275,0.0315,0.1817,binary_calibrated,Sierra Leone,child_iron,platt,486,-1.6587132696532259,0.3692475133510878
774,73,0.0943,0.5726,0.1082,0.085,0.0053,0,-2.0619,2.0619,1,0.0835,1.9165,0.0292,0.0657,binary_calibrated,Sierra Leone,women_iron,platt,774,-1.048550461554419,0.5360173193124438
766,608,0.7937,0.5561,0.8051,0.1633,0.0026,-0,-1.7038,1.7038,1,-0.2628,2.2628,0.0424,0.1574,binary_calibrated,Sierra Leone,women_folate,platt,766,1.0875891158349986,0.19358711809122114
768,4,0.0052,0.7518,0.0052,0.0052,0.0034,0,-5.8845,5.8845,1,-0.1905,2.1905,0.0021,0.0032,binary_calibrated,Sierra Leone,women_b12,platt,768,-23.2957121320092,-3.3406190012733377
1149,107,0.0931,0.5893,0.1278,0.0839,0.0069,0,-1.7526,1.7526,1,0.2254,1.7746,0.0213,0.1003,binary_calibrated,Malawi,child_vitA,platt,1149,-1.2182687549541311,0.44933546295150206
836,11,0.0132,0.6394,0.0167,0.013,0.0015,0,-5.3672,5.3672,1,-0.2706,2.2706,0.0111,0.0272,binary_calibrated,Malawi,women_vitA,platt,836,-2.555374303778701,0.3884523410157027
1149,110,0.0957,0.5566,0.1332,0.0861,0.0056,-0,-1.9949,1.9949,1,0.1072,1.8928,0.0201,0.0944,binary_calibrated,Malawi,child_iron,platt,1149,-1.427296948137488,0.3797589587208195
781,78,0.0999,0.549,0.1164,0.0893,0.0063,0,-2.1128,2.1128,1,0.0355,1.9645,0.0248,0.164,binary_calibrated,Malawi,women_iron,platt,781,-0.9944603083163456,0.5191358971018648
828,172,0.2077,0.6759,0.3242,0.1544,0.0616,0,-0.3851,0.3851,1,0.7207,1.2793,0.031,0.0813,binary_calibrated,Malawi,women_folate,platt,828,-0.33225203661923497,0.6495275394050884
839,23,0.0274,0.7307,0.0508,0.0264,0.0113,-0,-1.9695,1.9695,1,0.4141,1.5859,0.0196,0.0901,binary_calibrated,Malawi,women_b12,platt,839,0.08473783229244987,1.063855415161579
1134,670,0.5908,0.5521,0.4854,0.2397,0.0083,0,-0.2617,0.2617,1,0.3598,1.6402,0.0028,0.0053,binary_calibrated,Malawi,child_zinc,platt,1134,1.903348063134048,-4.165519601237131
844,522,0.6185,0.568,0.5272,0.2326,0.0142,-0,-0.3049,0.3049,1,0.4322,1.5678,0.0066,0.011,binary_calibrated,Malawi,women_zinc,platt,844,2.320926243416956,-3.7527826214688003
