country,analytic_units,n_outcomes,per_outcome
Gambia,30,4,child_vitA=30;women_vitA=30;child_iron=30;women_iron=30
Ghana,75,6,child_vitA=75;women_vitA=75;child_iron=75;women_iron=75;women_folate=75;women_b12=75
Sierra Leone,14,6,child_vitA=14;women_vitA=14;child_iron=14;women_iron=14;women_folate=14;women_b12=14
Malawi,87,8,child_vitA=87;women_vitA=87;child_iron=87;women_iron=87;women_folate=87;women_b12=87;child_zinc=87;women_zinc=87
