Admin1,n_areas,target,delta,before,after,used,country,outcome,arm
Greater Accra,8,0.11111111111111112,0.4400346685656523,0.07466141211553935,0.11111111111107613,region,Ghana,child_vitA,hard
Eastern,5,0.18181818181818182,1.6556862022173089,0.04203133464704512,0.18181818181818182,region,Ghana,child_vitA,hard
Ashanti,12,0.08333333333333333,0.48453996623883644,0.053101210526721176,0.0833333333333333,region,Ghana,child_vitA,hard
Volta,4,0.15,0.3475199352578542,0.1109762848647064,0.14999999999999977,region,Ghana,child_vitA,hard
Central,6,0.1388888888888889,1.1630641667972579,0.04816291432662346,0.1388888888888844,region,Ghana,child_vitA,hard
Ahafo,2,0.11290322580645162,1.1330580453433212,0.04151787911125582,0.11290322580645157,region,Ghana,child_vitA,hard
Upper East,5,0.20987654320987656,0.6490095599945838,0.12200684504197683,0.2098765432098771,region,Ghana,child_vitA,hard
Savannah,4,0.20634920634920637,1.7906016052346827,0.042672955031729846,0.2063492063492067,region,Ghana,child_vitA,hard
North East,3,0.2222222222222222,-0.24839869520210034,0.25685513784093533,0.2222222222247625,region,Ghana,child_vitA,hard
Bono,3,0.06060606060606061,-0.17748892655344398,0.07151404281426244,0.060606060606060434,region,Ghana,child_vitA,hard
Western,5,0.09375,1.6369567559927578,0.02045123015112407,0.09374999999999836,region,Ghana,child_vitA,hard
Northern,8,0.26573426573426573,1.4812799228022004,0.08348278801400166,0.2657342657342606,region,Ghana,child_vitA,hard
Upper West,5,0.1285714285714286,-0.3641157856027986,0.17446866545598563,0.1285714285714286,region,Ghana,child_vitA,hard
Bono East,3,0.15217391304347827,1.2847653750598729,0.04798173009623513,0.1521739130420597,region,Ghana,child_vitA,hard
Oti,1,0.1317866851916981,0.45604878536955246,0.08775965313236875,0.1317866851916981,national,Ghana,child_vitA,hard
Western North,1,0.1317866851916981,1.7072346213640124,0.02679218329195642,0.1317866851916536,national,Ghana,child_vitA,hard
(national),75,0.1317866851916981,NA,0.06506625529029564,0.1317866851916981,national,Ghana,child_vitA,national
Greater Accra,8,0.015748031496062992,0.7909730035980376,0.0072024419815974305,0.015748031496063,region,Ghana,women_vitA,hard
Eastern,5,0.022213995256800692,1.3738377566341882,0.0057192624419823215,0.0222139952568818,region,Ghana,women_vitA,hard
Ashanti,12,0.004878048780487805,-0.41216828351092694,0.0073479800090924755,0.0048780487804876505,region,Ghana,women_vitA,hard
Volta,4,0,NA,0.0074934743229552484,0.0074934743229552484,region,Ghana,women_vitA,hard
Central,6,0.01694915254237288,1.0401754067891622,0.006056315578289357,0.016949152542372874,region,Ghana,women_vitA,hard
Ahafo,2,0,NA,0.007677555099314368,0.007677555099314368,region,Ghana,women_vitA,hard
Upper East,5,0.05172413793103448,1.7968634952638067,0.008965811522985942,0.051724137931035134,region,Ghana,women_vitA,hard
Savannah,4,0.02380952380952381,0.997633508466344,0.008913860045481814,0.023809523809523815,region,Ghana,women_vitA,hard
North East,3,0.02941176470588235,1.0710332203329056,0.010277933970840005,0.029411764705882346,region,Ghana,women_vitA,hard
Bono,3,0,NA,0.007447130827106451,0.007447130827106451,region,Ghana,women_vitA,hard
Western,5,0,NA,0.007641744641095558,0.007641744641095558,region,Ghana,women_vitA,hard
Northern,8,0.0297029702970297,1.2381375119966045,0.008797384178152644,0.0297029702970297,region,Ghana,women_vitA,hard
Upper West,5,0.019230769230769232,0.3774199111179934,0.013265981099315474,0.019230769230800585,region,Ghana,women_vitA,hard
Bono East,3,0,NA,0.007690601633382398,0.007690601633382398,region,Ghana,women_vitA,hard
Oti,1,0.0115287147640389,0.2511555255645149,0.008991225245463946,0.011528714764038231,national,Ghana,women_vitA,hard
Western North,1,0.0115287147640389,0.4358078742498334,0.007486593679812734,0.011528714763935041,national,Ghana,women_vitA,hard
(national),75,0.0115287147640389,NA,0.007310879242284465,0.0115287147640389,national,Ghana,women_vitA,national
Greater Accra,8,0.13131313131313133,-0.20221247688723815,0.15609049819022774,0.13131313131313133,region,Ghana,child_iron,hard
Eastern,5,0.24721836976567804,2.013431884995905,0.044229578502241525,0.2472183697633703,region,Ghana,child_iron,hard
Ashanti,12,0.16176470588235292,0.9337647870138431,0.07057359070779001,0.16176470588235276,region,Ghana,child_iron,hard
Volta,4,0.125,0.302534486907806,0.09554821174234865,0.125,region,Ghana,child_iron,hard
Central,6,0.125,1.0082314241385388,0.04962821233508766,0.1249999999999992,region,Ghana,child_iron,hard
Ahafo,2,0.12903225806451613,0.70306271755165906,0.06837000378909915,0.12903225806487065,region,Ghana,child_iron,hard
Upper East,5,0.5061728395061729,0.8067185171488183,0.3141014236106054,0.5061728395061729,region,Ghana,child_iron,hard
Savannah,4,0.25396825396825395,-0.5639334749344589,0.371572399721016,0.2539682539681499,region,Ghana,child_iron,hard
North East,3,0.2,-0.9359736514941117,0.38920253034754854,0.20000000000000834,region,Ghana,child_iron,hard
Bono,3,0.18181818181818185,0.8541674704014895,0.08850736700095359,0.18181818181818188,region,Ghana,child_iron,hard
Western,5,0.046875,0.034397873115685165,0.04536205618972079,0.04687499999999123,region,Ghana,child_iron,hard
Northern,8,0.5174825174825174,1.3117275885046493,0.22479358838667052,0.517482517482518,region,Ghana,child_iron,hard
Upper West,5,0.2857142857142857,-0.1013822694241988,0.3066335297679509,0.2857142857142857,region,Ghana,child_iron,hard
Bono East,3,0.28260869565217395,1.3967455644135767,0.09121025844073419,0.28260869565524227,region,Ghana,child_iron,hard
Oti,1,0.20196325284094105,-0.041393786740318364,0.20871721748347247,0.20196325284094102,national,Ghana,child_iron,hard
Western North,1,0.20196325284094105,1.4239059635246956,0.05743370962815449,0.20196325284094105,national,Ghana,child_iron,hard
(national),75,0.20196325284094105,NA,0.11853047737812968,0.20196325284094105,national,Ghana,child_iron,national
Greater Accra,8,0.14634146341463417,0.42917145494894215,0.1004977454121022,0.14634146341463297,region,Ghana,women_iron,hard
Eastern,5,0.152903513923145,1.3169414165113673,0.048073106708271585,0.15290351392233664,region,Ghana,women_iron,hard
Ashanti,12,0.1182266009852217,0.6673550436416197,0.06443726085742894,0.11822660098521932,region,Ghana,women_iron,hard
Volta,4,0.19565217391304351,1.516940407150573,0.05068975888333415,0.19565217391317638,region,Ghana,women_iron,hard
Central,6,0.13559322033898305,1.357415477847026,0.03899093129803434,0.13559322033898896,region,Ghana,women_iron,hard
Ahafo,2,0.047619047619047616,-0.031112025578779023,0.04903944132987534,0.04761904761901858,region,Ghana,women_iron,hard
Upper East,5,0.27586206896551724,1.637864204636824,0.07845779917674668,0.27586206896233134,region,Ghana,women_iron,hard
Savannah,4,0.04761904761904762,-0.048345097189629586,0.04985533625460653,0.04761904761899111,region,Ghana,women_iron,hard
North East,3,0.20588235294117643,0.280926162946803,0.1653725450947553,0.20588235294119162,region,Ghana,women_iron,hard
Bono,3,0.03125,-1.1385069713398404,0.09045464150391158,0.03125000000022857,region,Ghana,women_iron,hard
Western,5,0.022727272727272724,-1.7867171902692502,0.12168010147321581,0.022727272726966716,region,Ghana,women_iron,hard
Northern,8,0.23,0.7789989694100531,0.12252383945933115,0.23,region,Ghana,women_iron,hard
Upper West,5,0.0784313725490196,-0.44261071919496753,0.1169442512484578,0.07843137254822018,region,Ghana,women_iron,hard
Bono East,3,0.1,1.9773488677086963,0.015304092433445658,0.09999999999999953,region,Ghana,women_iron,hard
Oti,1,0.07574165056497939,0.5519775397917797,0.0450605430245312,0.07574165056497917,national,Ghana,women_iron,hard
