predictor,family,cellset,z,tau,k_countries,z_undisattenuated,n_cells,n_positive,p_analytic,z_gambia,z_ghana,z_sierraleone,z_malawi,p_perm,p_perm_fwer,q_analytic,q_perm,n_permutations
soil_zinc_stdev_0_20,marginal,shared,-3.8811,0.0882,4,-3.1922,4,1,1.0396926004683082e-4,-0.295,-0.45,0.1864,-0.3678,0.058823529411764705,0.19607843137254902,0.0021833544609834474,0.5490196078431373,50
soil_zinc_mean_20_50,marginal,shared,-2.6204,0.3726,4,-2.1412,4,0,0.008783645200859181,-1.0153,-0.7032,-0.279,-0.1562,0.27450980392156865,0.5490196078431373,0.0922282746090214,0.875,50
dhs_c_slept_itn,marginal,shared,2.3294,0,3,1.2605,3,2,0.01983561655915644,0.2988,NA,-0.0439,0.216,0.0196078431372549,0.803921568627451,0.13884931591409508,0.4117647058823529,50
soil_zinc_stdev_20_50,marginal,shared,-1.9945,0.1694,4,-1.8111,4,1,0.04609582256389831,-0.1172,-0.4972,0.0968,-0.1722,0.0784313725490196,0.9019607843137255,0.24200306846046613,0.5490196078431373,50
np_vita_capsule,marginal,shared,-1.5388,0.0646,3,-0.661,3,0,0.1238581634493272,-0.063,NA,-0.5731,-0.1222,0.19607843137254902,1,0.5202042864871742,0.875,50
soil_zinc_mean_0_20,marginal,shared,-1.2061,0.5323,4,-1.734,4,1,0.2277925343776275,-0.9982,-0.7761,0.7298,-0.146,0.5294117647058824,1,0.5447309210837816,0.875,50
np_child_hb_gdl,marginal,shared,-1.1823,1.3681,3,-0.649,3,1,0.23707864772603415,-0.7246,NA,-2.6467,0.4697,0.37254901960784315,1,0.5447309210837816,0.875,50
np_iron_pregnancy,marginal,shared,-1.1554,1.1289,3,0.2275,3,2,0.24791268417351522,0.249,NA,-2.6467,0.0089,0.45098039215686275,1,0.5447309210837816,0.875,50
soilgrids_clay,marginal,shared,1.1346,0.6581,3,0.4177,3,2,0.2565333472166989,-0.3546,NA,1.0476,0.7115,0.37254901960784315,1,0.5447309210837816,0.875,50
np_child_anaemia_any,marginal,shared,1.0657,0.8057,3,0.7853,3,2,0.28657114853734356,0.8627,NA,1.0476,-0.3025,0.45098039215686275,1,0.5447309210837816,0.875,50
soilgrids_organic_carbon,marginal,shared,-1.0213,0.434,3,-1.3323,3,1,0.30713410641328354,-0.8257,NA,0.4175,-0.3033,0.6666666666666666,1,0.5447309210837816,0.875,50
soilgrids_cec,marginal,shared,1.0126,1.215,3,0.381,3,2,0.3112748120478752,-0.6789,NA,2.6467,0.2698,0.45098039215686275,1,0.5447309210837816,0.875,50
dhs_c_min_diet_diversity,marginal,shared,-0.9084,0.5353,3,-0.7556,3,1,0.3636685544198971,-0.6908,NA,-0.4815,0.2004,0.6666666666666666,1,0.5485327450555256,0.875,50
soilgrids_ph,marginal,shared,0.9019,0.2755,3,1.2938,3,2,0.3671292397180024,0.5289,NA,-0.3566,0.1821,0.5882352941176471,1,0.5485327450555256,0.875,50
dhs_w_anc4plus,marginal,shared,-0.8563,1.2242,3,-0.0701,3,2,0.3918091036110898,0.5642,NA,-2.6467,0.1573,0.5686274509803921,1,0.5485327450555256,0.875,50
np_women_anaemia_any,marginal,shared,-0.7987,1.2466,3,0.7789,3,2,0.42443602025044547,0.6627,NA,-2.6467,0.1545,0.6666666666666666,1,0.5570722765787097,0.875,50
dhs_c_diet_diversity_score,marginal,shared,-0.5487,0.4892,3,-0.5713,3,1,0.5832385973951795,-0.6125,NA,-0.1864,0.2493,0.803921568627451,1,0.7204712085469864,0.9470588235294118,50
np_women_hb_gdl,marginal,shared,0.4537,0.7867,3,-0.6601,3,1,0.6500475615032282,-0.6954,NA,1.492,-0.0488,0.8627450980392157,1,0.7583888217537662,0.9470588235294118,50
dhs_w_anc1,marginal,shared,0.379,0.2587,3,0.9542,3,2,0.7046690176798437,0.3813,NA,-0.4815,0.1113,0.8823529411764706,1,0.7788447037514062,0.9470588235294118,50
np_deworming,marginal,shared,-0.2536,0.1164,3,0.1093,3,2,0.7997733403627822,0.0292,NA,-0.4815,0.0491,0.9019607843137255,1,0.8397620073809214,0.9470588235294118,50
soilgrids_ph,region_partialed,shared,4.7507,0,3,2.2367,3,3,2.0270976607403877e-6,0.3347,NA,0.1503,0.4974,0.0196078431372549,0.0784313725490196,4.2569050875548144e-5,0.20588235294117646,50
soil_zinc_mean_0_20,region_partialed,shared,-4.072,0,4,-2.2233,4,0,4.661129688275588e-5,-0.3754,-0.1772,-0.6744,-0.3143,0.0196078431372549,0.1568627450980392,4.894186172689367e-4,0.20588235294117646,50
dhs_hh_itn_any,region_partialed,shared,3.9314,0,3,1.7675,3,3,8.445082295118569e-5,0.2429,NA,0.5974,0.3606,0.0392156862745098,0.19607843137254902,5.911557606582998e-4,0.20588235294117646,50
soilgrids_clay,region_partialed,shared,2.4856,0,3,1.0969,3,3,0.012932621210337888,0.0742,NA,0.279,0.2664,0.0392156862745098,0.49019607843137253,0.06789626135427392,0.20588235294117646,50
soil_zinc_mean_20_50,region_partialed,shared,-2.026,0.3484,4,-1.2903,4,0,0.042763400356928695,-0.3033,-0.0244,-1.4037,-0.2142,0.0784313725490196,0.6666666666666666,0.17960628149910052,0.32941176470588235,50
np_deworming,region_partialed,shared,-1.4729,1.0473,3,-0.8479,3,0,0.14076684047070767,-0.0559,NA,-2.6467,-0.121,0.21568627450980393,1,0.48184000273901917,0.7058823529411764,50
np_women_anaemia_any,region_partialed,shared,-1.2936,1.0882,3,-0.3199,3,1,0.1957977146831746,0.1922,NA,-2.6467,-0.122,0.23529411764705882,1,0.48184000273901917,0.7058823529411764,50
soilgrids_cec,region_partialed,shared,1.2317,1.1326,3,0.6917,3,2,0.21805361102470042,0.0286,NA,2.6467,-0.1263,0.5098039215686274,1,0.48184000273901917,0.9411764705882353,50
dhs_c_min_diet_diversity,region_partialed,shared,-1.2188,0.7152,3,-0.777,3,1,0.22291012753197617,-0.5746,NA,-1.3273,0.22,0.49019607843137253,1,0.48184000273901917,0.9411764705882353,50
np_vita_capsule,region_partialed,shared,-1.1826,0.0577,3,-0.4418,3,1,0.23698103775283139,0.0245,NA,-0.5037,-0.1089,0.5490196078431373,1,0.48184000273901917,0.9411764705882353,50
dhs_c_slept_itn,region_partialed,shared,1.1446,0.4529,3,0.7444,3,2,0.25239238238710526,-0.2162,NA,0.6479,0.5833,0.5882352941176471,1,0.48184000273901917,0.9411764705882353,50
soilgrids_organic_carbon,region_partialed,shared,-0.9915,0.2958,3,-0.2371,3,1,0.3214378252507895,-0.1903,NA,-0.7298,0.0788,0.5686274509803921,1,0.5333949268350039,0.9411764705882353,50
np_women_hb_gdl,region_partialed,shared,0.9737,0.2459,3,0.521,3,2,0.3301968594692881,-0.1575,NA,0.6479,0.1974,0.7254901960784313,1,0.5333949268350039,0.9411764705882353,50
dhs_w_anc1,region_partialed,shared,-0.7675,1.289,3,1.0524,3,2,0.44276065083782484,0.3313,NA,-2.6467,0.4985,0.7254901960784313,1,0.6341666863883603,0.9411764705882353,50
dhs_w_anc4plus,region_partialed,shared,-0.6893,1.2894,3,-0.2662,3,2,0.49061455365631856,0.5917,NA,-2.6467,0.4149,0.803921568627451,1,0.6341666863883603,0.9411764705882353,50
dhs_c_diet_diversity_score,region_partialed,shared,-0.6699,0.6116,3,-0.4856,3,1,0.5029060676838669,-0.5335,NA,-0.6744,0.3681,0.7647058823529411,1,0.6341666863883603,0.9411764705882353,50
np_iron_pregnancy,region_partialed,shared,-0.6536,1.3257,3,-0.0158,3,2,0.5133730318381964,0.4732,NA,-2.6467,0.5754,0.8235294117647058,1,0.6341666863883603,0.9411764705882353,50
soil_zinc_stdev_0_20,region_partialed,shared,0.4886,0.149,4,0.5496,4,3,0.6251235034980773,-0.3131,0.196,0.3173,0.0509,0.7843137254901961,1,0.7293107540810903,0.9411764705882353,50
np_child_anaemia_any,region_partialed,shared,0.4121,0.6251,3,0.1822,3,2,0.6803002500005483,0.3802,NA,0.6744,-0.4859,0.9215686274509803,1,0.751910802632185,0.9411764705882353,50
soil_zinc_stdev_20_50,region_partialed,shared,0.2712,0.1871,4,0.6738,4,2,0.7862204227716474,-0.3393,0.1448,-0.1324,0.2328,0.9215686274509803,1,0.8255314439102298,0.9411764705882353,50
