country,outcome,level,unit,prev,n,se,who_band,band_source_verified
Gambia,child_vitA,national,(national),0.172535,1020,0.011831,moderate,FALSE
Gambia,child_vitA,admin1,Banjul,0.124569,169,0.025402,moderate,FALSE
Gambia,child_vitA,admin1,Lower River,0.187359,133,0.033835,moderate,FALSE
Gambia,child_vitA,admin1,Maccarthy Island,0.28404,309,0.025654,severe,FALSE
Gambia,child_vitA,admin1,North Bank,0.127109,93,0.03454,moderate,FALSE
Gambia,child_vitA,admin1,Upper River,0.25302,165,0.033845,severe,FALSE
Gambia,child_vitA,admin1,Western,0.127701,151,0.027161,moderate,FALSE
Gambia,women_vitA,national,(national),0.016994,1413,0.003438,low,FALSE
Gambia,women_vitA,admin1,Banjul,0.011993,371,0.005651,low,FALSE
Gambia,women_vitA,admin1,Lower River,0.037954,145,0.015869,mild,FALSE
Gambia,women_vitA,admin1,Maccarthy Island,0.045437,318,0.011679,mild,FALSE
Gambia,women_vitA,admin1,North Bank,0.0177,152,0.010695,low,FALSE
Gambia,women_vitA,admin1,Upper River,0.039708,196,0.013948,mild,FALSE
Gambia,women_vitA,admin1,Western,0.0052,231,0.004732,low,FALSE
Gambia,child_iron,national,(national),0.375257,1013,0.015213,moderate,FALSE
Gambia,child_iron,admin1,Banjul,0.47361,168,0.038522,severe,FALSE
Gambia,child_iron,admin1,Lower River,0.695963,133,0.039887,severe,FALSE
Gambia,child_iron,admin1,Maccarthy Island,0.71327,306,0.025853,severe,FALSE
Gambia,child_iron,admin1,North Bank,0.657629,93,0.049204,severe,FALSE
Gambia,child_iron,admin1,Upper River,0.634143,164,0.037612,severe,FALSE
Gambia,child_iron,admin1,Western,0.49875,149,0.040961,severe,FALSE
Gambia,women_iron,national,(national),0.28183,1402,0.012015,moderate,FALSE
Gambia,women_iron,admin1,Banjul,0.304745,364,0.024126,moderate,FALSE
Gambia,women_iron,admin1,Lower River,0.562142,145,0.041201,severe,FALSE
Gambia,women_iron,admin1,Maccarthy Island,0.558192,318,0.027848,severe,FALSE
Gambia,women_iron,admin1,North Bank,0.436219,150,0.040491,severe,FALSE
Gambia,women_iron,admin1,Upper River,0.540971,195,0.035685,severe,FALSE
