country,outcome,Admin1,Admin2,svy_prev,svy_prev_se,svy_prev_low,svy_prev_upp,n_svy,svy_cv,svy_ci_width,region_target,v_d,tau2,tau2_source,lambda_emp,lambda,eb_prev,eb_source,rank,rank_lo,rank_hi,r_max_emp,admin2_released,suppression_reason,calibration_status
Gambia,child_vitA,Banjul,Banjul,0.07471193092123284,0.024904034229789686,0.02502974201684019,0.12439411982562548,97,0.3333340996907906,0.09936437780878529,0.210725,0.00112581,0.01839101,split_half_reliability,0.6355,0.9423,0.082558,national,25,18,27,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,North Bank,Central Baddibu,0.3571428571428571,6.938893903907231e-17,0.357142857142857,0.3571428571428572,14,1.942890293094025e-16,2.220446049250313e-16,0.088821,0.02488095,0.01839101,split_half_reliability,0.6355,0.425,0.20286,region,11,3,27,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Western,Foni Bintang Karanai,0,0,0,0,17,NA,0,0.111149,0.0023829,0.01839101,split_half_reliability,0.6355,0.8853,0.012749,region,30,22,30,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Western,Foni Brefet,0,0,0,0,12,NA,0,0.107151,0.00462278,0.01839101,split_half_reliability,0.6355,0.7991,0.021523,region,29,20,30,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Upper River,Fulladu East,0.24633696960276544,0.03816725493219343,0.17019537936855705,0.3224785598369738,124,0.15493920784095314,0.15228318046841677,0.341463,0.00225823,0.01839101,split_half_reliability,0.6355,0.8906,0.25674,region,9,4,15,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Maccarthy Island,Fulladu West,0.322404265149205,0.05993660413207026,0.2028340115388339,0.4419745187595761,113,0.18590512164698655,0.2391405072207422,0.274619,0.00290722,0.01839101,split_half_reliability,0.6355,0.8635,0.315881,region,4,2,11,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Lower River,Jarra East,0.20822152678735353,0.01707100998094889,0.17416579369460966,0.2422772598800974,52,0.08198484683278054,0.06811146618548775,0.156089,0.00484753,0.01839101,split_half_reliability,0.6355,0.7914,0.197347,region,14,6,22.049999999999955,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Lower River,Jarra West,0.07552063936958485,0.017808651270114845,0.039993352169025546,0.11104792657014415,35,0.23581171211968174,0.07105457440111859,0.212526,0.00341522,0.01839101,split_half_reliability,0.6355,0.8434,0.096978,region,24,14,28,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,North Bank,Jokadu,0.14285714285714288,3.122502256758258e-17,0.14285714285714282,0.14285714285714293,14,2.1857515797307801e-16,1.1102230246251565e-16,0.126796,0.01488095,0.01839101,split_half_reliability,0.6355,0.5527,0.135674,region,20,7,29,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Banjul,Kanifing,0.12937945972429077,0.06405840986707917,0.001586428660900946,0.25717249078768056,72,0.495120400128339,0.2555860621267796,0.202987,0.00242454,0.01839101,split_half_reliability,0.6355,0.8835,0.137953,national,19,12,25,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Upper River,Kantora,0.5625,0,0.5625,0.5625,16,0,0,0.238562,0.02311311,0.01839101,split_half_reliability,0.6355,0.4431,0.382103,region,1,1,12,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Lower River,Kiang Central,0.20833333333333331,3.816391647148977e-17,0.20833333333333323,0.2083333333333334,24,1.831867990631509e-16,1.6653345369377348e-16,0.169456,0.010725,0.01839101,split_half_reliability,0.6355,0.6316,0.194013,region,15,5,25,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Lower River,Kiang East,0.2272727272727273,0,0.2272727272727273,0.2272727272727273,22,0,0,0.166403,0.01240548,0.01839101,split_half_reliability,0.6355,0.5972,0.202753,region,12,4,25,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Western,Kombo Central,0.17423184355970267,0.05652550331851179,0.06146654987780861,0.2869971372415967,27,0.3244269369114644,0.2255305873637881,0.082175,0.00840667,0.01839101,split_half_reliability,0.6355,0.6863,0.145353,region,18,8,27,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Western,Kombo East,0.1,4.336808689942019e-18,0.09999999999999999,0.10000000000000002,20,4.336808689942019e-17,2.7755575615628914e-17,0.098427,0.00786565,0.01839101,split_half_reliability,0.6355,0.7004,0.099529,region,23,12,29,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Western,Kombo Saint Mary,0.12838761788768127,0.07563660604817143,-0.022503282562390703,0.27927851833775325,56,0.5891269523696703,0.30178180090014395,0.081097,0.00312609,0.01839101,split_half_reliability,0.6355,0.8547,0.121517,region,21,12,27,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,Western,Kombo South,0.05263157894736842,1.040834085586085e-17,0.0526315789473684,0.05263157894736844,19,1.9775847626135616e-16,4.163336342344337e-17,0.105257,0.00547697,0.01839101,split_half_reliability,0.6355,0.7705,0.064708,region,26,15,30,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,North Bank,Lower Baddibu,0,0,0,0,9,NA,0,0.143058,0.00791667,0.01839101,split_half_reliability,0.6355,0.6991,0.04305,region,27,16,30,0.7972,TRUE,NA,calibration_failed
Gambia,child_vitA,North Bank,Lower Nuimi,0,0,0,0,13,NA,0,0.150211,0.0039737,0.01839101,split_half_reliability,0.6355,0.8223,0.026689,region,28,20,30,0.7972,TRUE,NA,calibration_failed
