mn_group,Population,year,unit,level,Samplesize,prev,Indicator,Indicatorunit,Deficiencycutoff,Dataadjustedfor,Surveymethodology,national_prev,national_n,deviation_pp,prev_pp,national_prev_pp,rank_within_nutrient,n_eco_regions,scored,scoring_blocked_reason,covariate_tilt_applied,covariate_tilt_reason,anchor_source,anchor_not_ghana_reason,cutoff_verified,survey_year,years_stale,unit_is_administrative,unit_note
Folate,Non-pregnant women (NPW),2007,Abidjan,eco_region,NA,0.9620000000000001,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,10.13,96.2,86.07,2,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,Central,eco_region,NA,0.742,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,-11.87,74.2,86.07,9,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,Central West,eco_region,NA,0.8370000000000001,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,-2.37,83.7,86.07,6,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,North,eco_region,NA,0.883,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,2.23,88.3,86.07,5,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,North East,eco_region,NA,0.787,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,-7.37,78.7,86.07,7,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,North West,eco_region,NA,0.9640000000000001,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,10.33,96.4,86.07,1,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,South,eco_region,NA,0.898,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,3.73,89.8,86.07,4,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,South East,eco_region,NA,0.9209999999999999,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,6.03,92.1,86.07,3,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,West,eco_region,NA,0.775,Folate (plasma or serum),,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,-8.57,77.5,86.07,8,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,,national,853,0.861,Folate (plasma or serum),nmol/L,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,0.03,86.1,86.07,NA,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
