"Admin2","country","outcome","support_distance","out_of_support","surveyed","n_svy","small_sample","pi_width","wide_interval","trust"
"Banjul","Gambia","child_vitA",2.462,TRUE,TRUE,96,FALSE,0.362115876189035,FALSE,"Do not rely"
"Kanifing","Gambia","child_vitA",2.487,TRUE,TRUE,69,FALSE,0.356671980140014,FALSE,"Do not rely"
"Jarra East","Gambia","child_vitA",0.669,FALSE,TRUE,52,FALSE,0.408908179788277,FALSE,"OK to use"
"Jarra West","Gambia","child_vitA",0.603,FALSE,TRUE,35,FALSE,0.394438913653071,FALSE,"OK to use"
"Kiang Central","Gambia","child_vitA",0.581,FALSE,TRUE,22,FALSE,0.422713524557295,FALSE,"OK to use"
"Kiang East","Gambia","child_vitA",0.602,FALSE,TRUE,22,FALSE,0.402503435401293,FALSE,"OK to use"
"Fulladu West","Gambia","child_vitA",0.803,FALSE,TRUE,111,FALSE,0.422713524557295,FALSE,"OK to use"
"Lower Saloum","Gambia","child_vitA",0.617,FALSE,TRUE,39,FALSE,0.422713524557295,FALSE,"OK to use"
"Niamina Dankunku","Gambia","child_vitA",0.653,FALSE,TRUE,34,FALSE,0.422713524557295,FALSE,"OK to use"
"Niamina East","Gambia","child_vitA",0.738,FALSE,TRUE,28,FALSE,0.422713524557294,FALSE,"OK to use"
"Niani","Gambia","child_vitA",0.792,FALSE,TRUE,45,FALSE,0.422713524557295,FALSE,"OK to use"
"Nianija","Gambia","child_vitA",0.656,FALSE,TRUE,22,FALSE,0.422713524557294,FALSE,"OK to use"
"Sami","Gambia","child_vitA",0.812,FALSE,TRUE,18,FALSE,0.422713524557294,FALSE,"OK to use"
"Upper Saloum","Gambia","child_vitA",0.676,FALSE,TRUE,10,TRUE,0.422713524557295,FALSE,"Use with caution"
"Central Baddibu","Gambia","child_vitA",0.57,FALSE,TRUE,14,TRUE,0.422713524557295,FALSE,"Use with caution"
"Jokadu","Gambia","child_vitA",0.801,FALSE,TRUE,14,TRUE,0.422713524557295,FALSE,"Use with caution"
"Lower Baddibu","Gambia","child_vitA",0.529,FALSE,TRUE,8,TRUE,0.422713524557294,FALSE,"Use with caution"
"Lower Nuimi","Gambia","child_vitA",1.1,FALSE,TRUE,13,TRUE,0.376269956893273,FALSE,"Use with caution"
"Upper Baddibu","Gambia","child_vitA",0.565,FALSE,TRUE,29,FALSE,0.422713524557294,FALSE,"OK to use"
"Upper Nuimi","Gambia","child_vitA",1.087,FALSE,TRUE,9,TRUE,0.40863849730749,FALSE,"Use with caution"
"Fulladu East","Gambia","child_vitA",0.808,FALSE,TRUE,123,FALSE,0.422713524557295,FALSE,"OK to use"
"Kantora","Gambia","child_vitA",0.983,FALSE,TRUE,15,FALSE,0.422713524557295,FALSE,"OK to use"
"Sandu","Gambia","child_vitA",0.82,FALSE,TRUE,16,FALSE,0.422713524557295,FALSE,"OK to use"
"Wuli","Gambia","child_vitA",0.867,FALSE,TRUE,8,TRUE,0.422713524557295,FALSE,"Use with caution"
"Foni Bintang Karanai","Gambia","child_vitA",0.889,FALSE,TRUE,17,FALSE,0.422713524557295,FALSE,"OK to use"
"Foni Brefet","Gambia","child_vitA",1.092,FALSE,TRUE,12,TRUE,0.422713524557295,FALSE,"Use with caution"
"Kombo Central","Gambia","child_vitA",1.291,FALSE,TRUE,26,FALSE,0.422713524557295,FALSE,"OK to use"
"Kombo East","Gambia","child_vitA",1.13,FALSE,TRUE,20,FALSE,0.381767283679865,FALSE,"OK to use"
"Kombo Saint Mary","Gambia","child_vitA",1.314,FALSE,TRUE,56,FALSE,0.33951324834807,FALSE,"OK to use"
"Kombo South","Gambia","child_vitA",1.331,FALSE,TRUE,19,FALSE,0.358100040941283,FALSE,"OK to use"
"Niamina West","Gambia","child_vitA",0.668,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Jarrol","Gambia","child_vitA",0.579,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Jarra Central","Gambia","child_vitA",0.626,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Bondali","Gambia","child_vitA",0.551,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Janjanbureh","Gambia","child_vitA",0.815,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Kansala","Gambia","child_vitA",0.551,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Kiang West","Gambia","child_vitA",0.726,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Banjul","Gambia","women_vitA",2.462,TRUE,TRUE,231,FALSE,0.112883347196638,FALSE,"Do not rely"
"Kanifing","Gambia","women_vitA",2.487,TRUE,TRUE,139,FALSE,0.117671459735143,FALSE,"Do not rely"
"Jarra East","Gambia","women_vitA",0.669,FALSE,TRUE,43,FALSE,0.140201097705479,FALSE,"OK to use"
"Jarra West","Gambia","women_vitA",0.603,FALSE,TRUE,61,FALSE,0.143119869471268,FALSE,"OK to use"
"Kiang Central","Gambia","women_vitA",0.581,FALSE,TRUE,20,FALSE,0.137985005084435,FALSE,"OK to use"
"Kiang East","Gambia","women_vitA",0.602,FALSE,TRUE,21,FALSE,0.13964694219343,FALSE,"OK to use"
"Fulladu West","Gambia","women_vitA",0.803,FALSE,TRUE,146,FALSE,0.146261213775899,FALSE,"OK to use"
"Lower Saloum","Gambia","women_vitA",0.617,FALSE,TRUE,29,FALSE,0.141944363389614,FALSE,"OK to use"
"Niamina Dankunku","Gambia","women_vitA",0.653,FALSE,TRUE,19,FALSE,0.137985007650631,FALSE,"OK to use"
"Niamina East","Gambia","women_vitA",0.738,FALSE,TRUE,23,FALSE,0.147468325323182,FALSE,"OK to use"
"Niani","Gambia","women_vitA",0.792,FALSE,TRUE,45,FALSE,0.140814970687549,FALSE,"OK to use"
"Nianija","Gambia","women_vitA",0.656,FALSE,TRUE,21,FALSE,0.170695734636825,FALSE,"OK to use"
"Sami","Gambia","women_vitA",0.812,FALSE,TRUE,18,FALSE,0.12895883734065,FALSE,"OK to use"
"Upper Saloum","Gambia","women_vitA",0.676,FALSE,TRUE,14,TRUE,0.201700736224648,TRUE,"Do not rely"
"Central Baddibu","Gambia","women_vitA",0.57,FALSE,TRUE,33,FALSE,0.124720571539066,FALSE,"OK to use"
"Jokadu","Gambia","women_vitA",0.801,FALSE,TRUE,12,TRUE,0.123858606419335,FALSE,"Use with caution"
"Lower Baddibu","Gambia","women_vitA",0.529,FALSE,TRUE,23,FALSE,0.124865849118802,FALSE,"OK to use"
"Lower Nuimi","Gambia","women_vitA",1.1,FALSE,TRUE,29,FALSE,0.109238112603966,FALSE,"OK to use"
"Upper Baddibu","Gambia","women_vitA",0.565,FALSE,TRUE,38,FALSE,0.116956539694675,FALSE,"OK to use"
"Upper Nuimi","Gambia","women_vitA",1.087,FALSE,TRUE,17,FALSE,0.117565540565477,FALSE,"OK to use"
"Fulladu East","Gambia","women_vitA",0.808,FALSE,TRUE,152,FALSE,0.144830321774661,FALSE,"OK to use"
