k_sentinel,replicate,n_held,rmse_pp,mae_pp,shift_logit,outcome,country,analysis_profile
0,1,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,2,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,3,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,4,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,5,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,6,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,7,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,8,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,9,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,10,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,11,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,12,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,13,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,14,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,15,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,16,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,17,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,18,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,19,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,20,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,21,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,22,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,23,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,24,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
0,25,30,17.23939652509268,13.210267800049543,0,child_vitA,Gambia,full
3,1,27,22.664690784275024,18.549413117607987,-1.7918037994465355,child_vitA,Gambia,full
3,2,27,15.276775424083263,12.695535339600413,1.0361329104178232,child_vitA,Gambia,full
3,3,27,26.019210730814695,22.782230057532804,1.9454462112950512,child_vitA,Gambia,full
3,4,27,16.01212126553735,12.947883104832353,1.2121672760776385,child_vitA,Gambia,full
3,5,27,25.501589661895864,22.307040802167833,1.9226953149171533,child_vitA,Gambia,full
3,6,27,17.863777074400648,14.174047168998566,0.06530961487164759,child_vitA,Gambia,full
