outcome,held_out,scorer,weighting,metric,original_selection,nested_selection,delta,lower_better,nested_better
women_vitA,Gambia,glm,equal_country,null_brier_train,0.02630554354585166,0.026302612803130683,-2.930742720976681e-6,FALSE,FALSE
women_vitA,Gambia,glm,equal_country,calib_slope,3.2260834216501153,-151.5317075243562,-154.7577909460063,FALSE,FALSE
women_vitA,Gambia,glm,equal_country,n_scored,3,1,-2,FALSE,FALSE
women_vitA,Ghana,glm,equal_row,auc,0.6271413276231264,0.6020572040379321,-0.025084123585194296,FALSE,FALSE
women_vitA,Ghana,glm,equal_row,brier,0.014831131440972516,0.014548210265003391,-2.829211759691249e-4,TRUE,TRUE
women_vitA,Ghana,glm,equal_row,null_brier_train,0.0145867133950691,0.0145867133950691,0,FALSE,FALSE
women_vitA,Ghana,glm,equal_row,calib_slope,0.5073768466498138,0.4776631287278237,-0.029713717921990068,FALSE,FALSE
women_vitA,Ghana,glm,equal_row,n_scored,3,3,0,FALSE,FALSE
women_vitA,Ghana,glm,equal_country,auc,0.6171229733863567,0.6080223309880697,-0.009100642398287007,FALSE,FALSE
women_vitA,Ghana,glm,equal_country,brier,0.014692446996836852,0.014525421009972006,-1.6702598686484625e-4,TRUE,TRUE
women_vitA,Ghana,glm,equal_country,null_brier_train,0.0145867133950691,0.0145867133950691,0,FALSE,FALSE
women_vitA,Ghana,glm,equal_country,calib_slope,0.5396797967508655,0.6540862956702951,0.11440649891942956,FALSE,TRUE
women_vitA,Ghana,glm,equal_country,n_scored,3,3,0,FALSE,FALSE
women_vitA,SierraLeone,glm,equal_row,auc,0.6368421052631579,0.49627105567699625,-0.14057104958616162,FALSE,FALSE
women_vitA,SierraLeone,glm,equal_row,brier,0.018081603962461414,0.015203347351929257,-0.002878256610532157,TRUE,TRUE
women_vitA,SierraLeone,glm,equal_row,null_brier_train,0.01776330309717897,0.015104004352300754,-0.0026592987448782173,FALSE,FALSE
women_vitA,SierraLeone,glm,equal_row,calib_slope,-0.6343229104379117,-0.1920206940700344,0.44230221636787725,FALSE,TRUE
