strategy,stratum,retention,n_districts,rmse_pp,mae_pp,replicate,n_clusters_total,n_districts_total,seed,country,outcome,analysis_profile
direct_or_national,has_clusters,0.5,18,7.0879508998440945,5.155975764011184,1,70,30,12345,Gambia,child_iron,smoke
direct_or_national,zero_clusters,0.5,12,16.44464828493711,13.901471229286717,1,70,30,12345,Gambia,child_iron,smoke
model_cv,has_clusters,0.5,18,15.958978077511215,12.449463872759791,1,70,30,12345,Gambia,child_iron,smoke
model_cv,zero_clusters,0.5,12,16.30132123717911,12.563737639206538,1,70,30,12345,Gambia,child_iron,smoke
spatial_cv,has_clusters,0.5,18,16.495315908302803,14.2806440083581,1,70,30,12345,Gambia,child_iron,smoke
spatial_cv,zero_clusters,0.5,12,15.485506526903961,12.433603014195366,1,70,30,12345,Gambia,child_iron,smoke
direct_or_national,has_clusters,0.5,20,8.208189678034959,5.0081711851679,2,70,30,12345,Gambia,child_iron,smoke
direct_or_national,zero_clusters,0.5,10,16.281663894210567,13.536457083149397,2,70,30,12345,Gambia,child_iron,smoke
model_cv,has_clusters,0.5,20,14.960703911179444,11.971205648006158,2,70,30,12345,Gambia,child_iron,smoke
model_cv,zero_clusters,0.5,10,15.357016520561558,11.150078838319795,2,70,30,12345,Gambia,child_iron,smoke
spatial_cv,has_clusters,0.5,20,14.471101830349745,11.867235666233814,2,70,30,12345,Gambia,child_iron,smoke
spatial_cv,zero_clusters,0.5,10,14.522838581640626,11.832141492174001,2,70,30,12345,Gambia,child_iron,smoke
direct_or_national,has_clusters,0.5,17,8.638521225137643,5.094796774514961,3,70,30,12345,Gambia,child_iron,smoke
direct_or_national,zero_clusters,0.5,13,17.24173043992501,14.646667451546968,3,70,30,12345,Gambia,child_iron,smoke
model_cv,has_clusters,0.5,17,15.087245894045836,12.006322113180897,3,70,30,12345,Gambia,child_iron,smoke
model_cv,zero_clusters,0.5,13,15.938748432783873,13.331034084617274,3,70,30,12345,Gambia,child_iron,smoke
spatial_cv,has_clusters,0.5,17,15.341485535391966,13.50211607863232,3,70,30,12345,Gambia,child_iron,smoke
spatial_cv,zero_clusters,0.5,13,13.242908527018121,10.618651778295666,3,70,30,12345,Gambia,child_iron,smoke
direct_or_national,has_clusters,0.5,18,6.937685559103793,5.163377687293552,4,70,30,12345,Gambia,child_iron,smoke
direct_or_national,zero_clusters,0.5,12,16.930049701499364,14.944914370489522,4,70,30,12345,Gambia,child_iron,smoke
model_cv,has_clusters,0.5,18,14.923854573010221,11.09241309859482,4,70,30,12345,Gambia,child_iron,smoke
model_cv,zero_clusters,0.5,12,15.436804107774845,13.366651689217331,4,70,30,12345,Gambia,child_iron,smoke
spatial_cv,has_clusters,0.5,18,13.119274196884406,11.135721219781281,4,70,30,12345,Gambia,child_iron,smoke
spatial_cv,zero_clusters,0.5,12,13.83932437153651,11.625245499405311,4,70,30,12345,Gambia,child_iron,smoke
direct_or_national,has_clusters,0.5,18,6.671870963207654,4.451196219606314,5,70,30,12345,Gambia,child_iron,smoke
direct_or_national,zero_clusters,0.5,12,16.25338694635749,13.949162881314345,5,70,30,12345,Gambia,child_iron,smoke
model_cv,has_clusters,0.5,18,15.684804728432814,11.965949052907371,5,70,30,12345,Gambia,child_iron,smoke
model_cv,zero_clusters,0.5,12,14.160021263248277,12.103621903695013,5,70,30,12345,Gambia,child_iron,smoke
spatial_cv,has_clusters,0.5,18,14.412686926397978,10.672248667865421,5,70,30,12345,Gambia,child_iron,smoke
spatial_cv,zero_clusters,0.5,12,12.654241748689596,10.761475571557376,5,70,30,12345,Gambia,child_iron,smoke
direct_or_national,has_clusters,0.6,26,6.402929331004627,4.033997941294726,1,70,30,12345,Gambia,child_iron,smoke
direct_or_national,zero_clusters,0.6,4,12.627470479496813,10.257508928218334,1,70,30,12345,Gambia,child_iron,smoke
model_cv,has_clusters,0.6,26,16.205395679108943,13.078113318587596,1,70,30,12345,Gambia,child_iron,smoke
model_cv,zero_clusters,0.6,4,15.729416959840131,10.956537439270742,1,70,30,12345,Gambia,child_iron,smoke
spatial_cv,has_clusters,0.6,26,13.705956126048385,11.475657592120935,1,70,30,12345,Gambia,child_iron,smoke
spatial_cv,zero_clusters,0.6,4,21.412894490934573,18.903241478123643,1,70,30,12345,Gambia,child_iron,smoke
direct_or_national,has_clusters,0.6,23,6.758015114236771,3.993728554911625,2,70,30,12345,Gambia,child_iron,smoke
