outcome,held_out,n_test,n_train,n_predictors,n_selected,zhat_sd,response,mu_train,mu_holdout,sd_train,sd_holdout,level_ratio_train_over_holdout,total_bias_log,location_offset_log,pattern_term_log,abs_location_log,abs_pattern_log,location_share,pattern_share,location_share_bounded,pattern_opposes_location,pearson_z,marker
child_iron,Gambia,30,176,30,12,0.2341194071463815,area_log_biomarker,3.143437191774951,2.161564502280808,0.4279314363863729,0.28907143196659507,2.669450616137746,0.7251371719785822,0.9818726894941432,-0.2567355175155612,0.9818726894941432,0.2567355175155612,1.3540509677845394,0.35405096778453965,0.7927225767901361,TRUE,0.4552456097451488,adjusted ferritin (ug/L)
child_iron,Ghana,75,131,30,21,0.683208722141168,area_log_biomarker,3.03585326471269,2.938601375246044,0.5883034706811463,0.4308424714745619,1.1021379556013613,-0.05148243707048916,0.09725188946664609,-0.1487343265371353,0.09725188946664609,0.1487343265371353,1.8890304150421224,2.8890304150421233,0.3953550367438113,TRUE,0.093261027780928,adjusted ferritin (ug/L)
child_iron,SierraLeone,14,192,30,18,0.5696579574827133,area_log_biomarker,2.956428490735575,3.604115042827515,0.527430273370651,0.2100826665029553,0.5232549005543572,0.030589025264776026,-0.6476865520919399,0.678275577356716,0.6476865520919399,0.678275577356716,21.1738212148187,22.1738212148187,0.4884653473182167,TRUE,0.38994176196898483,adjusted ferritin (ug/L)
child_iron,Malawi,87,119,30,11,0.5040049286292737,area_log_biomarker,2.821005452197166,3.245887724245436,0.577854046253462,0.3528255365512081,0.6538467566383137,-1.1801474310547215,-0.4248822720482699,-0.7552651590064519,0.4248822720482699,0.7552651590064519,0.360024740017901,0.6399752599820991,0.36002474001790097,FALSE,0.1436806426122611,adjusted ferritin (ug/L)
women_iron,Gambia,30,176,30,0,0,area_log_biomarker,3.399104074889041,2.6405144648908356,0.312839861367979,0.3692293233278297,2.1352625428243512,0.757936659353978,0.7585896099982055,-6.529506442275121e-4,0.7585896099982055,6.529506442275121e-4,1.0008614844475052,8.614844475052176e-4,0.9991399973103786,TRUE,NA,adjusted ferritin (ug/L)
women_iron,Ghana,75,131,30,13,0.4484143191897136,area_log_biomarker,3.2147748471918267,3.417629948600893,0.4431645059615584,0.3356372956470061,0.8163965275621425,-0.05701784120969178,-0.20285510140906649,0.1458372601993747,0.20285510140906649,0.1458372601993747,3.5577478400670417,2.5577478400670417,0.5817595214111961,TRUE,-0.1173054583485496,adjusted ferritin (ug/L)
women_iron,SierraLeone,14,192,30,16,0.46018212531088615,area_log_biomarker,3.272597611715449,3.5085006912735777,0.4275128095712737,0.12264156921921641,0.7898572235342526,0.39727215393626203,-0.2359030795581285,0.6331752334943903,0.2359030795581285,0.6331752334943903,0.5938072357217782,1.5938072357217776,0.271440531900458,TRUE,0.13094577709515476,adjusted ferritin (ug/L)
women_iron,Malawi,87,119,30,15,0.2741344214022383,area_log_biomarker,3.232409157727917,3.365529440891657,0.4751069906096757,0.31073558953188657,0.8753597947306263,-0.2697343436654598,-0.13312028316373992,-0.13661406050172012,0.13312028316373992,0.13661406050172012,0.4935236698254614,0.5064763301745395,0.49352366982546103,FALSE,0.04400269800943013,adjusted ferritin (ug/L)
child_vitA,Gambia,30,176,30,7,0.12827545207761942,area_log_biomarker,0.06667872840618524,-0.11646872474745333,0.1514880746703176,0.10490794991613422,1.2009914850071917,0.1466007793029291,0.18314745315363856,-0.03654667385070946,0.18314745315363856,0.03654667385070946,1.249293857948675,0.24929385794867498,0.833647470011858,TRUE,0.4812319304030875,adjusted RBP (umol/L)
child_vitA,Ghana,75,131,30,7,0.33707047637120907,area_log_biomarker,0.0844052948278279,-0.03754265553840601,0.15518898723560998,0.13530612974598352,1.1296953000233936,0.15066926667563546,0.1219479503662339,0.028721316309401536,0.1219479503662339,0.028721316309401536,0.8093750839629855,0.19062491603701437,0.8093750839629856,FALSE,0.08990780332890007,adjusted RBP (umol/L)
