outcome,held_out,n_train,n_test,n_pred,n_selected,pearson_r,pearson_ci_lo,pearson_ci_hi,pearson_perm_p,spearman_r,rmse_pp,mae_pp,nat_bias_pp,calib_slope,n_boot,scheme
child_iron,Gambia,176,30,30,9,0.51,0.184,0.736,0.004,0.512,48.21,46.32,-46.32,1.46,1000,configured
child_iron,Ghana,131,75,30,10,0.424,0.231,0.612,0.001,0.391,17.1,13.39,0.81,0.68,1000,configured
child_iron,SierraLeone,192,14,30,11,-0.163,-0.49,0.521,0.6833,0.077,13.22,8.39,5.56,-0.07,1000,configured
child_iron,Malawi,119,87,30,14,-0.048,-0.256,0.161,0.6663,-0.091,17.39,14.08,5.86,-0.12,1000,configured
child_iron,Gambia,176,30,30,9,0.574,0.382,0.745,0.001,0.584,48.91,47.14,-47.14,2.17,1000,uniform_brinda
child_iron,Ghana,131,75,30,10,0.419,0.213,0.61,0.001,0.4,19.62,15.7,-4.74,0.76,1000,uniform_brinda
child_iron,SierraLeone,192,14,30,11,0.267,-0.058,0.698,0.1818,0.371,6.13,5.13,1.92,0.24,1000,uniform_brinda
child_iron,Malawi,119,87,30,15,-0.021,-0.258,0.226,0.5674,0.021,19.57,15.76,8.75,-0.04,1000,uniform_brinda
women_iron,Gambia,176,30,30,2,-0.709,-0.852,-0.539,1,-0.714,43.98,40.86,-40.86,-235.89,1000,configured
women_iron,Ghana,131,75,30,14,0.092,-0.144,0.295,0.2298,0.098,23.36,18.84,16.18,0.08,1000,configured
women_iron,SierraLeone,192,14,30,10,-0.093,-0.681,0.224,0.6134,-0.376,16.2,13.74,-7.91,-0.05,1000,configured
women_iron,Malawi,119,87,30,13,-0.036,-0.224,0.19,0.6384,0.048,18.63,13.59,-4.35,-0.1,1000,configured
women_iron,Gambia,176,30,30,0,NA,NA,NA,NA,NA,42.09,38.8,-38.8,NA,0,uniform_brinda
women_iron,Ghana,131,75,30,15,0.092,-0.143,0.329,0.2338,0.177,22.27,19.08,12.08,0.12,1000,uniform_brinda
women_iron,SierraLeone,192,14,30,9,-0.116,-0.743,0.258,0.6613,-0.473,19.77,14.57,0.85,-0.04,1000,uniform_brinda
women_iron,Malawi,119,87,30,17,0.086,-0.133,0.294,0.2178,0.1,21.11,15.5,-10.18,0.19,1000,uniform_brinda
