country,outcome,arm,n_clusters,n_districts,n_districts_eval,median_clusters_per_district,districts_single_cluster,pearson_r,spearman_r,pred_sd_over_truth_sd,correlation_degenerate,correlation_is_mechanical,mae_pp,rmse_pp,bias_pp,calib_slope,aggregation,covariates_district_constant,seed,r_max,r_max_hi,r_share,signal,elapsed_min,analysis_profile
Gambia,child_vitA,national_mean,70,30,30,1,17,-0.6580786567224847,-0.8867363820895878,0.0385,FALSE,TRUE,11.133585145072736,13.65476703058494,1.2370817300862784,-17.111559141340997,cluster-count weighted (not population weighted),FALSE,12345,0.671,0.823,-0.98,TRUE,0.48,full
Gambia,child_vitA,covariates_only,70,30,30,1,17,0.3063173372358265,0.3673017568615248,0.6672,FALSE,FALSE,10.67755154431192,13.498247438281602,-0.20485530729778545,0.4591293920624142,cluster-count weighted (not population weighted),TRUE,12345,0.671,0.823,0.46,TRUE,0.48,full
Gambia,child_vitA,spatial_only,70,30,30,1,17,0.38571298520537184,0.3848983843885475,0.5727,FALSE,FALSE,9.976050861076855,12.485881836694258,-0.3720041383248468,0.6735493478115328,cluster-count weighted (not population weighted),FALSE,12345,0.671,0.823,0.57,TRUE,0.48,full
Gambia,child_vitA,spatial_plus_covariates,70,30,30,1,17,0.08283793657821618,0.18487596009403612,0.7848,FALSE,FALSE,12.624904908338952,16.170629043042243,-0.5679271143684717,0.10555369753074703,cluster-count weighted (not population weighted),TRUE,12345,0.671,0.823,0.12,TRUE,0.48,full
Gambia,child_vitA,matern_spamm,70,30,30,1,17,0.45436115920096404,0.4633036108380664,0.3817,FALSE,FALSE,9.238702033805081,11.893996087665172,-1.029071066057835,1.1904026404827235,cluster-count weighted (not population weighted),FALSE,12345,0.671,0.823,0.68,TRUE,0.48,full
Gambia,women_vitA,national_mean,70,30,30,1,17,-0.7297373729790018,-0.8645098206081251,0.0291,FALSE,TRUE,3.7140363678210013,5.006119441504722,-0.8468728073432668,-25.071310749693254,cluster-count weighted (not population weighted),FALSE,12345,0.275,0.64,-2.65,TRUE,2.1,full
Gambia,women_vitA,covariates_only,70,30,30,1,17,0.11055530346179868,0.2693930315081849,0.8933,FALSE,FALSE,4.153684043545178,6.111034175952406,-0.034676297164366876,0.12376161678064712,cluster-count weighted (not population weighted),TRUE,12345,0.275,0.64,0.4,TRUE,2.1,full
Gambia,women_vitA,spatial_only,70,30,30,1,17,0.2837401133432752,0.33814926690182445,0.5135,FALSE,FALSE,3.4600699914125563,4.789685189080176,-0.5051837348635516,0.5526050798565922,cluster-count weighted (not population weighted),FALSE,12345,0.275,0.64,1.03,TRUE,2.1,full
Gambia,women_vitA,spatial_plus_covariates,70,30,30,1,17,0.14453075297880083,0.17482387497700153,0.9495,FALSE,FALSE,4.228160873807884,6.162391076145372,-0.10607187229234732,0.15222252995938704,cluster-count weighted (not population weighted),TRUE,12345,0.275,0.64,0.52,TRUE,2.1,full
Gambia,women_vitA,matern_spamm,70,30,30,1,17,0.24211145405950232,0.3076430873756362,0.4024,FALSE,FALSE,3.5593641271659133,4.80188768107893,-0.7021984635627264,0.6016248954775147,cluster-count weighted (not population weighted),FALSE,12345,0.275,0.64,0.88,TRUE,2.1,full
Gambia,child_iron,national_mean,70,30,30,1,17,-0.7265686896255704,-0.8709677419354839,0.0353,FALSE,TRUE,12.55974559519133,15.714740722714563,0.9863380463003502,-20.561209654143553,cluster-count weighted (not population weighted),FALSE,12345,0.565,0.753,-1.29,TRUE,0.73,full
Gambia,child_iron,covariates_only,70,30,30,1,17,0.2922582340487826,0.21334816462736375,0.5634,FALSE,FALSE,12.140850423362883,15.227801760091914,0.9883347284453614,0.518735234200056,cluster-count weighted (not population weighted),TRUE,12345,0.565,0.753,0.52,TRUE,0.73,full
Gambia,child_iron,spatial_only,70,30,30,1,17,0.4598699233434805,0.40556173526140155,0.6056,FALSE,FALSE,11.167786880667599,13.768451823543693,0.5852357741679581,0.7594221067567462,cluster-count weighted (not population weighted),FALSE,12345,0.565,0.753,0.81,TRUE,0.73,full
Gambia,child_iron,spatial_plus_covariates,70,30,30,1,17,0.09085938063902085,0.06829810901001113,0.7312,FALSE,FALSE,15.580851488807323,18.11598660456702,0.7856378969446909,0.12426546626515572,cluster-count weighted (not population weighted),TRUE,12345,0.565,0.753,0.16,TRUE,0.73,full
Gambia,child_iron,matern_spamm,70,30,30,1,17,0.1294113281472522,0.07853170189098999,0.3432,FALSE,FALSE,12.559880616825513,15.613141183346253,1.8214618581962938,0.37711032521322285,cluster-count weighted (not population weighted),FALSE,12345,0.565,0.753,0.23,TRUE,0.73,full
Gambia,women_iron,national_mean,70,30,30,1,17,-0.6107400507518489,-0.84125042238217,0.0382,FALSE,TRUE,14.411508273917509,17.426982258817034,-5.190576738243646,-15.96707268177916,cluster-count weighted (not population weighted),FALSE,12345,0.706,0.796,-0.86,TRUE,1.81,full
Gambia,women_iron,covariates_only,70,30,30,1,17,0.6021256086132551,0.641005677567583,0.6602,FALSE,FALSE,10.838430742788843,13.212759723961053,-2.3193220156271623,0.9120609125046687,cluster-count weighted (not population weighted),TRUE,12345,0.706,0.796,0.85,TRUE,1.81,full
Gambia,women_iron,spatial_only,70,30,30,1,17,0.6394871134504945,0.6314384286486638,0.7318,FALSE,FALSE,10.194510009617163,12.700405065803558,-1.7287496353500853,0.8738047800204107,cluster-count weighted (not population weighted),FALSE,12345,0.706,0.796,0.91,TRUE,1.81,full
Gambia,women_iron,spatial_plus_covariates,70,30,30,1,17,0.5779649859335768,0.6603626695663264,0.8338,FALSE,FALSE,10.410569739215102,13.925883983501055,-0.9013617633235715,0.6931677285110611,cluster-count weighted (not population weighted),TRUE,12345,0.706,0.796,0.82,TRUE,1.81,full
Gambia,women_iron,matern_spamm,70,30,30,1,17,0.5789448791495369,0.5762598767442,0.6169,FALSE,FALSE,10.934669192485984,13.395142010574634,-1.8743334658019861,0.9384957492728611,cluster-count weighted (not population weighted),FALSE,12345,0.706,0.796,0.82,TRUE,1.81,full
Ghana,child_vitA,national_mean,90,75,63,1,62,NA,NA,0.0153,TRUE,TRUE,8.732539778574642,10.956879106200297,0.20439331470637478,-60.05239096565897,cluster-count weighted (not population weighted),FALSE,12345,0,0.453,NA,TRUE,8.19,full
Ghana,child_vitA,covariates_only,90,75,63,1,62,0.23540796396050323,0.1883150876530952,0.4924,FALSE,FALSE,8.857154459017739,10.861054558291126,0.023660679689613273,0.4780708706115006,cluster-count weighted (not population weighted),TRUE,12345,0,0.453,NA,TRUE,8.19,full
Ghana,child_vitA,spatial_only,90,75,63,1,62,0.25578198363054994,0.2175849906207952,0.4594,FALSE,FALSE,8.47508635109916,10.673760857103685,0.07865898549058448,0.5567895568577033,cluster-count weighted (not population weighted),FALSE,12345,0,0.453,NA,TRUE,8.19,full
