n_areas,pearson_r,spearman_r,mae_pp,rmse_pp,nat_bias_pp,outcome,held_out,anchor_source,anchor_target,anchor_delta_logit,aggregate_before,aggregate_after,external_year_gap,aggregation_weight,ranking_preserved
30,-0.24535379313411038,-0.3216396221395038,13.210267800049541,17.23939652509268,-11.205370262725484,child_vitA,Gambia,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
30,-0.248230258980069,-0.3216396221395038,11.881106706585001,14.454427379949827,-5.551115123125783e-15,child_vitA,Gambia,own_survey,0.197790835945568,0.9737372314873614,0.08573713331831317,0.19779083594556796,NA,survey n (not population),TRUE
30,-0.25484733796983206,-0.3216396221395038,28.85976855177127,31.937720207143066,27.52091640552148,child_vitA,Gambia,external,0.473,2.2813518893673237,0.08573713331831317,0.4730000000007828,19,survey n (not population),TRUE
75,0.2661759106123489,0.2340236731826638,9.257390068431405,11.238145178440563,-3.05848147649459,child_vitA,Ghana,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
75,0.26486291443623294,0.2340236731826638,9.30529950485182,11.097115541811341,2.7755575615628914e-15,child_vitA,Ghana,own_survey,0.14928462533252015,0.26642508169242535,0.11869981056757425,0.14928462533252018,NA,survey n (not population),TRUE
14,0.09095632727639572,0.03736263736263736,7.1628563129866665,8.867899283854337,-5.1576830939674325,child_vitA,SierraLeone,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
14,0.07834976132666002,0.03736263736263736,8.53742373070824,10.201194367660097,-2.5397739467081237e-11,child_vitA,SierraLeone,own_survey,0.12185024324205651,0.6546310471048495,0.07027341230238218,0.12185024324180253,NA,survey n (not population),TRUE
87,-0.013978403329197323,-0.042330981820247436,9.949312531853586,12.063843765275179,3.7322624314015465,child_vitA,Malawi,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
87,-0.01290403493088815,-0.042330981820247436,8.729019336442793,11.207745838937724,-1.3877787807814457e-15,child_vitA,Malawi,own_survey,0.09181106216443034,-0.38523370668678464,0.1291336864784458,0.09181106216443033,NA,survey n (not population),TRUE
87,-0.029771594607809912,-0.042330981820247436,50.64241101917184,52.23734869501969,50.518893783510876,child_vitA,Malawi,external,0.597,2.330661686818605,0.1291336864784458,0.5969999999995391,15,survey n (not population),TRUE
30,-0.024131095251988977,-0.05209516811395213,3.4366636467930562,5.485525079403954,-1.6141379328555232,women_vitA,Gambia,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
30,-0.024020390593539633,-0.05209516811395213,3.6012109984763563,4.928378026048052,-1.0408340855860843e-15,women_vitA,Gambia,own_survey,0.025003978184174356,1.0536245580826746,0.008862598855619123,0.025003978184174346,NA,survey n (not population),TRUE
75,0.25591930866336066,0.2632005947850064,3.0592766014177992,4.070281082995534,0.7582831019301541,women_vitA,Ghana,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
75,0.25585650833903484,0.2632005947850064,2.5767282729139094,4.040362593574068,-1.734723475976807e-16,women_vitA,Ghana,own_survey,0.015120967741935484,-0.4148319756332796,0.022703798761237026,0.015120967741935483,NA,survey n (not population),TRUE
14,-0.2776456913328342,-0.1967288746748213,1.2798359936425372,1.9239598348713773,-1.3578527566628422,women_vitA,SierraLeone,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
14,-0.2766910832226052,-0.1967288746748213,1.4482572014289814,1.7171665581508972,3.27680590994639e-11,women_vitA,SierraLeone,own_survey,0.014895870793651502,2.4404362189077258,0.0013173432270230804,0.014895870793979183,NA,survey n (not population),TRUE
87,0.01659190247129969,0.032798133542855525,2.1730098967497256,4.634111340204659,-0.5647810249178454,women_vitA,Malawi,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
87,0.0170059663890467,0.032798133542855525,2.6016349976987554,4.569535932555305,-3.469446951953614e-16,women_vitA,Malawi,own_survey,0.013157894736842105,0.5667680033592436,0.00751008448766365,0.013157894736842101,NA,survey n (not population),TRUE
87,0.05265332603099961,0.032798133542855525,54.56911886049698,54.98342485770485,54.384210526315805,women_vitA,Malawi,external,0.557,5.1398455706944715,0.00751008448766365,0.5570000000000002,15,survey n (not population),TRUE
30,0.5102784974951942,0.5123470522803114,46.318882349980264,48.211820059160885,-44.95074058241142,child_iron,Gambia,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
30,0.5075021803431471,0.5123470522803114,10.587798530400688,13.241979171034748,0,child_iron,Gambia,own_survey,0.6223704491254886,2.159786400740487,0.17286304330137434,0.6223704491254886,NA,survey n (not population),TRUE
75,0.42443285543694526,0.3905515208979406,13.386332365512981,17.09716752395176,-1.745845343858457,child_iron,Ghana,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
75,0.4252088912737254,0.3905515208979406,13.783342708468718,17.414017828192872,-1.2212453270876722e-13,child_iron,Ghana,own_survey,0.2389790911328688,0.1067783041988772,0.22152063769428423,0.23897909113286758,NA,survey n (not population),TRUE
14,-0.16293689903851308,0.07692307692307693,8.387209183517182,13.217748737610545,6.814572006828415,child_iron,SierraLeone,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
14,-0.18381486795029134,0.07692307692307693,4.844350598616528,7.813918559352678,-1.724176357242868e-11,child_iron,SierraLeone,own_survey,0.05245903157728713,-0.998589442158156,0.12060475164557129,0.05245903157711471,NA,survey n (not population),TRUE
87,-0.04819319873166359,-0.09110934651065572,14.081621936621866,17.385196309680634,4.941271115272255,child_iron,Malawi,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
87,-0.04886824451659856,-0.09110934651065572,12.213417808842157,16.061681388914575,-1.0297318553398327e-12,child_iron,Malawi,own_survey,0.2043139702746289,-0.28600419999844406,0.25372668142735144,0.2043139702746186,NA,survey n (not population),TRUE
30,-0.7093813515872875,-0.7142062565053598,40.85631134145824,43.98184050821802,-34.5642280025639,women_iron,Gambia,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
30,-0.7093658035938352,-0.7142062565053598,14.30464180644459,17.515765437287314,-5.551115123125783e-15,women_iron,Gambia,own_survey,0.4517487138284351,1.9375453808167,0.10610643380279612,0.45174871382843507,NA,survey n (not population),TRUE
75,0.09157571279002963,0.09829436462931951,18.837718120276413,23.361040209255073,16.21119471326134,women_iron,Ghana,unanchored,NA,NA,NA,NA,NA,survey n (not population),TRUE
75,0.06567739207143211,0.09829436462931951,10.765730879463408,13.472128562755682,0,women_iron,Ghana,own_survey,0.1353865601549466,-1.0642983340253664,0.29749850728756,0.1353865601549466,NA,survey n (not population),TRUE
