scheme,held_out,n_selected,n_candidates,final_glm_auc,selected_vars
nested_selection,Gambia,3,646,0.6195114446329995,gee_trmm_50km_annual_mean|ihme_20_24_24_female_proportion_of_population_achieving_6_11_years_education|ihme_health_PC3
nested_selection,Ghana,3,436,0.6084598806350539,gee_trmm_50km_annual_mean|dhsharm_w_secondary_plus_adm2|gee_grassland_50km
nested_selection,SierraLeone,6,444,0.6358798725754,gee_ndvi_Mar_50km|ihme_15_49_years_24_females_severe_anemia_percent|dhsharm_hh_mean_hhsize_adm2|dhsharm_CH_VACC_C_NON_adm2|dhsharm_RH_DELA_C_SKP_adm2|gee_temp_Jun_50km
nested_selection,Malawi,4,437,0.6333128506028385,gee_grassland_50km|ihme_0_to_99_years_all_ages_both_malaria_incidence_rate|dhsharm_hh_mean_hhsize_adm2|other_PC3
original_selection,ALL,4,436,0.613824473394368,gee_trmm_50km_annual_mean|dhsharm_c_mean_hemoglobin_adm2|temperature_PC1|dhsharm_hh_wealth_poor_adm2
