"country","outcome","n_ind","n_area","indiv_optim_unwt","indiv_cluster_unwt","indiv_cluster_wt","indiv_region_unwt","indiv_region_wt","area_enet_region","sae_glmm_region","sae_glmm_insample","indiv_region_wt_ci_lo","indiv_region_wt_ci_hi","indiv_region_wt_perm_p","area_enet_region_ci_lo","area_enet_region_ci_hi","area_enet_region_perm_p","sae_glmm_region_ci_lo","sae_glmm_region_ci_hi","sae_glmm_region_perm_p"
"Gambia","child_vitA",1020,30,0.812551053550496,0.59340027324815,0.569368285182461,0.437923592274046,0.437604323255963,0.0675378854913882,0.446784587741793,0.642902841168003,0.216,0.635,0.007,-0.361,0.387,0.3497,0.184,0.665,0.006
"Gambia","women_vitA",1413,30,0.917766129266685,0.288457074824555,0.282827907809874,0.168231531368153,0.168231531368153,0.335847350158555,0.119480671190587,0.789284153337385,-0.111,0.526,0.1948,-0.067,0.63,0.031,-0.218,0.479,0.2358
"Gambia","child_iron",1013,30,0.759869690413921,0.575829857161942,0.57017575030379,-0.21354771937873,-0.206544247332126,0.0812714649734787,0.13910114461973,0.73277512863592,-0.596,0.261,0.8621,-0.268,0.452,0.3457,-0.206,0.464,0.2398
"Gambia","women_iron",1402,30,0.914347749679731,0.831385302935675,0.82675353187484,0.610513101212838,0.610038601675202,0.622643778309182,0.627914440090728,0.810689490556242,0.408,0.781,0.001,0.516,0.811,0.001,0.343,0.845,0.002
"Ghana","child_vitA",1165,75,0.884917270169599,0.359736613061113,0.359775606532432,0.0914428988324737,0.0914428988324737,0.154866014179611,0.356422940789693,0.565327710863084,-0.127,0.316,0.2318,-0.049,0.356,0.1119,0.123,0.565,0.002
"Ghana","women_vitA",992,75,0.899381711346391,-0.0276600921905947,-0.0275094626555661,0.0831280500550074,0.0831280500550074,-0.19363890681447,-0.0489477759219841,0.658667779557092,-0.102,0.338,0.1978,-0.362,-0.045,0.97,-0.152,0.134,0.6264
"Ghana","child_iron",1165,75,0.813501853938798,0.559249127079784,0.559549709630323,0.374115712910119,0.374248241322922,0.404189550746904,0.606370418795672,0.82955150137423,0.203,0.549,0.001,0.204,0.595,0.002,0.449,0.748,0.001
"Ghana","women_iron",981,75,0.620895729609206,0.265749090156808,0.265708487295811,0.00637992061672047,0.00638466112795988,0.170756314592937,0.194479093271993,0.539936693303103,-0.201,0.252,0.4825,-0.051,0.372,0.0779,-0.023,0.435,0.043
"Ghana","women_folate",475,75,0.940999318946081,0.461695396620526,0.46161925070187,0.0401684127486257,0.0406301494312059,0.395829585824965,0.115320197887241,0.836364382443422,-0.184,0.264,0.3377,0.163,0.572,0.001,-0.113,0.364,0.1778
"Ghana","women_b12",473,75,0.733143658397272,0.389379648828157,0.389473961737989,0.514086234395082,0.513845651358748,0.271766416860086,0.254442922598236,0.615852991996817,0.293,0.655,0.001,0.067,0.461,0.013,0.01,0.502,0.033
"Sierra Leone","child_vitA",486,14,0.886773197798122,0.334483031832226,0.308456035506253,0.0738971008847984,0.0640828097387026,-0.318947606989118,0.260625815758477,0.342322821235411,-0.491,0.541,0.4146,-0.75,0.201,0.8711,-0.23,0.746,0.1938
"Sierra Leone","women_vitA",774,14,0.881514116082621,0.437506808451074,0.411970742984296,-0.121847984634366,-0.0901041098728937,-0.214766915879648,-0.146282074424789,0.833214413877766,-0.711,0.579,0.5804,-0.616,0.29,0.7642,-0.479,0.306,0.5954
"Sierra Leone","child_iron",486,14,0.927605483339877,0.802296689538703,0.777409537162579,0.156663190721034,0.172928312360936,0.250001731349895,-0.107802538157167,0.724383480046876,-0.245,0.534,0.3027,-0.335,0.521,0.1938,-0.595,0.429,0.6464
"Sierra Leone","women_iron",774,14,0.665278306627298,0.723683577258908,0.710630377465756,0.202152189986635,0.201792013569941,0.466858636272966,-0.0909499754398133,0.467238087014012,-0.452,0.756,0.2617,-0.011,0.875,0.044,-0.962,0.807,0.6334
"Sierra Leone","women_folate",766,14,0.841940595054351,0.912114441726112,0.900742686833503,-0.41444185456284,-0.398183834993533,-0.150640668487222,0.105774090329656,0.826471547615712,-0.685,0.1,0.9201,-0.813,0.52,0.6873,-0.416,0.563,0.3716
