stratum,comparison,n_replicates,mean_delta_pp,median_delta_pp,pct_replicates_a_better
has_clusters,model_cv minus direct_or_national,1941,4.9052,3.9552,10.7
has_clusters,spatial_cv minus direct_or_national,2000,4.8515,4.2224,5
zero_clusters,model_cv minus direct_or_national,1585,-0.5823,-0.1213,56.9
zero_clusters,spatial_cv minus direct_or_national,1656,-0.6619,-0.1839,56.7
zero_clusters,spatial_cv minus model_cv,1585,-0.2144,-0.2381,56.7
