country,outcome,metric,binary_classifier,distributional_default,delta,lower_better,dist_better,has_signal
Gambia,child_vitA,auc,0.5915457130031423,0.6017088134071525,0.01016310040401025,FALSE,TRUE,TRUE
Gambia,child_vitA,brier_skill,0.022739783431032556,0.021769963929955005,-9.698195010775512e-4,FALSE,FALSE,TRUE
Gambia,child_vitA,pearson_r,0.27980303402315415,0.3497428149228638,0.06993978089970965,FALSE,TRUE,TRUE
Gambia,child_vitA,mae_pp,9.909797735186277,9.137095160985698,-0.7727025742005793,TRUE,TRUE,TRUE
Gambia,child_vitA,calib_slope,0.5792630039515098,0.9818457893761074,0.4025827854245977,FALSE,TRUE,TRUE
Gambia,child_vitA,r_share,0.42,0.52,0.10000000000000003,FALSE,TRUE,TRUE
Gambia,women_vitA,auc,0.5982392344497608,0.6378755980861244,0.03963636363636358,FALSE,TRUE,TRUE
Gambia,women_vitA,brier_skill,0.003342668220109979,0.007283990571805288,0.003941322351695309,FALSE,TRUE,TRUE
Gambia,women_vitA,pearson_r,0.09273001778930412,0.30412447035731827,0.21139445256801415,FALSE,TRUE,TRUE
Gambia,women_vitA,mae_pp,3.5727591150281324,3.3445089261231415,-0.22825018890499083,TRUE,TRUE,TRUE
Gambia,women_vitA,calib_slope,0.4432747679218302,2.1561095681260563,1.712834800204226,FALSE,TRUE,TRUE
Gambia,women_vitA,r_share,0.34,1.1,0.76,FALSE,TRUE,TRUE
Gambia,child_iron,auc,0.5555417426959237,0.5487149124100819,-0.006826830285841856,FALSE,FALSE,TRUE
Gambia,child_iron,brier_skill,0.018371720349703358,0.018506646425978435,1.3492607627507702e-4,FALSE,TRUE,TRUE
Gambia,child_iron,pearson_r,0.24528691309034836,0.16963469031635303,-0.07565222277399533,FALSE,FALSE,TRUE
Gambia,child_iron,mae_pp,12.334298888914857,12.611831789603913,0.27753290068905656,TRUE,FALSE,TRUE
Gambia,child_iron,calib_slope,0.6322314889902424,0.5164895719112691,-0.1157419170789733,FALSE,FALSE,TRUE
Gambia,child_iron,r_share,0.43,0.3,-0.13,FALSE,FALSE,TRUE
Gambia,women_iron,auc,0.5973395704149593,0.5971058813101094,-2.3368910484988792e-4,FALSE,FALSE,TRUE
Gambia,women_iron,brier_skill,0.038098709965609046,0.033638487471908896,-0.00446022249370015,FALSE,FALSE,TRUE
Gambia,women_iron,pearson_r,0.6039143066644093,0.5414658656062951,-0.0624484410581142,FALSE,FALSE,TRUE
Gambia,women_iron,mae_pp,11.122837567223195,12.087078860711458,0.9642412934882625,TRUE,FALSE,TRUE
Gambia,women_iron,calib_slope,1.5449851169439093,1.7338329071911136,0.18884779024720433,FALSE,TRUE,TRUE
Gambia,women_iron,r_share,0.85,0.77,-0.07999999999999996,FALSE,FALSE,TRUE
Ghana,child_vitA,auc,0.5609102613173736,0.5421436607629586,-0.018766600554415036,FALSE,FALSE,TRUE
Ghana,child_vitA,brier_skill,0.004310912714714954,0.0025563597119165893,-0.0017545530027983647,FALSE,FALSE,TRUE
Ghana,child_vitA,pearson_r,0.13924164281256676,0.02935392610990425,-0.10988771670266251,FALSE,FALSE,TRUE
Ghana,child_vitA,mae_pp,8.499966289149938,8.796653252197638,0.2966869630476996,TRUE,FALSE,TRUE
Ghana,child_vitA,calib_slope,0.7566200829995856,0.13371083120233745,-0.6229092517972481,FALSE,FALSE,TRUE
Ghana,women_vitA,auc,0.9243261685431593,0.5675878539747526,-0.35673831456840666,FALSE,FALSE,TRUE
Ghana,women_vitA,brier_skill,-0.002518129604588637,3.8691819429648167e-4,0.0029050477988851187,FALSE,TRUE,TRUE
Ghana,women_vitA,pearson_r,-0.7594226961087217,0.06090835199183263,0.8203310481005543,FALSE,TRUE,TRUE
Ghana,women_vitA,mae_pp,2.390823791391627,2.3915835976922537,7.598063006266642e-4,TRUE,FALSE,TRUE
Ghana,women_vitA,calib_slope,-42.96521122573133,0.45496813542915615,43.420179361160486,FALSE,TRUE,TRUE
Ghana,child_iron,auc,0.6308051729023963,0.6263815257435529,-0.004423647158843469,FALSE,FALSE,TRUE
Ghana,child_iron,brier_skill,0.054673912940433556,0.0557133881615941,0.0010394752211605462,FALSE,TRUE,TRUE
Ghana,child_iron,pearson_r,0.4469439926531418,0.447381091399256,4.370987461142506e-4,FALSE,TRUE,TRUE
Ghana,child_iron,mae_pp,14.110565000427153,14.228450864088483,0.11788586366133025,TRUE,FALSE,TRUE
Ghana,child_iron,calib_slope,0.7762687678661773,0.8584670485447768,0.08219828067859958,FALSE,TRUE,TRUE
Ghana,child_iron,r_share,0.61,0.61,0,FALSE,FALSE,TRUE
Ghana,women_iron,auc,0.5243086194612755,0.5470942735193574,0.02278565405808186,FALSE,TRUE,TRUE
Ghana,women_iron,brier_skill,-0.013264948461335191,-0.002235831920389897,0.011029116540945294,FALSE,TRUE,TRUE
Ghana,women_iron,pearson_r,0.00711555299551655,0.18927133636178056,0.182155783366264,FALSE,TRUE,TRUE
Ghana,women_iron,mae_pp,9.699238474751839,9.187499887522025,-0.5117385872298144,TRUE,TRUE,TRUE
Ghana,women_iron,calib_slope,0.025117206671987236,0.6895957915674541,0.6644785848954669,FALSE,TRUE,TRUE
Ghana,women_folate,auc,0.5834257602862254,0.587128801431127,0.0037030411449016087,FALSE,TRUE,TRUE
Ghana,women_folate,brier_skill,0.019755422804282663,0.026042289639172433,0.0062868668348897705,FALSE,TRUE,TRUE
Ghana,women_folate,pearson_r,0.3036680118481287,0.33677652312065165,0.033108511272522956,FALSE,TRUE,TRUE
Ghana,women_folate,mae_pp,20.252443737462695,19.33300351322518,-0.9194402242375155,TRUE,TRUE,TRUE
