strategy,stratum,retention,n_districts,rmse_pp,mae_pp,replicate,n_clusters_total,n_districts_total,seed,country,outcome,analysis_profile
direct_or_national,has_clusters,0.5,21,5.352223417796833,3.315146354129752,9,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,17.30289735398473,14.286708314742505,9,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,11.39580635786853,9.477829723508236,9,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,16.256127757577186,12.686657818041851,9,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,9.898829071508926,8.519920540966972,9,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,13.76116223647252,10.119213544622136,9,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,20,6.461168945664928,3.735366393105878,10,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,10,16.748825635490295,13.426247356317479,10,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,20,36.09208051483225,24.495704655939765,10,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,10,17.75369596334276,14.190905264003653,10,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,20,11.264416946055631,9.171472849512385,10,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,10,19.480453656722474,14.964443400203717,10,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,6.918073428807618,4.329952067129086,11,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,19.128978608998732,16.110578759306907,11,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,13.100757929999851,10.218197731345066,11,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,21.419002246420817,17.41971905843151,11,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,9.530338000015819,7.943535670365531,11,70,30,12345,Gambia,child_vitA,full
