country,outcome,metric,national_mean,arm,value,delta,lower_better,better
Gambia,child_iron,mae_pp,12.55974559519133,covariates_only,12.140850423362883,-0.4188951718284475,TRUE,TRUE
Gambia,child_iron,mae_pp,12.55974559519133,spatial_only,11.167786880667599,-1.3919587145237315,TRUE,TRUE
Gambia,child_iron,mae_pp,12.55974559519133,spatial_plus_covariates,15.580851488807323,3.0211058936159922,TRUE,FALSE
Gambia,child_iron,mae_pp,12.55974559519133,matern_spamm,12.559880616825513,1.3502163418266377e-4,TRUE,FALSE
Gambia,child_iron,rmse_pp,15.714740722714563,covariates_only,15.227801760091914,-0.4869389626226486,TRUE,TRUE
Gambia,child_iron,rmse_pp,15.714740722714563,spatial_only,13.768451823543693,-1.9462888991708702,TRUE,TRUE
Gambia,child_iron,rmse_pp,15.714740722714563,spatial_plus_covariates,18.11598660456702,2.401245881852457,TRUE,FALSE
Gambia,child_iron,rmse_pp,15.714740722714563,matern_spamm,15.613141183346253,-0.10159953936831023,TRUE,TRUE
Ghana,child_iron,mae_pp,17.331346003761812,covariates_only,15.215513468950848,-2.1158325348109646,TRUE,TRUE
Ghana,child_iron,mae_pp,17.331346003761812,spatial_only,13.668759415228726,-3.6625865885330864,TRUE,TRUE
Ghana,child_iron,mae_pp,17.331346003761812,spatial_plus_covariates,14.14115382143813,-3.190192182323683,TRUE,TRUE
Ghana,child_iron,mae_pp,17.331346003761812,matern_spamm,12.990425130225841,-4.340920873535971,TRUE,TRUE
Ghana,child_iron,rmse_pp,20.11510133217125,covariates_only,20.011457067173605,-0.10364426499764434,TRUE,TRUE
Ghana,child_iron,rmse_pp,20.11510133217125,spatial_only,17.328174593319474,-2.7869267388517756,TRUE,TRUE
Ghana,child_iron,rmse_pp,20.11510133217125,spatial_plus_covariates,18.547854801886178,-1.5672465302850718,TRUE,TRUE
Ghana,child_iron,rmse_pp,20.11510133217125,matern_spamm,16.58912310606252,-3.5259782261087302,TRUE,TRUE
