held_out,n_train,n_test,prev_test,pred_prev,auc,brier,null_brier,null_brier_train,calib_intercept,calib_slope,calib_scale,n_selected,n_scored,note,outcome,scheme,scorer,weighting,seed,selected_vars
Malawi,2608,1149,0.09312445604873804,0.16609400762610863,0.5480115521911493,0.0897903212033875,0.08445229173436469,0.08982321555323658,-1.0325059443501872,0.7702674954094471,logit,4,3,NA,child_vitA,original_selection,glm,equal_country,12345,gee_trmm_50km_annual_mean|dhsharm_c_mean_hemoglobin_adm2|temperature_PC1|dhsharm_hh_wealth_poor_adm2
Malawi,2180,1149,0.09312445604873804,0.14362704730801532,0.5173686476402317,0.08876223689434486,0.08445229173436469,0.09074912815797564,-2.8916835792882187,-0.33823147576823126,logit,4,3,NA,child_vitA,nested_selection,glm,equal_row,12345,gee_grassland_50km|ihme_0_to_99_years_all_ages_both_malaria_incidence_rate|dhsharm_hh_mean_hhsize_adm2|other_PC3
Malawi,2180,1149,0.09312445604873804,0.14216077207624184,0.5207410264229465,0.08843643581205937,0.08445229173436469,0.09074912815797564,-3.009446074572848,-0.40083019361472,logit,4,3,NA,child_vitA,nested_selection,glm,equal_country,12345,gee_grassland_50km|ihme_0_to_99_years_all_ages_both_malaria_incidence_rate|dhsharm_hh_mean_hhsize_adm2|other_PC3
Gambia,2558,1413,0.02689313517338995,0.013832077370151376,0.7431100478468899,0.026163335387833112,0.026169894453935725,0.02630554354585166,9.215092364028303,3.0584256173272264,logit,4,3,NA,women_vitA,original_selection,glm,equal_row,12345,gee_trmm_50km_annual_mean|dhsharm_c_mean_hemoglobin_adm2|temperature_PC1|dhsharm_hh_wealth_poor_adm2
Gambia,2558,1413,0.02689313517338995,0.013849230409150067,0.7395885167464115,0.026172285042789418,0.026169894453935725,0.02630554354585166,9.919330588503895,3.2260834216501153,logit,4,3,NA,women_vitA,original_selection,glm,equal_country,12345,gee_trmm_50km_annual_mean|dhsharm_c_mean_hemoglobin_adm2|temperature_PC1|dhsharm_hh_wealth_poor_adm2
Gambia,2602,1413,0.02689313517338995,0.014960771828531887,0.7225071770334929,0.026313844161838535,0.026169894453935725,0.026302612803130683,-1072.994380423632,-255.3357458407198,logit,3,1,NA,women_vitA,nested_selection,glm,equal_row,12345,gee_trmm_50km_annual_mean|ihme_20_24_24_female_proportion_of_population_achieving_6_11_years_education|ihme_health_PC3
Gambia,2602,1413,0.02689313517338995,0.014717053090004652,0.7225071770334929,0.026320752304642134,0.026169894453935725,0.026302612803130683,-640.867944678493,-151.5317075243562,logit,3,1,NA,women_vitA,nested_selection,glm,equal_country,12345,gee_trmm_50km_annual_mean|ihme_20_24_24_female_proportion_of_population_achieving_6_11_years_education|ihme_health_PC3
Ghana,3023,948,0.014767932489451477,0.025895659268831854,0.6271413276231264,0.014831131440972516,0.01454984065943848,0.0145867133950691,-2.278706834270091,0.5073768466498138,logit,4,3,NA,women_vitA,original_selection,glm,equal_row,12345,gee_trmm_50km_annual_mean|dhsharm_c_mean_hemoglobin_adm2|temperature_PC1|dhsharm_hh_wealth_poor_adm2
Ghana,3023,948,0.014767932489451477,0.023736730153719004,0.6171229733863567,0.014692446996836852,0.01454984065943848,0.0145867133950691,-2.1281212246651355,0.5396797967508655,logit,4,3,NA,women_vitA,original_selection,glm,equal_country,12345,gee_trmm_50km_annual_mean|dhsharm_c_mean_hemoglobin_adm2|temperature_PC1|dhsharm_hh_wealth_poor_adm2
Ghana,2576,882,0.015873015873015872,1.3045513038394194e-5,0.65474818959842,0.015872913548170133,0.01562106324011086,0.015660179675209718,-7.899853272738121,-0.2909138200366395,logit,7,6,NA,women_vitA,nested_selection,glm,equal_row,12345,gee_trmm_50km_annual_mean|dhsharm_w_secondary_plus_adm2|wfp_price_cassava|dhsharm_c_anemia_any_adm2|vegetation_PC3|dhsharm_w_delivery_csection_adm2|gee_trmm_Nov_50km
Ghana,2576,882,0.015873015873015872,4.7021671653983806e-7,0.6737574061882817,0.01587301334976336,0.01562106324011086,0.015660179675209718,-2522.0190466463364,-182.2584743900491,logit,7,6,NA,women_vitA,nested_selection,glm,equal_country,12345,gee_trmm_50km_annual_mean|dhsharm_w_secondary_plus_adm2|wfp_price_cassava|dhsharm_c_anemia_any_adm2|vegetation_PC3|dhsharm_w_delivery_csection_adm2|gee_trmm_Nov_50km
SierraLeone,3197,774,0.01808785529715762,3.160585196698216e-4,0.6368421052631579,0.018081603962461414,0.017760684787906707,0.01776330309717897,-9.457265803894131,-0.6343229104379117,logit,4,3,NA,women_vitA,original_selection,glm,equal_row,12345,gee_trmm_50km_annual_mean|dhsharm_c_mean_hemoglobin_adm2|temperature_PC1|dhsharm_hh_wealth_poor_adm2
SierraLeone,3197,774,0.01808785529715762,3.1044419641694136e-4,0.6385338345864662,0.018081613444019536,0.017760684787906707,0.01776330309717897,-9.48208774488603,-0.6370020965959005,logit,4,3,NA,women_vitA,original_selection,glm,equal_country,12345,gee_trmm_50km_annual_mean|dhsharm_c_mean_hemoglobin_adm2|temperature_PC1|dhsharm_hh_wealth_poor_adm2
SierraLeone,2760,523,0.01338432122370937,0.010556800863947207,0.5802879291251384,0.013253651148957952,0.013205181169089933,0.013252867566826226,-3.6728002182019748,0.1347020264715653,logit,8,6,NA,women_vitA,nested_selection,glm,equal_row,12345,gee_ndvi_Mar_50km|ihme_15_49_years_24_females_severe_anemia_percent|other_PC3|MAP_202206_Pf_Parasite_Rate|dhsharm_hh_mean_hhsize_adm2|precip_PC1|dhsharm_RH_DELA_C_SKP_adm2|ihme_5_to_14_years_5_to_14_both_deaths_rate
SierraLeone,2760,523,0.01338432122370937,0.008814704496529257,0.5667220376522702,0.013258738477378327,0.013205181169089933,0.013252867566826226,-3.6864809371670155,0.12628356494247153,logit,8,6,NA,women_vitA,nested_selection,glm,equal_country,12345,gee_ndvi_Mar_50km|ihme_15_49_years_24_females_severe_anemia_percent|other_PC3|MAP_202206_Pf_Parasite_Rate|dhsharm_hh_mean_hhsize_adm2|precip_PC1|dhsharm_RH_DELA_C_SKP_adm2|ihme_5_to_14_years_5_to_14_both_deaths_rate
