country,gadm_polygons,gadm_dup_names_land,gadm_dup_pairs_land,gee_admin2_rows,svy_admin2_rows,pooled_rows
Gambia,37,0,0,37,30,30
Ghana,260,0,0,260,75,75
Sierra Leone,14,0,0,14,14,14
Malawi,256,4,0,243,87,87
