country,outcome,Admin2,prevalence,se,threshold,severity_label,p_exceeds,source_document,verified_against_source,basis
Gambia,child_vitA,Banjul,0.07471193092123284,0.024904034229789686,0.02,mild public health problem,0.9999326737364633,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Central Baddibu,0.3571428571428571,6.938893903907231e-17,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Foni Bintang Karanai,0,0,0.02,mild public health problem,NA,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Foni Brefet,0,0,0.02,mild public health problem,NA,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Fulladu East,0.24633696960276544,0.03816725493219343,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Fulladu West,0.322404265149205,0.05993660413207026,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Jarra East,0.20822152678735353,0.01707100998094889,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Jarra West,0.07552063936958485,0.017808651270114845,0.02,mild public health problem,0.9999999729978384,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Jokadu,0.14285714285714288,3.122502256758258e-17,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Kanifing,0.12937945972429077,0.06405840986707917,0.02,mild public health problem,0.9997594520893666,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Kantora,0.5625,0,0.02,mild public health problem,NA,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Kiang Central,0.20833333333333331,3.816391647148977e-17,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Kiang East,0.2272727272727273,0,0.02,mild public health problem,NA,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Kombo Central,0.17423184355970267,0.05652550331851179,0.02,mild public health problem,0.9999999986225971,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Kombo East,0.1,4.336808689942019e-18,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Kombo Saint Mary,0.12838761788768127,0.07563660604817143,0.02,mild public health problem,0.9982736862514942,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Kombo South,0.05263157894736842,1.040834085586085e-17,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Lower Baddibu,0,0,0.02,mild public health problem,NA,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Lower Nuimi,0,0,0.02,mild public health problem,NA,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Lower Saloum,0.17874994995154347,0.01946756785007218,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Niamina Dankunku,0.38235294117647056,3.4694469519536154e-17,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Niamina East,0.25,2.775557561562892e-17,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Niani,0.30796573834652313,0.08191066007019396,0.02,mild public health problem,0.9999999999999994,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Nianija,0.1361608612728394,0.023569588096318084,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Sami,0.38888888888888884,4.8572257327350586e-17,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Sandu,0.25,0,0.02,mild public health problem,NA,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Upper Baddibu,0.08873102064592955,0.02545770775987304,0.02,mild public health problem,0.9999996530191274,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Upper Nuimi,0.22222222222222224,1.387778780781446e-17,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Upper Saloum,0.3,3.469446951953615e-18,0.02,mild public health problem,1,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Wuli,0.1111111111111111,0,0.02,mild public health problem,NA,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.,FALSE,design-based Admin-2 estimate and its standard error
Gambia,child_vitA,Banjul,0.07471193092123284,0.024904034229789686,0.1,moderate public health problem,0.18776379652141928,WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005.,FALSE,design-based Admin-2 estimate and its standard error
