country,outcome,raw_ferritin_col,raw_ferritin_median,crp_median,agp_median,adj_ferritin_median,configured_continuous,n_rows_configured,n_rows_uniform,n_admin2_configured,n_admin2_uniform,admin2_mean_prev_configured,admin2_mean_prev_uniform,national_design_configured,national_design_uniform
Gambia,child_iron,gw_cFER,11.3275,0.485,0.7,7.96796919737099,gw_LogFerAdj,1013,1013,30,30,0.6380030953063472,0.6584054526693605,0.5730335636529661,0.6042343810465347
Gambia,women_iron,gw_wFER,23.46,0.76,0.63,16.568280957095297,gw_LogFerAdj,1402,1402,30,30,0.5145617860711634,0.527290487599254,0.4148654081448837,0.4230124485047607
Ghana,child_iron,gw_cFerr,31.43,0.87,0.85,20.164056785657873,gw_cFerrAdjThurn,1165,1165,75,75,0.21336531777717443,0.2829252186017097,0.20196325284094105,0.26595168943722725
Ghana,women_iron,gw_wFerr,45.82,0.835,0.57,33.562225103100005,gw_wFerrAdjThurn,981,981,75,75,0.12976964109418346,0.19663851155281814,0.12439980791904201,0.18157523298775657
Sierra Leone,child_iron,gw_cFerritin,71.35249999999999,3.9825,1.295,38.64555585605259,gw_cFerrAdj,486,486,14,14,0.059367528542991564,0.08717197990719039,0.05148373995781412,0.08056992613585372
Sierra Leone,women_iron,gw_wFerritin,47.862500000000004,1.25,0.74,35.932429960902354,gw_wFerAdjBR1,774,774,14,14,0.17438905443797903,0.17015066585907346,0.18019293636186193,0.1787413508167072
Malawi,child_iron,fer,37.85,1.42,1.13,26.969363293469524,sf_reg,1149,1149,87,87,0.2030611132822342,0.18380080080873257,0.2151771195446991,0.19236489053178074
Malawi,women_iron,fer,38.644999999999996,0.74,0.59,32.1951600231548,sf_reg,781,836,87,87,0.17139222586749844,0.20561647369608418,0.15943140614157866,0.1877934980137069
