outcome,held_out,weighting,metric,original_selection,nested_selection,delta,lower_better,nested_better
child_iron,Gambia,equal_row,auc,0.5637261534298471,0.5188055222088835,-0.04492063122096357,FALSE,FALSE
child_iron,Gambia,equal_row,brier,0.26834969129135977,0.33578537562224703,0.06743568433088726,TRUE,FALSE
child_iron,Gambia,equal_row,null_brier_train,0.3322976962396713,0.3170867571912698,-0.01521093904840154,FALSE,FALSE
child_iron,Gambia,equal_row,calib_slope,2.2492306616101083,0.2955694647507191,-1.953661196859389,FALSE,FALSE
child_iron,Gambia,equal_row,n_scored,4,2,-2,FALSE,FALSE
child_iron,Gambia,equal_country,auc,0.5748107057131546,0.5193577430972389,-0.0554529626159157,FALSE,FALSE
child_iron,Gambia,equal_country,brier,0.27422666558652925,0.33069137372565865,0.056464708139129405,TRUE,FALSE
child_iron,Gambia,equal_country,null_brier_train,0.3322976962396713,0.3170867571912698,-0.01521093904840154,FALSE,FALSE
child_iron,Gambia,equal_country,calib_slope,1.4820409324785961,0.34477239648778674,-1.1372685359908095,FALSE,FALSE
child_iron,Gambia,equal_country,n_scored,4,2,-2,FALSE,FALSE
child_iron,Ghana,equal_row,auc,0.6558899494665918,0.5841424387068779,-0.07174751075971397,FALSE,FALSE
child_iron,Ghana,equal_row,brier,0.19130653009850368,0.18317983813523686,-0.008126691963266819,TRUE,TRUE
child_iron,Ghana,equal_row,null_brier_train,0.1725240166587429,0.18276198779269567,0.010237971133952778,FALSE,TRUE
child_iron,Ghana,equal_row,calib_slope,0.40702755761527276,0.5392853571069713,0.13225779949169858,FALSE,TRUE
child_iron,Ghana,equal_row,n_scored,4,5,1,FALSE,TRUE
child_iron,Ghana,equal_country,auc,0.6561819202695115,0.6056628335864612,-0.050519086683050274,FALSE,FALSE
child_iron,Ghana,equal_country,brier,0.19550017811747203,0.18155091536499227,-0.013949262752479763,TRUE,TRUE
child_iron,Ghana,equal_country,null_brier_train,0.1725240166587429,0.18276198779269567,0.010237971133952778,FALSE,TRUE
child_iron,Ghana,equal_country,calib_slope,0.3909129881104452,0.6202136965484578,0.2293007084380126,FALSE,TRUE
child_iron,Ghana,equal_country,n_scored,4,5,1,FALSE,TRUE
