k_sentinel,replicate,n_held,rmse_pp,mae_pp,shift_logit,outcome,country,analysis_profile
0,1,30,51.318600518658464,49.632933821694905,0,child_iron,Gambia,smoke
0,2,30,51.318600518658464,49.632933821694905,0,child_iron,Gambia,smoke
0,3,30,51.318600518658464,49.632933821694905,0,child_iron,Gambia,smoke
0,4,30,51.318600518658464,49.632933821694905,0,child_iron,Gambia,smoke
0,5,30,51.318600518658464,49.632933821694905,0,child_iron,Gambia,smoke
3,1,27,16.365520769140524,13.188937494570588,2.834606880235784,child_iron,Gambia,smoke
3,2,27,23.989969222543873,20.67984111256746,1.7824281512996958,child_iron,Gambia,smoke
3,3,27,14.512937017067443,11.573721842608974,2.676082201368816,child_iron,Gambia,smoke
3,4,27,15.700146211438723,11.65748277739961,2.414633667194788,child_iron,Gambia,smoke
3,5,27,16.0415101531128,13.081782410100198,2.7065465983933112,child_iron,Gambia,smoke
5,1,25,19.11469166981978,15.005331076893436,2.114645581232572,child_iron,Gambia,smoke
5,2,25,20.87131732641593,17.2312823418239,2.0052391349445537,child_iron,Gambia,smoke
5,3,25,13.589122435390106,10.94009616208723,2.4733200770915658,child_iron,Gambia,smoke
5,4,25,16.464405542528244,12.222001651296507,2.4051541172609023,child_iron,Gambia,smoke
5,5,25,18.50288916100629,14.798698288883525,3.100587625530722,child_iron,Gambia,smoke
10,1,20,13.959785512398554,11.689514925793661,2.8163734004180823,child_iron,Gambia,smoke
10,2,20,17.953111121289112,13.942256348028906,2.3537980947746053,child_iron,Gambia,smoke
10,3,20,17.115920105012364,13.583575786200194,2.708165828077442,child_iron,Gambia,smoke
10,4,20,19.263308196539874,15.064529193316423,2.244804862889974,child_iron,Gambia,smoke
10,5,20,15.956384699437626,11.819179608339416,2.468378575239465,child_iron,Gambia,smoke
15,1,15,14.252507832939926,11.235891723872522,2.7751208729939063,child_iron,Gambia,smoke
15,2,15,18.38900066112744,14.214348489265358,2.455186545283532,child_iron,Gambia,smoke
15,3,15,15.325588633809954,10.892718066528666,2.3730934362051967,child_iron,Gambia,smoke
15,4,15,13.355213356697826,10.844473426763463,2.676897480441902,child_iron,Gambia,smoke
15,5,15,14.893868618392522,12.197106288859777,2.703030909698796,child_iron,Gambia,smoke
20,1,10,19.111280669557217,14.858159359612538,2.5062798595806544,child_iron,Gambia,smoke
20,2,10,17.630620125707715,13.324887533089056,2.5078686242583372,child_iron,Gambia,smoke
20,3,10,11.191750200321648,9.8950670668868,2.570680004814327,child_iron,Gambia,smoke
20,4,10,14.595787641772272,9.497343610093855,2.4847422069379537,child_iron,Gambia,smoke
20,5,10,15.887982281925094,13.087863062956059,2.548657693794789,child_iron,Gambia,smoke
0,1,75,26.19848151562314,22.540075788900822,0,child_iron,Ghana,smoke
0,2,75,26.19848151562314,22.540075788900822,0,child_iron,Ghana,smoke
0,3,75,26.19848151562314,22.540075788900822,0,child_iron,Ghana,smoke
0,4,75,26.19848151562314,22.540075788900822,0,child_iron,Ghana,smoke
0,5,75,26.19848151562314,22.540075788900822,0,child_iron,Ghana,smoke
3,1,72,26.47850098415805,19.863029525016703,-3.5961613905814502,child_iron,Ghana,smoke
3,2,72,21.40278389139233,17.750359782764175,-0.2917619381262491,child_iron,Ghana,smoke
3,3,72,26.263466714837406,19.69542743742959,-3.527398634452881,child_iron,Ghana,smoke
3,4,72,24.78495399139391,21.128587036829007,-0.10048369912091566,child_iron,Ghana,smoke
3,5,72,16.637625234473145,12.641695612046009,-1.2198176974114159,child_iron,Ghana,smoke
5,1,70,20.115227606576553,14.616335124345476,-1.9366200379975895,child_iron,Ghana,smoke
5,2,70,17.651526080203748,14.227805836973387,-0.6276468510618946,child_iron,Ghana,smoke
5,3,70,18.62137450244071,15.20699247122052,-0.539136237110748,child_iron,Ghana,smoke
5,4,70,17.103124695855907,13.572604298867692,-0.7089943130975005,child_iron,Ghana,smoke
5,5,70,22.386513962734135,16.612463118483294,-2.4015453057246994,child_iron,Ghana,smoke
10,1,65,18.984067920275187,14.162345285262534,-1.6773248806674483,child_iron,Ghana,smoke
10,2,65,22.60914807777371,16.60816700129336,-2.3506353274359038,child_iron,Ghana,smoke
10,3,65,16.994644091969697,13.282191983767447,-1.108599240080987,child_iron,Ghana,smoke
10,4,65,23.682202411725537,17.271810661078028,-2.4301256167033745,child_iron,Ghana,smoke
10,5,65,20.549950145832167,15.18055594852541,-1.8577684389593407,child_iron,Ghana,smoke
15,1,60,23.367692485977784,17.712593210435777,-2.5817473800738466,child_iron,Ghana,smoke
15,2,60,22.91517054221463,17.019734809230844,-2.5347556833315523,child_iron,Ghana,smoke
15,3,60,22.011874689069856,17.020919446858503,-2.6151964558223777,child_iron,Ghana,smoke
15,4,60,20.358357697542644,14.724826217559142,-2.1983116763386996,child_iron,Ghana,smoke
15,5,60,18.873115144706475,14.036254142854629,-1.5713579677286444,child_iron,Ghana,smoke
20,1,55,23.060020815974735,16.526197819146052,-2.217265235593005,child_iron,Ghana,smoke
20,2,55,25.328617105121964,19.213736789090298,-2.7865831309225824,child_iron,Ghana,smoke
20,3,55,21.26819645352893,15.48970549838788,-2.181270086949106,child_iron,Ghana,smoke
20,4,55,24.26232809443154,18.449719326229445,-3.184191082027389,child_iron,Ghana,smoke
20,5,55,23.643148772671307,17.065730085407413,-2.274981884945808,child_iron,Ghana,smoke
