variant,anchor,n_cells,pearson_r,spearman_r,rmse_pp,abs_level_bias_pp,r_max,r_share,source_file
centered_own ridge_all,oracle_national,16,0.2494,0.2216,21.86,9.11,0.361,0.691,sandbox_parsimony_out/loco_bakeoff.csv
centered_train enet30,oracle_national,16,0.2152,0.2122,23.84,14.67,0.361,0.596,sandbox_parsimony_out/loco_bakeoff.csv
centered_own enet30,oracle_national,16,0.2018,0.2122,22.21,8.32,0.361,0.559,sandbox_parsimony_out/loco_bakeoff.csv
PROD enet30,oracle_national,16,0.1941,0.1736,18.42,3.81,0.361,0.538,sandbox_parsimony_out/loco_bakeoff.csv
centered_own d40s12,oracle_national,16,0.191,0.1971,16.18,2.44,0.361,0.529,sandbox_parsimony_out/loco_bakeoff.csv
centered_own curated16,oracle_national,16,0.147,0.1469,16.98,4.23,0.361,0.407,sandbox_parsimony_out/loco_bakeoff.csv
PROD ridge_all,oracle_national,16,0.1459,0.1453,17.28,4.07,0.361,0.404,sandbox_parsimony_out/loco_bakeoff.csv
centered_own decorr20,oracle_national,16,0.1455,0.133,15.3,2.66,0.361,0.403,sandbox_parsimony_out/loco_bakeoff.csv
curated16 uncentered,oracle_national,16,0.0721,0.0802,16.98,3.08,0.361,0.2,sandbox_parsimony_out/loco_bakeoff.csv
centered_own ridge_all,train_mean,16,0.2399,0.2216,29.15,19.87,0.361,0.665,sandbox_parsimony_out/loco_bakeoff.csv
centered_train enet30,train_mean,16,0.2131,0.2122,28.31,21.17,0.361,0.59,sandbox_parsimony_out/loco_bakeoff.csv
PROD enet30,train_mean,16,0.1984,0.1736,33.6,27.09,0.361,0.55,sandbox_parsimony_out/loco_bakeoff.csv
centered_own enet30,train_mean,16,0.189,0.2122,30.85,22.25,0.361,0.524,sandbox_parsimony_out/loco_bakeoff.csv
centered_own d40s12,train_mean,16,0.1777,0.1971,24.78,16.49,0.361,0.492,sandbox_parsimony_out/loco_bakeoff.csv
centered_own decorr20,train_mean,16,0.1621,0.133,24.49,16.95,0.361,0.449,sandbox_parsimony_out/loco_bakeoff.csv
centered_own curated16,train_mean,16,0.1406,0.1469,25.1,16.03,0.361,0.389,sandbox_parsimony_out/loco_bakeoff.csv
PROD ridge_all,train_mean,16,0.1394,0.1453,28.19,20.61,0.361,0.386,sandbox_parsimony_out/loco_bakeoff.csv
curated16 uncentered,train_mean,16,0.0593,0.0802,26.54,18.73,0.361,0.164,sandbox_parsimony_out/loco_bakeoff.csv
zscore ridge_all,oracle_national,16,0.2331,0.2608,15.52,5.15,0.305,0.764,sandbox_parsimony_out/loco_headline.csv
centered_own decorr20,oracle_national,16,0.1711,0.1632,10.25,1.72,0.305,0.561,sandbox_parsimony_out/loco_headline.csv
centered_own ridge_all,oracle_national,16,0.1711,0.1865,14.1,5.62,0.305,0.561,sandbox_parsimony_out/loco_headline.csv
zscore screen30,oracle_national,16,0.1489,0.1899,16.5,5.14,0.305,0.488,sandbox_parsimony_out/loco_headline.csv
centered_own enet30,oracle_national,16,0.1476,0.1747,16.48,8.03,0.305,0.484,sandbox_parsimony_out/loco_headline.csv
zscore curated16,oracle_national,16,0.1405,0.1484,14.89,4.58,0.305,0.461,sandbox_parsimony_out/loco_headline.csv
PROD enet30,oracle_national,16,0.1211,0.1535,10.97,2.06,0.305,0.397,sandbox_parsimony_out/loco_headline.csv
spatial_tps,oracle_national,16,0.1156,0.1057,11.13,1.99,0.305,0.379,sandbox_parsimony_out/loco_headline.csv
zscore decorr20,oracle_national,16,0.1126,0.0911,15.61,4.84,0.305,0.369,sandbox_parsimony_out/loco_headline.csv
spatial + decorr20,oracle_national,16,0.097,0.1133,14.82,2.14,0.305,0.318,sandbox_parsimony_out/loco_headline.csv
PROD ridge_all,oracle_national,16,0.0927,0.1397,11.73,2.64,0.305,0.304,sandbox_parsimony_out/loco_headline.csv
zscore ridge_all,train_mean,16,0.2242,0.2608,17.81,8.73,0.305,0.735,sandbox_parsimony_out/loco_headline.csv
centered_own decorr20,train_mean,16,0.1715,0.1632,15.48,9.53,0.305,0.562,sandbox_parsimony_out/loco_headline.csv
centered_own ridge_all,train_mean,16,0.1694,0.1865,19.7,13.13,0.305,0.555,sandbox_parsimony_out/loco_headline.csv
centered_own enet30,train_mean,16,0.1439,0.1747,21.93,15.43,0.305,0.472,sandbox_parsimony_out/loco_headline.csv
zscore curated16,train_mean,16,0.1349,0.1484,18.17,9.08,0.305,0.442,sandbox_parsimony_out/loco_headline.csv
zscore screen30,train_mean,16,0.1345,0.1899,18.57,8.67,0.305,0.441,sandbox_parsimony_out/loco_headline.csv
PROD enet30,train_mean,16,0.1228,0.1535,14.51,8.9,0.305,0.403,sandbox_parsimony_out/loco_headline.csv
spatial_tps,train_mean,16,0.1151,0.1057,16.53,11.52,0.305,0.377,sandbox_parsimony_out/loco_headline.csv
zscore decorr20,train_mean,16,0.1031,0.0911,18.56,8.98,0.305,0.338,sandbox_parsimony_out/loco_headline.csv
PROD ridge_all,train_mean,16,0.0964,0.1397,16.13,9.2,0.305,0.316,sandbox_parsimony_out/loco_headline.csv
spatial + decorr20,train_mean,16,0.0936,0.1133,20.05,12.12,0.305,0.307,sandbox_parsimony_out/loco_headline.csv
zscore + ridge_all,oracle_national,16,0.235,0.2409,22.65,6.34,0.361,0.651,sandbox_parsimony_out/loco_spatial.csv
zscore + screen30,oracle_national,16,0.1977,0.21,21.83,6.26,0.361,0.548,sandbox_parsimony_out/loco_spatial.csv
zscore + curated16,oracle_national,16,0.1913,0.1963,21.95,5.79,0.361,0.53,sandbox_parsimony_out/loco_spatial.csv
zscore + decorr20,oracle_national,16,0.1541,0.1332,20.91,5.93,0.361,0.427,sandbox_parsimony_out/loco_spatial.csv
spatial_tps,oracle_national,16,0.1241,0.1127,15.76,2.38,0.361,0.344,sandbox_parsimony_out/loco_spatial.csv
spatial + decorr20,oracle_national,16,0.1189,0.1292,19.3,4.64,0.361,0.329,sandbox_parsimony_out/loco_spatial.csv
spatial + curated16,oracle_national,16,0.0314,0.0355,21.69,5.04,0.361,0.087,sandbox_parsimony_out/loco_spatial.csv
zscore + ridge_all,train_mean,16,0.2418,0.2409,28.1,16.35,0.361,0.67,sandbox_parsimony_out/loco_spatial.csv
zscore + screen30,train_mean,16,0.2212,0.21,28.51,16.23,0.361,0.613,sandbox_parsimony_out/loco_spatial.csv
zscore + curated16,train_mean,16,0.1598,0.1963,28.68,16.73,0.361,0.443,sandbox_parsimony_out/loco_spatial.csv
zscore + decorr20,train_mean,16,0.1596,0.1332,28.64,17.35,0.361,0.442,sandbox_parsimony_out/loco_spatial.csv
spatial + decorr20,train_mean,16,0.1185,0.1292,28.89,20.53,0.361,0.328,sandbox_parsimony_out/loco_spatial.csv
spatial_tps,train_mean,16,0.1167,0.1127,26.99,20.8,0.361,0.323,sandbox_parsimony_out/loco_spatial.csv
spatial + curated16,train_mean,16,0.0229,0.0355,31.6,21.51,0.361,0.063,sandbox_parsimony_out/loco_spatial.csv
locked_published,not_applicable,16,0.3324,0.3164,18.26,13.86,0.205,1.621,sandbox_parsimony_out/spatial_plus_soil_rescored.csv
