"outcome","held_out","n_area","spearman_r","pearson_r","spearman_ci_lo","spearman_ci_hi","spearman_perm_p","n_boot"
"child_vitA","Gambia",30,-0.414,-0.328,-0.676,-0.088,0.988,1000
"child_vitA","Ghana",71,0.382,0.346,0.159,0.571,0.001,1000
"child_vitA","SierraLeone",14,0.059,0.081,-0.434,0.53,0.4216,1000
"child_vitA","Malawi",86,0.05,0.101,-0.179,0.292,0.3337,1000
"women_vitA","Ghana",72,0.273,0.289,0.032,0.468,0.015,1000
"women_vitA","SierraLeone",14,0.08,-0.091,-0.497,0.593,0.3676,1000
"women_vitA","Malawi",82,0.135,0.121,-0.04,0.307,0.1159,1000
"child_iron","Gambia",30,0.485,0.491,0.117,0.74,0.006,1000
"child_iron","Ghana",71,0.386,0.417,0.149,0.607,0.002,1000
"child_iron","SierraLeone",14,0.231,-0.042,-0.497,0.814,0.2018,1000
"child_iron","Malawi",86,-0.006,0.014,-0.228,0.205,0.5305,1000
"women_iron","Gambia",30,0.641,0.554,0.375,0.809,0.001,1000
"women_iron","Ghana",72,0.12,0.182,-0.113,0.324,0.1568,1000
"women_iron","SierraLeone",14,-0.284,-0.093,-0.697,0.277,0.8601,1000
"women_iron","Malawi",78,0.066,-0.034,-0.162,0.285,0.2797,1000
"women_folate","Ghana",52,0.033,-0.013,-0.256,0.332,0.3826,1000
"women_folate","SierraLeone",14,0.042,0.031,-0.554,0.593,0.4505,1000
"women_folate","Malawi",83,-0.015,-0.12,-0.239,0.219,0.5544,1000
"women_b12","Ghana",51,0.142,0.207,-0.158,0.412,0.1568,1000
"women_b12","SierraLeone",14,-0.151,-0.2,-0.616,0.384,0.6983,1000
"women_b12","Malawi",83,0.024,-0.049,-0.175,0.232,0.4216,1000
